date,value
2015-01-02,27.45
2015-01-09,28.3
2015-01-16,28.8
2015-01-23,29.09
2015-01-30,28.05
2015-02-06,28.23
2015-02-13,28.78
2015-02-20,30.08
2015-02-27,29.72
2015-03-06,28.91
2015-03-13,30.33
2015-03-20,32.6
2015-03-27,31.64
2015-04-03,31.61
2015-04-10,31.62
2015-04-17,30.92
2015-04-24,31.97
2015-05-01,32.38
2015-05-08,31.26
2015-05-15,31.29
2015-05-22,31.52
2015-05-29,32.27
2015-06-05,31.02
2015-06-12,30.65
2015-06-19,29.92
2015-06-26,30.05
2015-07-03,30.02
2015-07-10,29.82
2015-07-17,30.22
2015-07-24,30.22
2015-07-31,30.74
2015-08-07,30.81
2015-08-14,34.61
2015-08-21,32.98
2015-08-28,32.3
2015-09-04,31.78
2015-09-11,33.36
2015-09-18,34.11
2015-09-25,32.27
2015-10-02,32.58
2015-10-09,33.85
2015-10-16,34.07
2015-10-23,36.39
2015-10-30,35.28
2015-11-06,34.71
2015-11-13,34.38
2015-11-20,35.19
2015-11-27,36.21
2015-12-04,36.34
2015-12-11,35.55
2015-12-18,36.1
2015-12-25,37.3
2016-01-01,37.45
2016-01-08,36.55
2016-01-15,35.25
2016-01-22,35.64
2016-01-29,36.85
2016-02-05,34.39
2016-02-12,35.76
2016-02-19,37.5
2016-02-26,40.14
2016-03-04,39.45
2016-03-11,40.62
2016-03-18,41.54
2016-03-25,43.96
2016-04-01,45.66
2016-04-08,44.3
2016-04-15,43.01
2016-04-22,42.83
2016-04-29,44.13
2016-05-06,48.97
2016-05-13,48.93
2016-05-20,48.8
2016-05-27,49.8
2016-06-03,50.33
2016-06-10,51.59
2016-06-17,51.51
2016-06-24,52.08
2016-07-01,54.96
2016-07-08,55.36
2016-07-15,53.59
2016-07-22,54.55
2016-07-29,54.82
2016-08-05,51.29
2016-08-12,52.28
2016-08-19,50.79
2016-08-26,49.83
2016-09-02,50.83
2016-09-09,49.49
2016-09-16,48.59
2016-09-23,49.42
2016-09-30,47.57
2016-10-07,45.94
2016-10-14,47.75
2016-10-21,49.0
2016-10-28,44.83
2016-11-04,42.54
2016-11-11,39.75
2016-11-18,40.97
2016-11-25,43.25
2016-12-02,41.35
2016-12-09,43.95
2016-12-16,44.34
2016-12-23,44.43
2016-12-30,44.73
2017-01-06,48.0
2017-01-13,48.93
2017-01-20,49.99
2017-01-27,48.41
2017-02-03,48.41
2017-02-10,48.45
2017-02-17,47.48
2017-02-24,49.91
2017-03-03,50.19
2017-03-10,48.79
2017-03-17,51.18
2017-03-24,50.62
2017-03-31,51.47
2017-04-07,51.87
2017-04-14,52.42
2017-04-21,54.155
2017-04-28,54.64
2017-05-05,54.93
2017-05-12,53.81
2017-05-19,54.82
2017-05-26,56.63
2017-06-02,57.98
2017-06-09,57.47
2017-06-16,57.93
2017-06-23,58.88
2017-06-30,55.75
2017-07-07,55.14
2017-07-14,57.19
2017-07-21,58.08
2017-07-28,59.67
2017-08-04,58.59
2017-08-11,58.49
2017-08-18,59.41
2017-08-25,63.06
2017-09-01,62.95
2017-09-08,64.02
2017-09-15,61.79
2017-09-22,59.31
2017-09-29,58.93
2017-10-06,60.66
2017-10-13,61.78
2017-10-20,61.89
2017-10-27,60.18
2017-11-03,62.0
2017-11-10,61.8
2017-11-17,62.13
2017-11-24,61.93
2017-12-01,61.24
2017-12-08,60.45
2017-12-15,59.45
2017-12-22,58.3
2017-12-29,59.53
2018-01-05,58.25
2018-01-12,55.26
2018-01-19,55.42
2018-01-26,58.82
2018-02-02,56.97
2018-02-09,53.62
2018-02-16,52.08
2018-02-23,51.17
2018-03-02,48.48
2018-03-09,49.66
2018-03-16,52.88
2018-03-23,49.98
2018-03-30,51.21
2018-04-06,49.96
2018-04-13,49.06
2018-04-20,51.37
2018-04-27,54.01
2018-05-04,54.7
2018-05-11,55.31
2018-05-18,52.14
2018-05-25,53.65
2018-06-01,56.15
2018-06-08,58.63
2018-06-15,57.88
2018-06-22,57.85
2018-06-29,58.36
2018-07-06,62.2
2018-07-13,61.64
2018-07-20,62.4
2018-07-27,63.31
2018-08-03,64.43
2018-08-10,64.9
2018-08-17,66.53
2018-08-24,67.87
2018-08-31,66.96
2018-09-07,66.73
2018-09-14,68.63
2018-09-21,68.24
2018-09-28,63.4
2018-10-05,61.99
2018-10-12,59.0
2018-10-19,62.27
2018-10-26,56.17
2018-11-02,55.48
2018-11-09,54.82
2018-11-16,54.51
2018-11-23,52.93
2018-11-30,56.08
2018-12-07,57.43
2018-12-14,59.33
2018-12-21,53.83
2018-12-28,52.71
2019-01-04,51.05
2019-01-11,52.15
2019-01-18,52.15
2019-01-25,49.97
2019-02-01,54.15
2019-02-08,54.46
2019-02-15,57.4
2019-02-22,52.87
2019-03-01,50.4
2019-03-08,49.91
2019-03-15,51.87
2019-03-22,52.14
2019-03-29,52.44
2019-04-05,55.33
2019-04-12,58.11
2019-04-19,56.9
2019-04-26,55.83
2019-05-03,61.11
2019-05-10,60.61
2019-05-17,63.72
2019-05-24,62.54
2019-05-31,59.04
2019-06-07,59.71
2019-06-14,58.91
2019-06-21,60.02
2019-06-28,57.72
2019-07-05,60.08
2019-07-12,58.89
2019-07-19,58.21
2019-07-26,55.82
2019-08-02,63.02
2019-08-09,65.43
2019-08-16,69.99
2019-08-23,69.59
2019-08-30,73.46
2019-09-06,74.03
2019-09-13,73.65
2019-09-20,77.57
2019-09-27,77.63
2019-10-04,77.35
2019-10-11,76.1
2019-10-18,76.0
2019-10-25,74.28
2019-11-01,71.11
2019-11-08,65.6
2019-11-15,64.31
2019-11-22,62.75
2019-11-29,62.3
2019-12-06,64.05
2019-12-13,61.08
2019-12-20,64.94
2019-12-27,64.79
2020-01-03,65.49
