date,value
2015-01-02,68.92
2015-01-09,64.92
2015-01-16,63.08
2015-01-23,64.65
2015-01-30,62.98
2015-02-06,67.49
2015-02-13,69.88
2015-02-20,67.38
2015-02-27,65.2
2015-03-06,62.79
2015-03-13,61.64
2015-03-20,63.84
2015-03-27,62.93
2015-04-03,63.18
2015-04-10,66.53
2015-04-17,67.69
2015-04-24,67.51
2015-05-01,67.44
2015-05-08,67.17
2015-05-15,65.76
2015-05-22,65.11
2015-05-29,63.68
2015-06-05,63.04
2015-06-12,63.51
2015-06-19,62.35
2015-06-26,62.18
2015-07-03,60.52
2015-07-10,59.13
2015-07-17,57.2
2015-07-24,52.09
2015-07-31,50.34
2015-08-07,48.84
2015-08-14,49.77
2015-08-21,45.39
2015-08-28,46.82
2015-09-04,47.2
2015-09-11,47.36
2015-09-18,48.36
2015-09-25,47.19
2015-10-02,51.19
2015-10-09,56.1
2015-10-16,55.23
2015-10-23,54.61
2015-10-30,53.35
2015-11-06,55.77
2015-11-13,51.83
2015-11-20,52.93
2015-11-27,53.48
2015-12-04,51.19
2015-12-11,48.13
2015-12-18,45.93
2015-12-25,48.59
2016-01-01,46.69
2016-01-08,43.29
2016-01-15,39.36
2016-01-22,37.67
2016-01-29,39.08
2016-02-05,32.9
2016-02-12,32.9
2016-02-19,32.87
2016-02-26,34.12
2016-03-04,41.12
2016-03-11,40.52
2016-03-18,43.02
2016-03-25,40.04
2016-04-01,39.78
2016-04-08,41.23
2016-04-15,43.7
2016-04-22,47.62
2016-04-29,47.79
2016-05-06,42.76
2016-05-13,43.02
2016-05-20,43.58
2016-05-27,44.33
2016-06-03,44.18
2016-06-10,44.51
2016-06-17,44.15
2016-06-24,43.17
2016-07-01,43.51
2016-07-08,42.3
2016-07-15,42.94
2016-07-22,40.76
2016-07-29,40.82
2016-08-05,40.6
2016-08-12,41.37
2016-08-19,43.32
2016-08-26,42.3
2016-09-02,40.92
2016-09-09,42.25
2016-09-16,39.87
2016-09-23,39.94
2016-09-30,43.47
2016-10-07,44.22
2016-10-14,41.67
2016-10-21,41.54
2016-10-28,44.97
2016-11-04,42.76
2016-11-11,43.94
2016-11-18,44.76
2016-11-25,45.75
2016-12-02,48.12
2016-12-09,50.77
2016-12-16,51.94
2016-12-23,51.37
2016-12-30,50.14
2017-01-06,50.74
2017-01-13,50.59
2017-01-20,50.73
2017-01-27,49.43
2017-02-03,50.43
2017-02-10,50.14
