date,value
2015-01-02,44.0
2015-01-09,45.4
2015-01-16,46.55
2015-01-23,46.7
2015-01-30,45.74
2015-02-06,48.11
2015-02-13,46.88
2015-02-20,46.64
2015-02-27,46.59
2015-03-06,45.1
2015-03-13,45.33
2015-03-20,45.75
2015-03-27,45.89
2015-04-03,46.63
2015-04-10,45.82
2015-04-17,46.19
2015-04-24,45.81
2015-05-01,45.55
2015-05-08,45.83
2015-05-15,46.85
2015-05-22,47.91
2015-05-29,48.34
2015-06-05,46.54
2015-06-12,46.73
2015-06-19,48.27
2015-06-26,47.85
2015-07-03,47.66
2015-07-10,47.62
2015-07-17,47.85
2015-07-24,48.28
2015-07-31,49.31
2015-08-07,50.28
2015-08-14,50.7
2015-08-21,48.61
2015-08-28,47.8
2015-09-04,47.94
2015-09-11,49.4
2015-09-18,51.16
2015-09-25,51.67
2015-10-02,50.6
2015-10-09,51.28
2015-10-16,49.49
2015-10-23,51.43
2015-10-30,50.79
2015-11-06,48.77
2015-11-13,47.97
2015-11-20,48.82
2015-11-27,53.1
2015-12-04,53.12
2015-12-11,52.99
2015-12-18,52.21
2015-12-25,53.32
2016-01-01,52.55
2016-01-08,51.11
2016-01-15,52.99
2016-01-22,54.65
2016-01-29,56.41
2016-02-05,55.84
2016-02-12,58.24
2016-02-19,60.94
2016-02-26,61.98
2016-03-04,61.95
2016-03-11,63.99
2016-03-18,64.34
2016-03-25,63.17
2016-04-01,65.16
2016-04-08,64.21
2016-04-15,62.02
2016-04-22,60.64
2016-04-29,61.71
2016-05-06,63.92
2016-05-13,66.1
2016-05-20,59.9
2016-05-27,61.19
2016-06-03,61.69
2016-06-10,62.7
2016-06-17,62.44
2016-06-24,62.4
2016-07-01,66.06
2016-07-08,67.1
2016-07-15,66.62
2016-07-22,63.38
2016-07-29,62.27
2016-08-05,61.32
2016-08-12,60.96
2016-08-19,61.03
2016-08-26,60.48
2016-09-02,57.73
2016-09-09,54.95
2016-09-16,55.38
2016-09-23,54.89
2016-09-30,54.7
2016-10-07,53.87
2016-10-14,54.33
2016-10-21,53.31
2016-10-28,54.21
2016-11-04,52.61
2016-11-11,53.5
2016-11-18,54.23
2016-11-25,57.52
2016-12-02,57.63
2016-12-09,59.11
2016-12-16,59.53
2016-12-23,60.28
2016-12-30,60.47
2017-01-06,60.7
2017-01-13,61.72
2017-01-20,62.84
2017-01-27,62.58
2017-02-03,63.28
2017-02-10,63.27
2017-02-17,58.48
2017-02-24,59.11
2017-03-03,59.54
2017-03-10,59.19
2017-03-17,59.2
2017-03-24,57.44
2017-03-31,57.24
2017-04-07,56.41
2017-04-14,56.14
2017-04-21,57.35
2017-04-28,57.54
2017-05-05,57.4
2017-05-12,57.22
2017-05-19,55.78
2017-05-26,58.96
2017-06-02,57.73
2017-06-09,56.54
2017-06-16,55.05
2017-06-23,53.58
2017-06-30,52.15
2017-07-07,51.58
2017-07-14,51.73
2017-07-21,52.0
2017-07-28,52.85
2017-08-04,53.18
2017-08-11,53.61
2017-08-18,53.69
2017-08-25,51.4
2017-09-01,45.4
2017-09-08,47.92
2017-09-15,48.73
2017-09-22,45.13
2017-09-29,46.82
2017-10-06,46.48
2017-10-13,46.18
2017-10-20,45.97
2017-10-27,48.13
2017-11-03,46.48
2017-11-10,47.42
2017-11-17,49.72
2017-11-24,46.04
2017-12-01,49.22
2017-12-08,48.95
2017-12-15,49.59
2017-12-22,48.77
2017-12-29,48.11
2018-01-05,47.29
2018-01-12,45.51
2018-01-19,47.39
2018-01-26,47.34
2018-02-02,44.6
2018-02-09,45.73
2018-02-16,46.17
2018-02-23,44.12
2018-03-02,42.02
2018-03-09,43.61
2018-03-16,43.58
2018-03-23,42.27
2018-03-30,43.31
2018-04-06,43.73
2018-04-13,42.45
2018-04-20,40.36
2018-04-27,42.08
2018-05-04,41.02
2018-05-11,40.68
2018-05-18,34.37
2018-05-25,34.6
2018-06-01,33.28
2018-06-08,34.05
2018-06-15,37.1
2018-06-22,38.6
2018-06-29,40.54
2018-07-06,41.91
2018-07-13,41.05
2018-07-20,40.5
2018-07-27,40.94
2018-08-03,42.76
2018-08-10,41.35
2018-08-17,42.04
2018-08-24,40.68
2018-08-31,39.45
2018-09-07,40.22
2018-09-14,41.29
2018-09-21,40.05
2018-09-28,36.63
2018-10-05,37.23
2018-10-12,37.1
2018-10-19,37.93
2018-10-26,36.73
2018-11-02,36.88
2018-11-09,38.97
2018-11-16,38.65
2018-11-23,40.53
2018-11-30,39.2
2018-12-07,37.77
2018-12-14,39.16
2018-12-21,35.75
2018-12-28,33.44
2019-01-04,32.84
2019-01-11,35.04
2019-01-18,35.49
2019-01-25,34.24
2019-02-01,35.01
2019-02-08,34.29
2019-02-15,34.79
2019-02-22,32.83
2019-03-01,36.35
2019-03-08,36.02
2019-03-15,36.01
2019-03-22,38.24
2019-03-29,38.13
2019-04-05,38.26
2019-04-12,39.81
2019-04-19,39.39
2019-04-26,38.64
2019-05-03,38.27
2019-05-10,38.74
2019-05-17,39.13
2019-05-24,37.53
2019-05-31,36.31
2019-06-07,43.08
2019-06-14,42.26
2019-06-21,40.69
2019-06-28,40.07
2019-07-05,41.57
2019-07-12,40.92
2019-07-19,41.27
2019-07-26,40.96
2019-08-02,42.34
2019-08-09,41.79
2019-08-16,42.64
2019-08-23,42.68
2019-08-30,45.0
2019-09-06,44.98
2019-09-13,46.28
2019-09-20,46.76
2019-09-27,46.87
2019-10-04,47.34
2019-10-11,46.87
2019-10-18,47.56
2019-10-25,46.46
2019-11-01,46.54
2019-11-08,46.25
2019-11-15,47.28
2019-11-22,46.83
2019-11-29,46.57
2019-12-06,47.75
2019-12-13,47.86
2019-12-20,49.17
2019-12-27,49.46
2020-01-03,48.43
