date,value
2015-01-02,94.64
2015-01-09,92.7499
2015-01-16,93.12
2015-01-23,95.41
2015-01-30,93.77
2015-02-06,95.94
2015-02-13,96.9199
2015-02-20,97.7
2015-02-27,98.884
2015-03-06,97.3013
2015-03-13,95.52
2015-03-20,98.5717
2015-03-27,97.45
2015-04-03,98.06
2015-04-10,99.88
2015-04-17,99.8899
2015-04-24,101.41
2015-05-01,101.5772
2015-05-08,101.17
2015-05-15,102.14
2015-05-22,102.1878
2015-05-29,100.74
2015-06-05,99.71
2015-06-12,99.954
2015-06-19,100.28
2015-06-26,99.37
2015-07-03,97.74
2015-07-10,97.74
2015-07-17,99.55
2015-07-24,97.44
2015-07-31,98.52
2015-08-07,97.39
2015-08-14,97.18
2015-08-21,92.52
2015-08-28,92.64
2015-09-04,89.69
2015-09-11,92.0
2015-09-18,91.17
2015-09-25,89.2948
2015-10-02,89.62
2015-10-09,93.95
2015-10-16,94.26
2015-10-23,95.79
2015-10-30,95.65
2015-11-06,95.438
2015-11-13,92.71
2015-11-20,95.86
2015-11-27,95.35
2015-12-04,95.07
2015-12-11,91.77
2015-12-18,92.16
2015-12-25,93.09
2016-01-01,93.03
2016-01-08,86.88
2016-01-15,84.335
2016-01-22,85.03
2016-01-29,86.49
2016-02-05,84.5106
2016-02-12,82.3
2016-02-19,85.48
2016-02-26,86.64
2016-03-04,90.1
2016-03-11,90.85
2016-03-18,92.07
2016-03-25,90.97
2016-04-01,92.27
2016-04-08,91.13
2016-04-15,93.69
2016-04-22,94.8
2016-04-29,93.6045
2016-05-06,92.1
2016-05-13,91.7499
2016-05-20,92.06
2016-05-27,94.01
2016-06-03,94.28
2016-06-10,93.7808
2016-06-17,92.28
2016-06-24,89.7
2016-07-01,92.33
2016-07-08,92.72
2016-07-15,94.85
2016-07-22,95.08
2016-07-29,95.82
2016-08-05,96.08
2016-08-12,97.128
2016-08-19,98.19
2016-08-26,96.38
2016-09-02,97.27
2016-09-09,95.9
2016-09-16,95.16
2016-09-23,97.2
2016-09-30,97.21
2016-10-07,96.3501
2016-10-14,95.3901
2016-10-21,96.76
2016-10-28,95.11
