date,value
2015-01-02,59.24
2015-01-09,58.16
2015-01-16,56.64
2015-01-23,58.62
2015-01-30,56.45
2015-02-06,59.17
2015-02-13,62.85
2015-02-20,63.74
2015-02-27,69.38
2015-03-06,64.56
2015-03-13,64.6
2015-03-20,67.69
2015-03-27,66.55
2015-04-03,66.68
2015-04-10,67.64
2015-04-17,65.81
2015-04-24,67.83
2015-05-01,73.36
2015-05-08,72.4
2015-05-15,72.4
2015-05-22,75.01
2015-05-29,72.75
2015-06-05,73.55
2015-06-12,71.77
2015-06-19,75.0
2015-06-26,72.34
2015-07-03,70.42
2015-07-10,71.14
2015-07-17,72.81
2015-07-24,73.92
2015-07-31,73.3
2015-08-07,70.41
2015-08-14,72.99
2015-08-21,69.15
2015-08-28,70.25
2015-09-04,67.13
2015-09-11,70.05
2015-09-18,71.4
2015-09-25,72.44
2015-10-02,73.93
2015-10-09,75.25
2015-10-16,78.77
2015-10-23,78.56
2015-10-30,77.71
2015-11-06,79.41
2015-11-13,75.6
2015-11-20,80.99
2015-11-27,79.97
2015-12-04,82.14
2015-12-11,76.87
2015-12-18,77.03
2015-12-25,77.83
2016-01-01,78.4
2016-01-08,73.23
2016-01-15,70.86
2016-01-22,71.55
2016-01-29,68.06
2016-02-05,58.51
2016-02-12,59.68
2016-02-19,62.14
2016-02-26,69.72
2016-03-04,71.06
2016-03-11,71.63
2016-03-18,72.65
2016-03-25,72.44
2016-04-01,75.73
2016-04-08,74.85
2016-04-15,76.31
2016-04-22,76.48
2016-04-29,75.8
2016-05-06,74.25
2016-05-13,76.37
2016-05-20,81.02
2016-05-27,83.77
2016-06-03,82.55
2016-06-10,81.83
2016-06-17,80.5
2016-06-24,78.46
2016-07-01,79.83
2016-07-08,80.89
2016-07-15,81.4
2016-07-22,82.55
2016-07-29,81.8
2016-08-05,81.33
2016-08-12,81.63
2016-08-19,77.48
2016-08-26,80.03
2016-09-02,75.1
2016-09-09,74.2
2016-09-16,73.29
2016-09-23,70.39
2016-09-30,71.33
2016-10-07,70.91
2016-10-14,74.27
2016-10-21,74.0
2016-10-28,75.13
2016-11-04,74.37
2016-11-11,74.59
2016-11-18,77.77
2016-11-25,73.73
2016-12-02,68.41
2016-12-09,71.17
2016-12-16,69.86
2016-12-23,69.87
2016-12-30,68.46
2017-01-06,73.8
2017-01-13,75.64
2017-01-20,76.03
2017-01-27,78.21
