date,value
2015-01-02,90.02
2015-01-09,93.66
2015-01-16,92.46
2015-01-23,89.54
2015-01-30,89.68
2015-02-06,94.0
2015-02-13,94.14
2015-02-20,94.16
2015-02-27,93.07
2015-03-06,92.51
2015-03-13,90.35
2015-03-20,92.7
2015-03-27,91.46
2015-04-03,93.9
2015-04-10,93.31
2015-04-17,91.87
2015-04-24,99.55
2015-05-01,97.49
2015-05-08,98.17
2015-05-15,98.76
2015-05-22,98.06
2015-05-29,99.15
2015-06-05,101.06
2015-06-12,100.85
2015-06-19,101.15
2015-06-26,101.45
2015-07-03,101.48
2015-07-10,101.31
2015-07-17,103.3
2015-07-24,102.44
2015-07-31,101.26
2015-08-07,101.57
2015-08-14,103.39
2015-08-21,99.49
2015-08-28,101.07
2015-09-04,98.12
2015-09-11,99.12
2015-09-18,96.98
2015-09-25,95.26
2015-10-02,90.58
2015-10-09,91.96
2015-10-16,91.58
2015-10-23,85.7
2015-10-30,87.0
2015-11-06,86.31
2015-11-13,85.53
2015-11-20,86.6
2015-11-27,89.32
2015-12-04,89.8
2015-12-11,88.25
2015-12-18,88.0
2015-12-25,89.21
2016-01-01,88.69
2016-01-08,80.64
2016-01-15,79.55
2016-01-22,80.09
2016-01-29,83.68
2016-02-05,86.62
2016-02-12,83.89
2016-02-19,87.89
2016-02-26,90.44
2016-03-04,93.93
2016-03-11,95.8
2016-03-18,98.26
2016-03-25,97.28
2016-04-01,99.79
2016-04-08,99.02
2016-04-15,102.0
2016-04-22,100.67
2016-04-29,101.9
2016-05-06,102.06
2016-05-13,100.57
2016-05-20,102.25
2016-05-27,104.0
2016-06-03,100.6
2016-06-10,99.8
2016-06-17,101.16
2016-06-24,101.43
2016-07-01,105.53
2016-07-08,107.83
2016-07-15,108.15
2016-07-22,107.0
2016-07-29,103.29
2016-08-05,105.23
2016-08-12,105.65
2016-08-19,104.64
2016-08-26,104.38
2016-09-02,104.94
2016-09-09,100.97
2016-09-16,98.98
2016-09-23,101.57
2016-09-30,102.57
2016-10-07,105.1
2016-10-14,104.82
2016-10-21,103.67
2016-10-28,102.8
2016-11-04,104.69
2016-11-11,112.28
2016-11-18,112.11
2016-11-25,115.96
2016-12-02,112.37
2016-12-09,113.87
2016-12-16,112.46
2016-12-23,111.51
2016-12-30,110.29
2017-01-06,109.4
2017-01-13,109.2
2017-01-20,107.49
2017-01-27,111.81
2017-02-03,109.17
2017-02-10,105.16
2017-02-17,105.87
2017-02-24,104.58
2017-03-03,105.95
2017-03-10,106.63
2017-03-17,108.42
2017-03-24,106.48
2017-03-31,106.41
2017-04-07,103.92
2017-04-14,102.86
2017-04-21,107.44
2017-04-28,101.39
2017-05-05,103.55
2017-05-12,102.35
2017-05-19,100.41
2017-05-26,102.06
2017-06-02,100.47
2017-06-09,98.84
2017-06-16,95.88
2017-06-23,94.16
2017-06-30,95.4
2017-07-07,96.42
2017-07-14,97.69
2017-07-21,100.09
2017-07-28,97.82
2017-08-04,98.37
2017-08-11,95.41
2017-08-18,92.75
2017-08-25,94.64
2017-09-01,94.72
2017-09-08,95.96
2017-09-15,96.77
2017-09-22,98.19
2017-09-29,100.29
2017-10-06,102.74
2017-10-13,99.56
2017-10-20,103.8
2017-10-27,111.19
2017-11-03,109.73
2017-11-10,109.07
2017-11-17,108.83
2017-11-24,110.82
2017-12-01,113.57
2017-12-08,114.12
2017-12-15,112.38
2017-12-22,113.51
2017-12-29,113.65
2018-01-05,117.94
2018-01-12,116.96
2018-01-19,117.8
2018-01-26,113.34
2018-02-02,114.27
2018-02-09,107.85
2018-02-16,107.26
2018-02-23,104.99
2018-03-02,102.48
2018-03-09,107.47
2018-03-16,105.41
2018-03-23,102.98
2018-03-30,104.41
2018-04-06,98.32
2018-04-13,99.34
2018-04-20,102.42
2018-04-27,108.09
2018-05-04,107.28
2018-05-11,105.94
2018-05-18,107.17
2018-05-25,108.0
2018-06-01,108.81
2018-06-08,111.14
2018-06-15,108.58
2018-06-22,108.22
2018-06-29,108.31
2018-07-06,112.3
2018-07-13,114.32
2018-07-20,114.98
2018-07-27,122.19
2018-08-03,124.91
2018-08-10,124.33
2018-08-17,125.17
2018-08-24,127.53
2018-08-31,126.81
2018-09-07,126.85
2018-09-14,128.36
2018-09-21,123.85
2018-09-28,121.8
2018-10-05,117.2
2018-10-12,106.11
2018-10-19,101.75
2018-10-26,95.14
2018-11-02,99.24
2018-11-09,102.01
2018-11-16,105.1
2018-11-23,103.86
2018-11-30,105.52
2018-12-07,99.52
2018-12-14,96.56
2018-12-21,94.41
2018-12-28,99.1
2019-01-04,101.04
2019-01-11,106.26
2019-01-18,108.72
2019-01-25,108.24
2019-02-01,108.78
2019-02-08,119.31
2019-02-15,121.42
2019-02-22,123.15
2019-03-01,124.11
2019-03-08,121.47
2019-03-15,123.9
2019-03-22,120.4
2019-03-29,122.62
2019-04-05,125.22
2019-04-12,126.9
2019-04-19,127.93
2019-04-26,139.95
2019-05-03,140.47
2019-05-10,136.35
2019-05-17,136.91
2019-05-24,135.26
2019-05-31,133.31
2019-06-07,137.84
2019-06-14,137.13
2019-06-21,139.23
2019-06-28,140.41
2019-07-05,139.35
2019-07-12,135.38
2019-07-19,129.84
2019-07-26,142.01
2019-08-02,140.04
2019-08-09,140.91
2019-08-16,140.99
2019-08-23,137.16
2019-08-30,144.96
2019-09-06,143.67
2019-09-13,149.29
2019-09-20,145.23
2019-09-27,143.01
2019-10-04,141.42
2019-10-11,140.84
2019-10-18,143.02
2019-10-25,154.76
2019-11-01,156.34
2019-11-08,157.9
2019-11-15,161.0
2019-11-22,154.25
2019-11-29,155.98
2019-12-06,158.7
2019-12-13,158.96
2019-12-20,163.07
2019-12-27,163.04
2020-01-03,161.28
