date,value
2015-01-02,24.73
2015-01-09,23.91
2015-01-16,23.35
2015-01-23,23.4
2015-01-30,23.87
2015-02-06,24.22
2015-02-13,24.59
2015-02-20,24.31
2015-02-27,25.0
2015-03-06,24.9
2015-03-13,25.26
2015-03-20,25.92
2015-03-27,25.44
2015-04-03,25.81
2015-04-10,27.5
2015-04-17,26.43
2015-04-24,26.68
2015-05-01,26.3
2015-05-08,25.27
2015-05-15,25.18
2015-05-22,25.6
2015-05-29,25.76
2015-06-05,25.6
2015-06-12,24.82
2015-06-19,25.8
2015-06-26,25.52
2015-07-03,23.88
2015-07-10,24.1
2015-07-17,23.09
2015-07-24,22.46
2015-07-31,22.29
2015-08-07,21.17
2015-08-14,21.65
2015-08-21,21.55
2015-08-28,21.13
2015-09-04,20.89
2015-09-11,21.24
2015-09-18,22.04
2015-09-25,21.5
2015-10-02,21.09
2015-10-09,22.84
2015-10-16,23.5
2015-10-23,22.32
2015-10-30,22.62
2015-11-06,24.04
2015-11-13,22.6
2015-11-20,22.34
2015-11-27,23.03
2015-12-04,23.33
2015-12-11,21.28
2015-12-18,20.25
2015-12-25,20.26
2016-01-01,20.86
2016-01-08,19.15
2016-01-15,16.63
2016-01-22,16.82
2016-01-29,18.33
2016-02-05,17.51
2016-02-12,14.68
2016-02-19,15.41
2016-02-26,16.58
2016-03-04,17.79
2016-03-11,18.12
2016-03-18,18.33
2016-03-25,17.47
2016-04-01,18.42
2016-04-08,18.14
2016-04-15,19.99
2016-04-22,20.68
2016-04-29,20.06
2016-05-06,19.85
2016-05-13,18.79
2016-05-20,18.44
2016-05-27,18.02
2016-06-03,18.35
2016-06-10,18.01
2016-06-17,17.56
2016-06-24,16.93
2016-07-01,17.77
2016-07-08,18.64
2016-07-15,19.24
2016-07-22,19.6
2016-07-29,19.48
2016-08-05,16.9
2016-08-12,16.31
2016-08-19,16.28
2016-08-26,16.92
2016-09-02,17.5
2016-09-09,17.29
2016-09-16,17.08
2016-09-23,17.07
2016-09-30,16.8
2016-10-07,16.4
2016-10-14,16.0
2016-10-21,15.94
2016-10-28,15.8
2016-11-04,12.87
2016-11-11,14.73
2016-11-18,15.39
2016-11-25,15.89
2016-12-02,15.51
2016-12-09,16.99
2016-12-16,16.8
2016-12-23,16.3
2016-12-30,16.05
2017-01-06,16.03
2017-01-13,17.08
2017-01-20,16.94
2017-01-27,16.93
2017-02-03,16.74
2017-02-10,17.05
2017-02-17,17.06
2017-02-24,16.84
2017-03-03,15.18
2017-03-10,14.34
2017-03-17,13.97
2017-03-24,13.31
2017-03-31,14.06
2017-04-07,13.9
2017-04-14,13.53
2017-04-21,14.17
2017-04-28,13.97
2017-05-05,13.85
2017-05-12,14.0
2017-05-19,14.21
2017-05-26,14.57
2017-06-02,14.35
2017-06-09,14.33
2017-06-16,15.64
2017-06-23,15.71
2017-06-30,15.21
2017-07-07,14.83
2017-07-14,14.55
2017-07-21,14.58
2017-07-28,14.27
2017-08-04,13.12
2017-08-11,12.15
2017-08-18,11.85
2017-08-25,11.89
2017-09-01,12.53
2017-09-08,12.27
2017-09-15,12.52
2017-09-22,12.24
2017-09-29,12.55
2017-10-06,13.35
2017-10-13,12.14
2017-10-20,12.92
2017-10-27,12.37
2017-11-03,15.4
2017-11-10,15.75
2017-11-17,15.93
2017-11-24,16.28
2017-12-01,15.91
2017-12-08,14.9
