date,value
2015-01-02,52.67
2015-01-09,54.115
2015-01-16,55.035
2015-01-23,56.055
2015-01-30,54.13
2015-02-06,57.435
2015-02-13,60.23
2015-02-20,63.05
2015-02-27,62.485
2015-03-06,61.61
2015-03-13,61.145
2015-03-20,64.06
2015-03-27,63.0
2015-04-03,62.57
2015-04-10,62.8
2015-04-17,60.7
2015-04-24,59.73
2015-05-01,59.14
2015-05-08,63.09
2015-05-15,63.57
2015-05-22,64.81
2015-05-29,64.72
2015-06-05,64.6
2015-06-12,63.61
2015-06-19,62.49
2015-06-26,63.83
2015-07-03,60.53
2015-07-10,59.71
2015-07-17,60.59
2015-07-24,61.6
2015-07-31,63.1
2015-08-07,67.62
2015-08-14,67.17
2015-08-21,62.85
2015-08-28,63.72
2015-09-04,61.75
2015-09-11,62.79
2015-09-18,61.83
2015-09-25,61.29
2015-10-02,63.27
2015-10-09,66.94
2015-10-16,64.9
2015-10-23,68.83
2015-10-30,68.11
2015-11-06,69.05
2015-11-13,65.9
2015-11-20,65.13
2015-11-27,64.73
2015-12-04,62.96
2015-12-11,58.3
2015-12-18,58.86
2015-12-25,60.73
2016-01-01,60.02
2016-01-08,55.76
2016-01-15,58.71
2016-01-22,60.51
2016-01-29,63.31
2016-02-05,58.54
2016-02-12,53.87
2016-02-19,55.9
2016-02-26,57.04
2016-03-04,57.74
2016-03-11,56.97
2016-03-18,59.25
2016-03-25,60.32
2016-04-01,63.12
2016-04-08,60.16
2016-04-15,60.07
2016-04-22,60.44
2016-04-29,58.37
2016-05-06,60.55
2016-05-13,61.35
2016-05-20,62.94
2016-05-27,62.46
2016-06-03,60.12
2016-06-10,60.27
2016-06-17,59.55
2016-06-24,58.01
2016-07-01,57.2
2016-07-08,57.93
2016-07-15,57.76
2016-07-22,58.36
2016-07-29,57.49
2016-08-05,59.71
2016-08-12,58.2
2016-08-19,57.14
2016-08-26,57.87
2016-09-02,58.36
2016-09-09,55.23
2016-09-16,53.32
2016-09-23,54.41
2016-09-30,47.71
2016-10-07,50.35
2016-10-14,50.34
2016-10-21,49.71
2016-10-28,51.57
2016-11-04,52.08
2016-11-11,53.95
2016-11-18,55.57
2016-11-25,53.25
2016-12-02,54.02
2016-12-09,55.84
2016-12-16,56.26
2016-12-23,56.49
2016-12-30,56.03
2017-01-06,57.87
2017-01-13,56.52
2017-01-20,56.85
2017-01-27,56.13
2017-02-03,52.5
2017-02-10,57.4
2017-02-17,57.96
2017-02-24,59.5
2017-03-03,59.88
2017-03-10,58.74
2017-03-17,58.56
2017-03-24,58.62
2017-03-31,59.52
2017-04-07,58.43
2017-04-14,58.35
2017-04-21,57.85
2017-04-28,60.23
2017-05-05,63.22
2017-05-12,64.39
2017-05-19,65.42
2017-05-26,66.79
2017-06-02,67.47
