date,value
2015-01-02,53.44
2015-01-09,51.94
2015-01-16,52.57
2015-01-23,52.48
2015-01-30,52.29
2015-02-06,53.32
2015-02-13,52.32
2015-02-20,53.59
2015-02-27,52.27
2015-03-06,51.35
2015-03-13,50.78
2015-03-20,53.61
2015-03-27,53.92
2015-04-03,50.91
2015-04-10,50.18
2015-04-17,49.22
2015-04-24,50.07
2015-05-01,50.01
2015-05-08,48.59
2015-05-15,48.07
2015-05-22,48.0
2015-05-29,47.8
2015-06-05,48.72
2015-06-12,49.25
2015-06-19,49.28
2015-06-26,49.57
2015-07-03,47.3
2015-07-10,45.22
2015-07-17,46.21
2015-07-24,43.69
2015-07-31,44.37
2015-08-07,43.62
2015-08-14,41.78
2015-08-21,42.04
2015-08-28,42.57
2015-09-04,40.72
2015-09-11,40.9
2015-09-18,42.69
2015-09-25,42.01
2015-10-02,40.71
2015-10-09,43.27
2015-10-16,43.25
2015-10-23,44.98
2015-10-30,44.85
2015-11-06,45.75
2015-11-13,43.42
2015-11-20,44.99
2015-11-27,48.11
2015-12-04,49.16
2015-12-11,45.97
2015-12-18,45.42
2015-12-25,47.24
2016-01-01,47.25
2016-01-08,44.84
2016-01-15,42.18
2016-01-22,40.74
2016-01-29,39.96
2016-02-05,34.33
2016-02-12,31.59
2016-02-19,33.84
2016-02-26,35.18
2016-03-04,36.57
2016-03-11,38.53
2016-03-18,40.43
2016-03-25,38.91
2016-04-01,39.77
2016-04-08,39.51
2016-04-15,40.55
2016-04-22,42.05
2016-04-29,41.57
2016-05-06,38.4
2016-05-13,38.75
2016-05-20,40.23
2016-05-27,41.38
2016-06-03,40.54
2016-06-10,41.83
2016-06-17,41.41
2016-06-24,41.71
2016-07-01,40.14
2016-07-08,39.95
2016-07-15,40.6
2016-07-22,40.07
2016-07-29,40.84
2016-08-05,44.03
2016-08-12,45.91
2016-08-19,46.53
2016-08-26,46.85
2016-09-02,48.01
2016-09-09,46.71
2016-09-16,46.31
2016-09-23,46.96
2016-09-30,46.81
2016-10-07,45.62
2016-10-14,40.47
2016-10-21,40.75
2016-10-28,42.15
2016-11-04,42.0
2016-11-11,48.0
2016-11-18,49.25
2016-11-25,47.0
2016-12-02,45.85
2016-12-09,50.4
2016-12-16,49.55
2016-12-23,48.7
2016-12-30,47.95
2017-01-06,46.85
2017-01-13,48.15
2017-01-20,48.3
2017-01-27,48.6
2017-02-03,48.2
2017-02-10,51.5
2017-02-17,52.5
2017-02-24,52.9
2017-03-03,52.5
2017-03-10,50.7
2017-03-17,55.25
2017-03-24,52.65
2017-03-31,52.8
2017-04-07,49.3
2017-04-14,48.8
2017-04-21,50.75
2017-04-28,51.9
2017-05-05,52.0
2017-05-12,44.5
2017-05-19,44.95
2017-05-26,46.7
2017-06-02,47.6
2017-06-09,47.05
2017-06-16,46.65
2017-06-23,45.9
2017-06-30,46.3
2017-07-07,47.1
2017-07-14,47.35
2017-07-21,47.6
2017-07-28,47.35
2017-08-04,42.65
2017-08-11,42.2
2017-08-18,42.35
2017-08-25,42.25
2017-09-01,43.3
2017-09-08,43.6
2017-09-15,44.35
2017-09-22,51.6
2017-09-29,51.0
2017-10-06,52.85
2017-10-13,52.45
2017-10-20,53.05
2017-10-27,54.2
2017-11-03,53.75
2017-11-10,53.0
2017-11-17,53.0
2017-11-24,62.15
2017-12-01,61.75
2017-12-08,60.25
2017-12-15,59.35
2017-12-22,58.85
2017-12-29,58.95
2018-01-05,59.35
2018-01-12,61.95
2018-01-19,60.65
2018-01-26,60.1
2018-02-02,58.15
2018-02-09,57.0
2018-02-16,61.1
2018-02-23,61.5
2018-03-02,61.25
2018-03-09,64.2
2018-03-16,65.0
2018-03-23,62.8
2018-03-30,63.6
2018-04-06,61.75
2018-04-13,63.75
2018-04-20,65.4
2018-04-27,63.1
2018-05-04,64.45
2018-05-11,70.7
2018-05-18,71.5
2018-05-25,70.65
2018-06-01,70.35
2018-06-08,70.5
2018-06-15,66.5
2018-06-22,67.25
2018-06-29,64.2
2018-07-06,68.35
2018-07-13,69.9
2018-07-20,68.9
2018-07-27,67.75
2018-08-03,66.7
2018-08-10,73.05
2018-08-17,74.5
2018-08-24,75.7
2018-08-31,75.7
2018-09-07,75.45
2018-09-14,75.45
2018-09-21,72.05
2018-09-28,73.05
2018-10-05,70.74
2018-10-12,67.68
2018-10-19,65.81
2018-10-26,65.28
2018-11-02,65.75
2018-11-09,69.06
2018-11-16,68.29
2018-11-23,64.13
2018-11-30,61.19
2018-12-07,55.13
2018-12-14,56.39
2018-12-21,51.9
2018-12-28,53.3
2019-01-04,54.88
2019-01-11,59.28
2019-01-18,62.35
2019-01-25,63.98
2019-02-01,63.97
2019-02-08,57.95
2019-02-15,60.35
2019-02-22,62.71
2019-03-01,61.38
2019-03-08,55.57
2019-03-15,55.5
2019-03-22,54.55
2019-03-29,56.24
2019-04-05,56.82
2019-04-12,55.96
2019-04-19,54.32
2019-04-26,56.27
2019-05-03,59.68
2019-05-10,59.64
2019-05-17,61.88
2019-05-24,58.73
2019-05-31,56.42
2019-06-07,59.8
2019-06-14,61.14
2019-06-21,63.2
2019-06-28,64.48
2019-07-05,67.0
2019-07-12,67.44
2019-07-19,66.5
2019-07-26,67.99
2019-08-02,65.07
2019-08-09,70.81
2019-08-16,68.42
2019-08-23,68.32
2019-08-30,69.27
2019-09-06,67.0
2019-09-13,71.67
2019-09-20,72.08
2019-09-27,71.24
2019-10-04,68.62
2019-10-11,68.8
2019-10-18,69.78
2019-10-25,72.15
2019-11-01,74.26
2019-11-08,72.81
2019-11-15,73.43
2019-11-22,60.1
2019-11-29,59.55
2019-12-06,64.28
2019-12-13,64.5
2019-12-20,62.88
2019-12-27,62.88
2020-01-03,65.0
