date,value
2015-01-02,112.58
2015-01-09,108.21
2015-01-16,105.12
2015-01-23,106.85
2015-01-30,102.53
2015-02-06,109.61
2015-02-13,112.78
2015-02-20,108.6
2015-02-27,106.68
2015-03-06,103.55
2015-03-13,101.62
2015-03-20,107.03
2015-03-27,104.28
2015-04-03,105.28
2015-04-10,106.91
2015-04-17,109.11
2015-04-24,109.87
2015-05-01,109.04
2015-05-08,108.65
2015-05-15,108.03
2015-05-22,104.89
2015-05-29,103.0
2015-06-05,101.59
2015-06-12,99.87
2015-06-19,99.47
2015-06-26,98.6
2015-07-03,95.87
2015-07-10,94.41
2015-07-17,93.15
2015-07-24,90.6
2015-07-31,88.48
2015-08-07,83.75
2015-08-14,85.99
2015-08-21,75.76
2015-08-28,80.43
2015-09-04,76.67
2015-09-11,75.79
2015-09-18,77.74
2015-09-25,77.7
2015-10-02,81.55
2015-10-09,89.57
2015-10-16,91.29
2015-10-23,91.24
2015-10-30,90.88
2015-11-06,94.03
2015-11-13,88.68
2015-11-20,89.01
2015-11-27,90.37
2015-12-04,89.71
2015-12-11,86.44
2015-12-18,89.81
2015-12-25,92.05
2016-01-01,89.96
2016-01-08,82.13
2016-01-15,83.67
2016-01-22,83.54
2016-01-29,86.47
2016-02-05,82.88
2016-02-12,85.43
2016-02-19,86.5
2016-02-26,84.35
2016-03-04,87.93
2016-03-11,94.58
2016-03-18,97.69
2016-03-25,94.85
2016-04-01,94.26
2016-04-08,96.33
2016-04-15,97.23
2016-04-22,102.01
2016-04-29,102.18
2016-05-06,101.86
2016-05-13,100.74
2016-05-20,99.79
2016-05-27,102.02
2016-06-03,100.66
2016-06-10,101.98
2016-06-17,101.57
2016-06-24,101.9
2016-07-01,104.15
2016-07-08,104.77
2016-07-15,107.03
2016-07-22,105.66
2016-07-29,102.48
2016-08-05,100.51
2016-08-12,102.16
2016-08-19,102.32
2016-08-26,101.32
2016-09-02,100.93
2016-09-09,101.27
2016-09-16,97.84
2016-09-23,99.22
2016-09-30,102.92
2016-10-07,102.27
2016-10-14,101.08
2016-10-21,101.3
2016-10-28,103.82
2016-11-04,104.78
2016-11-11,106.64
2016-11-18,109.2
2016-11-25,111.0
2016-12-02,113.0
2016-12-09,115.81
2016-12-16,118.08
2016-12-23,118.42
2016-12-30,117.7
2017-01-06,116.84
2017-01-13,116.38
2017-01-20,115.6
2017-01-27,113.79
2017-02-03,113.57
2017-02-10,113.05
2017-02-17,110.33
2017-02-24,110.12
2017-03-03,113.55
2017-03-10,110.61
2017-03-17,107.68
2017-03-24,107.99
2017-03-31,107.37
2017-04-07,108.86
2017-04-14,106.1
2017-04-21,104.89
2017-04-28,106.7
2017-05-05,105.79
2017-05-12,105.96
2017-05-19,106.52
2017-05-26,104.72
2017-06-02,103.11
2017-06-09,106.4
2017-06-16,108.35
2017-06-23,105.0
2017-06-30,104.33
2017-07-07,103.49
2017-07-14,104.44
2017-07-21,103.25
2017-07-28,108.12
2017-08-04,110.11
2017-08-11,109.23
2017-08-18,106.48
2017-08-25,108.23
2017-09-01,108.76
2017-09-08,110.78
2017-09-15,114.63
2017-09-22,117.29
2017-09-29,117.5
2017-10-06,117.03
2017-10-13,119.16
2017-10-20,118.64
2017-10-27,113.54
2017-11-03,114.99
2017-11-10,117.18
2017-11-17,114.71
2017-11-24,116.51
2017-12-01,119.51
2017-12-08,119.92
2017-12-15,119.73
2017-12-22,124.98
2017-12-29,125.19
2018-01-05,127.9
2018-01-12,133.6
2018-01-19,131.3
2018-01-26,131.19
2018-02-02,118.58
2018-02-09,113.5
2018-02-16,112.14
2018-02-23,112.59
2018-03-02,111.64
2018-03-09,117.22
2018-03-16,115.4
2018-03-23,112.98
2018-03-30,114.04
2018-04-06,114.76
2018-04-13,119.92
2018-04-20,122.31
2018-04-27,126.62
2018-05-04,125.53
2018-05-11,129.84
2018-05-18,127.86
2018-05-25,122.19
2018-06-01,123.85
2018-06-08,126.44
2018-06-15,124.04
2018-06-22,125.1
2018-06-29,126.43
2018-07-06,124.14
2018-07-13,124.04
2018-07-20,122.27
2018-07-27,125.97
2018-08-03,124.05
2018-08-10,123.34
2018-08-17,117.8
2018-08-24,119.01
2018-08-31,118.46
2018-09-07,114.6
2018-09-14,117.38
2018-09-21,121.13
2018-09-28,122.28
2018-10-05,125.33
2018-10-12,117.77
2018-10-19,118.14
2018-10-26,111.53
2018-11-02,114.73
2018-11-09,119.51
2018-11-16,119.06
2018-11-23,113.6
2018-11-30,118.94
2018-12-07,115.49
2018-12-14,113.83
