date,value
2015-01-02,22.39
2015-01-09,22.06
2015-01-16,21.94
2015-01-23,22.24
2015-01-30,21.94
2015-02-06,22.6825
2015-02-13,23.05
2015-02-20,22.98
2015-02-27,22.82
2015-03-06,22.23
2015-03-13,21.8
2015-03-20,22.39
2015-03-27,22.0
2015-04-03,22.13
2015-04-10,22.48
2015-04-17,22.51
2015-04-24,22.77
2015-05-01,22.72
2015-05-08,22.55
2015-05-15,22.57
2015-05-22,22.51
2015-05-29,22.23
2015-06-05,21.87
2015-06-12,21.82
2015-06-19,21.9
2015-06-26,21.39
2015-07-03,21.12
2015-07-10,21.13
2015-07-17,21.16
2015-07-24,20.54
2015-07-31,20.96
2015-08-07,20.63
2015-08-14,20.86
2015-08-21,19.89
2015-08-28,19.96
2015-09-04,19.37
2015-09-11,19.4
2015-09-18,19.46
2015-09-25,18.6409
2015-10-02,18.86
2015-10-09,19.95
2015-10-16,19.83
2015-10-23,19.81
2015-10-30,19.6499
2015-11-06,19.63
2015-11-13,18.92
2015-11-20,19.24
2015-11-27,19.31
2015-12-04,18.85
2015-12-11,18.01
2015-12-18,17.85
2015-12-25,18.32
2016-01-01,18.18
2016-01-08,17.39
2016-01-15,16.77
2016-01-22,17.0
2016-01-29,17.47
2016-02-05,17.26
2016-02-12,16.7
2016-02-19,17.14
2016-02-26,17.37
2016-03-04,18.08
2016-03-11,18.43
2016-03-18,18.76
2016-03-25,18.17
2016-04-01,18.35
2016-04-08,18.13
2016-04-15,18.59
2016-04-22,19.08
2016-04-29,19.01
2016-05-06,18.74
2016-05-13,18.6
2016-05-20,18.73
2016-05-27,19.01
2016-06-03,19.14
2016-06-10,19.04
2016-06-17,18.9
2016-06-24,18.53
2016-07-01,19.1
2016-07-08,19.14
2016-07-15,19.51
2016-07-22,19.69
2016-07-29,19.65
2016-08-05,19.6
2016-08-12,19.66
2016-08-19,19.8
2016-08-26,19.7
2016-09-02,19.78
2016-09-09,19.3858
2016-09-16,19.24
2016-09-23,19.63
2016-09-30,19.39
2016-10-07,19.17
2016-10-14,19.1
2016-10-21,19.4075
2016-10-28,19.24
2016-11-04,18.86
2016-11-11,19.36
2016-11-18,19.6989
2016-11-25,19.97
2016-12-02,19.84
2016-12-09,20.44
2016-12-16,20.3
2016-12-23,20.23
2016-12-30,20.16
2017-01-06,20.46
2017-01-13,20.48
2017-01-20,20.33
2017-01-27,20.51
2017-02-03,20.59
2017-02-10,20.78
2017-02-17,20.78
2017-02-24,20.89
2017-03-03,20.86
2017-03-10,20.53
2017-03-17,20.8507
2017-03-24,20.63
2017-03-31,20.6903
2017-04-07,20.54
2017-04-14,20.47
2017-04-21,20.7
2017-04-28,20.8704
2017-05-05,20.81
2017-05-12,20.64
2017-05-19,20.64
2017-05-26,20.76
2017-06-02,20.95
2017-06-09,21.05
2017-06-16,21.13
2017-06-23,21.07
2017-06-30,20.95
2017-07-07,20.92
2017-07-14,21.19
2017-07-21,21.26
2017-07-28,21.28
2017-08-04,21.28
2017-08-11,20.8
2017-08-18,20.64
2017-08-25,20.92
2017-09-01,21.2
2017-09-08,21.11
2017-09-15,21.52
2017-09-22,21.62
2017-09-29,21.7
2017-10-06,21.71
2017-10-13,21.7
2017-10-20,21.85
2017-10-27,21.64
2017-11-03,21.61
2017-11-10,21.51
2017-11-17,21.69
2017-11-24,21.8
2017-12-01,22.067
2017-12-08,22.1461
2017-12-15,22.25
2017-12-22,22.4909
2017-12-29,22.42
2018-01-05,22.65
2018-01-12,23.06
2018-01-19,23.12
2018-01-26,23.34
2018-02-02,22.4
2018-02-09,21.7
2018-02-16,22.36
2018-02-23,22.19
2018-03-02,21.7999
2018-03-09,22.19
2018-03-16,22.08
2018-03-23,21.31
2018-03-30,21.48
2018-04-06,21.35
2018-04-13,21.5699
2018-04-20,21.7
2018-04-27,21.985
2018-05-04,21.85
2018-05-11,21.95
2018-05-18,22.02
2018-05-25,22.04
2018-06-01,22.18
2018-06-08,22.5
2018-06-15,22.48
2018-06-22,22.43
2018-06-29,21.94
2018-07-06,22.23
2018-07-13,22.22
2018-07-20,22.19
2018-07-27,22.34
2018-08-03,22.49
2018-08-10,22.35
2018-08-17,22.55
2018-08-24,22.68
2018-08-31,22.65
2018-09-07,22.325
