date,value
2015-01-02,49.26
2015-01-09,48.6608
2015-01-16,48.15
2015-01-23,48.64
2015-01-30,48.429
2015-02-06,49.9
2015-02-13,50.71
2015-02-20,51.33
2015-02-27,51.04
2015-03-06,50.5099
2015-03-13,50.2
2015-03-20,51.5901
2015-03-27,50.79
2015-04-03,51.281
2015-04-10,51.5399
2015-04-17,51.0585
2015-04-24,51.5673
2015-05-01,51.0605
2015-05-08,51.2599
2015-05-15,51.48
2015-05-22,51.85
2015-05-29,51.26
2015-06-05,51.0744
2015-06-12,51.4446
2015-06-19,52.21
2015-06-26,51.7688
2015-07-03,51.16
2015-07-10,51.12
2015-07-17,51.49
2015-07-24,50.87
2015-07-31,51.8623
2015-08-07,51.4592
2015-08-14,51.9512
2015-08-21,49.66
2015-08-28,49.4242
2015-09-04,48.02
2015-09-11,48.58
2015-09-18,48.52
2015-09-25,47.5085
2015-10-02,47.53
2015-10-09,49.8656
2015-10-16,49.91
2015-10-23,49.86
2015-10-30,50.0
2015-11-06,50.22
2015-11-13,48.47
2015-11-20,49.67
2015-11-27,49.95
2015-12-04,49.37
2015-12-11,47.3085
2015-12-18,47.33
2015-12-25,48.2607
2016-01-01,47.9119
2016-01-08,45.18
2016-01-15,43.77
2016-01-22,44.1501
2016-01-29,44.7484
2016-02-05,43.59
2016-02-12,42.57
2016-02-19,44.0
2016-02-26,45.5215
2016-03-04,47.1801
2016-03-11,47.5919
2016-03-18,48.58
2016-03-25,47.931
2016-04-01,49.08
2016-04-08,48.07
2016-04-15,49.48
2016-04-22,50.18
2016-04-29,50.0
2016-05-06,49.68
2016-05-13,49.5969
2016-05-20,50.032
2016-05-27,51.2
2016-06-03,51.51
2016-06-10,51.26
2016-06-17,50.8124
2016-06-24,49.94
2016-07-01,50.89
2016-07-08,51.3351
2016-07-15,52.1667
2016-07-22,52.792
2016-07-29,52.7
2016-08-05,52.75
2016-08-12,52.6866
2016-08-19,52.6177
2016-08-26,52.5
2016-09-02,53.41
2016-09-09,51.9
2016-09-16,51.86
2016-09-23,53.07
2016-09-30,53.3179
2016-10-07,52.5572
2016-10-14,52.35
2016-10-21,52.48
2016-10-28,51.95
2016-11-04,51.455
2016-11-11,53.015
2016-11-18,53.8
2016-11-25,54.58
2016-12-02,53.89
2016-12-09,55.75
2016-12-16,55.4
2016-12-23,54.76
2016-12-30,54.38
2017-01-06,55.4266
2017-01-13,55.37
2017-01-20,55.2
2017-01-27,56.044
2017-02-03,56.61
2017-02-10,57.3883
2017-02-17,57.95
2017-02-24,58.245
2017-03-03,58.35
2017-03-10,57.775
2017-03-17,58.54
2017-03-24,57.8442
2017-03-31,58.23
2017-04-07,58.01
2017-04-14,57.3424
2017-04-21,58.2
2017-04-28,59.03
2017-05-05,59.09
2017-05-12,58.62
2017-05-19,58.58
2017-05-26,59.57
2017-06-02,60.25
2017-06-09,60.09
2017-06-16,60.4
2017-06-23,60.1
2017-06-30,60.3
2017-07-07,60.28
2017-07-14,61.08
2017-07-21,61.31
2017-07-28,61.26
2017-08-04,61.65
2017-08-11,60.7768
2017-08-18,60.76
2017-08-25,61.36
2017-09-01,61.88
2017-09-08,61.26
2017-09-15,62.07
2017-09-22,62.29
2017-09-29,62.88
2017-10-06,63.56
2017-10-13,64.07
2017-10-20,64.758
2017-10-27,64.81
2017-11-03,64.86
2017-11-10,64.25
2017-11-17,64.73
2017-11-24,65.1277
2017-12-01,66.398
2017-12-08,66.4
2017-12-15,65.976
2017-12-22,66.25
2017-12-29,65.57
2018-01-05,66.54
2018-01-12,67.66
2018-01-19,67.8721
2018-01-26,68.99
2018-02-02,67.0
2018-02-09,63.45
2018-02-16,65.87
2018-02-23,65.95
2018-03-02,64.74
2018-03-09,67.08
2018-03-16,66.31
2018-03-23,63.01
2018-03-30,64.95
2018-04-06,63.93
2018-04-13,64.61
2018-04-20,65.4138
2018-04-27,65.206
2018-05-04,64.905
2018-05-11,65.46
2018-05-18,65.63
2018-05-25,65.49
2018-06-01,65.66
2018-06-08,66.6
2018-06-15,66.27
2018-06-22,65.73
2018-06-29,64.69
2018-07-06,65.69
2018-07-13,66.14
2018-07-20,66.65
2018-07-27,67.22
2018-08-03,68.0802
2018-08-10,67.71
2018-08-17,68.3
2018-08-24,68.6039
2018-08-31,68.74
2018-09-07,68.23
2018-09-14,69.0255
2018-09-21,69.6159
2018-09-28,68.18
2018-10-05,67.36
2018-10-12,64.22
2018-10-19,64.77
2018-10-26,62.2
2018-11-02,64.08
2018-11-09,66.07
2018-11-16,65.52
2018-11-23,64.5
2018-11-30,65.75
2018-12-07,63.63
2018-12-14,62.5875
2018-12-21,58.59
2018-12-28,58.4187
2019-01-04,59.78
2019-01-11,61.52
2019-01-18,63.06
2019-01-25,63.5386
2019-02-01,64.9368
2019-02-08,65.44
2019-02-15,67.02
2019-02-22,67.7044
2019-03-01,67.23
2019-03-08,66.47
2019-03-15,68.09
2019-03-22,67.22
2019-03-29,68.1153
2019-04-05,69.73
2019-04-12,70.46
2019-04-19,69.66
2019-04-26,70.55
2019-05-03,70.9535
2019-05-10,69.5068
2019-05-17,68.9441
2019-05-24,68.59
2019-05-31,67.1211
2019-06-07,70.18
2019-06-14,70.2925
2019-06-21,71.3004
2019-06-28,71.5391
2019-07-05,72.7796
2019-07-12,72.7263
2019-07-19,71.8
2019-07-26,73.1981
2019-08-02,70.73
2019-08-09,70.28
2019-08-16,69.5979
2019-08-23,68.2503
2019-08-30,70.43
2019-09-06,71.83
2019-09-13,73.2646
2019-09-20,72.9649
2019-09-27,72.591
2019-10-04,71.4791
2019-10-11,71.82
2019-10-18,72.4833
2019-10-25,72.98
2019-11-01,74.48
2019-11-08,75.14
2019-11-15,75.72
2019-11-22,75.4284
2019-11-29,76.22
2019-12-06,76.89
2019-12-13,77.0685
2019-12-20,78.0
2019-12-27,76.947
2020-01-03,76.83
