date,value
2015-01-02,35.4
2015-01-09,34.0
2015-01-16,32.78
2015-01-23,32.31
2015-01-30,33.47
2015-02-06,34.37
2015-02-13,34.34
2015-02-20,35.8
2015-02-27,35.67
2015-03-06,36.38
2015-03-13,37.95
2015-03-20,38.95
2015-03-27,39.57
2015-04-03,39.92
2015-04-10,39.73
2015-04-17,40.9
2015-04-24,41.35
2015-05-01,39.69
2015-05-08,40.49
2015-05-15,39.75
2015-05-22,40.74
2015-05-29,40.13
2015-06-05,40.72
2015-06-12,42.31
2015-06-19,42.89
2015-06-26,43.64
2015-07-03,43.58
2015-07-10,43.83
2015-07-17,50.07
2015-07-24,50.76
2015-07-31,50.56
2015-08-07,48.66
2015-08-14,48.45
2015-08-21,46.91
2015-08-28,43.76
2015-09-04,41.69
2015-09-11,43.33
2015-09-18,42.28
2015-09-25,42.3
2015-10-02,39.89
2015-10-09,41.45
2015-10-16,41.0
2015-10-23,42.5
2015-10-30,43.08
2015-11-06,43.88
2015-11-13,45.57
2015-11-20,44.67
2015-11-27,44.96
2015-12-04,45.87
2015-12-11,44.05
2015-12-18,44.55
2015-12-25,45.31
2016-01-01,45.93
2016-01-08,40.28
2016-01-15,37.98
2016-01-22,38.23
2016-01-29,43.36
2016-02-05,40.67
2016-02-12,39.42
2016-02-19,39.85
2016-02-26,41.08
2016-03-04,42.04
2016-03-11,43.82
2016-03-18,44.22
2016-03-25,43.83
2016-04-01,44.86
2016-04-08,45.15
2016-04-15,46.78
2016-04-22,45.99
2016-04-29,49.62
2016-05-06,48.27
2016-05-13,47.72
2016-05-20,48.84
2016-05-27,50.1
2016-06-03,50.9
2016-06-10,51.92
2016-06-17,51.89
2016-06-24,51.71
2016-07-01,50.06
2016-07-08,50.36
2016-07-15,52.91
2016-07-22,52.78
2016-07-29,54.69
2016-08-05,56.26
2016-08-12,58.46
2016-08-19,57.12
2016-08-26,60.16
2016-09-02,61.6
2016-09-09,61.22
2016-09-16,61.21
2016-09-23,61.59
2016-09-30,60.61
2016-10-07,66.76
2016-10-14,68.52
2016-10-21,69.45
2016-10-28,73.25
2016-11-04,71.55
2016-11-11,84.05
2016-11-18,90.9
2016-11-25,94.55
2016-12-02,89.95
2016-12-09,95.65
2016-12-16,102.3
2016-12-23,103.25
2016-12-30,102.9
2017-01-06,102.35
2017-01-13,105.3
2017-01-20,103.1
2017-01-27,103.65
2017-02-03,97.15
2017-02-10,87.8
2017-02-17,86.9
2017-02-24,87.05
2017-03-03,84.2
2017-03-10,86.3
2017-03-17,91.35
2017-03-24,86.25
2017-03-31,88.5
2017-04-07,88.0
2017-04-14,83.65
2017-04-21,91.0
2017-04-28,84.9
2017-05-05,86.6
2017-05-12,83.45
2017-05-19,83.8
2017-05-26,87.85
2017-06-02,87.4
2017-06-09,90.9
2017-06-16,89.45
2017-06-23,85.4
2017-06-30,89.0
2017-07-07,89.15
2017-07-14,90.75
2017-07-21,92.75
2017-07-28,71.85
2017-08-04,74.75
2017-08-11,70.8
2017-08-18,69.3
2017-08-25,69.4
2017-09-01,69.95
2017-09-08,66.7
2017-09-15,75.45
2017-09-22,74.75
2017-09-29,78.4
2017-10-06,78.85
2017-10-13,80.1
2017-10-20,81.15
2017-10-27,83.9
2017-11-03,86.85
2017-11-10,85.05
2017-11-17,87.55
2017-11-24,88.35
2017-12-01,94.75
2017-12-08,90.65
2017-12-15,93.25
2017-12-22,92.9
2017-12-29,92.65
2018-01-05,90.15
2018-01-12,103.75
2018-01-19,104.85
2018-01-26,105.4
2018-02-02,109.5
2018-02-09,109.25
2018-02-16,110.5
2018-02-23,109.1
2018-03-02,110.25
2018-03-09,113.0
2018-03-16,116.1
2018-03-23,107.05
2018-03-30,109.2
2018-04-06,113.55
2018-04-13,112.9
2018-04-20,114.75
2018-04-27,112.3
2018-05-04,101.6
2018-05-11,106.65
2018-05-18,109.5
2018-05-25,109.85
2018-06-01,114.4
2018-06-08,112.35
2018-06-15,106.45
2018-06-22,101.85
2018-06-29,97.4
2018-07-06,99.15
2018-07-13,96.45
2018-07-20,97.85
2018-07-27,90.8
2018-08-03,89.2
2018-08-10,89.9
2018-08-17,86.85
2018-08-24,85.35
2018-08-31,86.6
2018-09-07,89.15
2018-09-14,84.7
2018-09-21,83.3
2018-09-28,82.65
2018-10-05,26.6
2018-10-12,25.3
2018-10-19,24.47
2018-10-26,23.69
2018-11-02,25.01
2018-11-09,24.96
2018-11-16,24.17
2018-11-23,23.05
2018-11-30,22.86
2018-12-07,20.46
2018-12-14,20.02
2018-12-21,18.64
2018-12-28,19.23
2019-01-04,20.12
2019-01-11,21.34
2019-01-18,21.52
2019-01-25,22.32
2019-02-01,23.66
2019-02-08,24.03
2019-02-15,24.96
2019-02-22,24.8
2019-03-01,22.6
2019-03-08,19.72
2019-03-15,20.02
2019-03-22,18.54
2019-03-29,19.68
2019-04-05,21.25
2019-04-12,21.85
2019-04-19,22.33
2019-04-26,26.04
2019-05-03,26.03
2019-05-10,26.96
2019-05-17,26.29
2019-05-24,27.5
2019-05-31,26.17
2019-06-07,27.33
2019-06-14,28.57
2019-06-21,28.04
2019-06-28,28.05
2019-07-05,28.18
2019-07-12,27.62
2019-07-19,26.67
2019-07-26,28.01
2019-08-02,30.27
2019-08-09,29.31
2019-08-16,30.28
2019-08-23,30.06
2019-08-30,30.91
2019-09-06,31.18
2019-09-13,33.97
2019-09-20,34.17
2019-09-27,32.43
2019-10-04,33.1
2019-10-11,33.72
2019-10-18,35.49
2019-10-25,32.01
2019-11-01,31.76
2019-11-08,32.31
2019-11-15,32.52
2019-11-22,34.71
2019-11-29,35.57
2019-12-06,35.34
2019-12-13,34.19
2019-12-20,35.18
2019-12-27,35.48
2020-01-03,36.05
