date,value
2015-01-02,77.49
2015-01-09,76.5
2015-01-16,77.76
2015-01-23,79.09
2015-01-30,76.89
2015-02-06,75.71
2015-02-13,72.91
2015-02-20,73.99
2015-02-27,72.09
2015-03-06,69.58
2015-03-13,68.96
2015-03-20,72.19
2015-03-27,70.39
2015-04-03,71.58
2015-04-10,71.9
2015-04-17,71.47
2015-04-24,73.54
2015-05-01,71.7
2015-05-08,71.79
2015-05-15,72.19
2015-05-22,71.97
2015-05-29,70.52
2015-06-05,67.14
2015-06-12,66.8
2015-06-19,68.05
2015-06-26,67.27
2015-07-03,67.9
2015-07-10,68.96
2015-07-17,69.65
2015-07-24,68.59
2015-07-31,71.7
2015-08-07,72.34
2015-08-14,75.37
2015-08-21,75.4
2015-08-28,71.03
2015-09-04,67.23
2015-09-11,67.76
2015-09-18,69.0
2015-09-25,70.06
2015-10-02,69.35
2015-10-09,71.02
2015-10-16,73.14
2015-10-23,73.08
2015-10-30,71.43
2015-11-06,67.85
2015-11-13,68.2
2015-11-20,69.0
2015-11-27,67.37
2015-12-04,66.6
2015-12-11,64.89
2015-12-18,66.9
2015-12-25,67.77
2016-01-01,67.64
2016-01-08,69.52
2016-01-15,68.88
2016-01-22,69.76
2016-01-29,72.17
2016-02-05,71.06
2016-02-12,68.94
2016-02-19,69.46
2016-02-26,70.02
2016-03-04,70.62
2016-03-11,72.22
2016-03-18,73.46
2016-03-25,73.42
2016-04-01,75.39
2016-04-08,73.04
2016-04-15,73.05
2016-04-22,70.06
2016-04-29,71.47
2016-05-06,71.27
2016-05-13,72.09
2016-05-20,70.98
2016-05-27,71.61
2016-06-03,72.97
2016-06-10,73.35
2016-06-17,74.12
2016-06-24,74.17
2016-07-01,77.86
2016-07-08,78.19
2016-07-15,77.53
2016-07-22,78.51
2016-07-29,78.02
2016-08-05,75.37
2016-08-12,75.96
2016-08-19,75.8
2016-08-26,74.74
2016-09-02,74.75
2016-09-09,72.5
2016-09-16,75.06
2016-09-23,77.01
2016-09-30,74.27
2016-10-07,71.5
2016-10-14,72.78
2016-10-21,72.84
2016-10-28,73.49
2016-11-04,73.79
2016-11-11,70.76
2016-11-18,71.15
2016-11-25,73.95
2016-12-02,73.78
2016-12-09,74.53
2016-12-16,75.87
2016-12-23,76.75
2016-12-30,76.59
2017-01-06,76.9
2017-01-13,75.21
2017-01-20,75.79
2017-01-27,75.52
2017-02-03,71.7
2017-02-10,73.37
2017-02-17,73.77
2017-02-24,77.0
2017-03-03,76.56
2017-03-10,75.67
2017-03-17,77.12
2017-03-24,78.26
2017-03-31,77.57
2017-04-07,77.59
2017-04-14,77.53
2017-04-21,77.54
2017-04-28,77.43
2017-05-05,78.23
2017-05-12,77.93
2017-05-19,78.59
2017-05-26,81.03
2017-06-02,81.2
2017-06-09,79.28
2017-06-16,80.71
2017-06-23,78.39
2017-06-30,76.63
2017-07-07,75.79
2017-07-14,76.55
2017-07-21,77.57
2017-07-28,76.99
2017-08-04,78.08
2017-08-11,77.39
2017-08-18,78.69
2017-08-25,80.08
2017-09-01,78.33
2017-09-08,79.24
2017-09-15,79.5
2017-09-22,77.04
2017-09-29,76.93
2017-10-06,76.81
2017-10-13,78.62
2017-10-20,80.0
2017-10-27,80.51
2017-11-03,80.67
2017-11-10,80.81
2017-11-17,81.32
2017-11-24,82.21
2017-12-01,83.57
2017-12-08,83.88
2017-12-15,84.91
2017-12-22,80.44
2017-12-29,81.06
2018-01-05,76.84
2018-01-12,75.94
2018-01-19,74.99
2018-01-26,75.5
2018-02-02,75.68
2018-02-09,74.38
2018-02-16,75.8
2018-02-23,75.52
2018-03-02,72.5
2018-03-09,72.87
2018-03-16,70.61
2018-03-23,67.3
2018-03-30,67.43
2018-04-06,66.22
2018-04-13,63.94
2018-04-20,65.33
2018-04-27,66.35
2018-05-04,65.57
2018-05-11,64.7
2018-05-18,63.29
2018-05-25,64.17
2018-06-01,63.36
2018-06-08,62.6
2018-06-15,66.31
2018-06-22,66.94
2018-06-29,68.18
2018-07-06,70.02
2018-07-13,69.99
2018-07-20,71.27
2018-07-27,71.26
2018-08-03,72.12
2018-08-10,70.69
2018-08-17,71.75
2018-08-24,71.64
2018-08-31,70.77
2018-09-07,71.46
2018-09-14,71.86
2018-09-21,70.85
2018-09-28,70.28
2018-10-05,71.85
2018-10-12,71.37
2018-10-19,73.5
2018-10-26,71.67
2018-11-02,69.89
2018-11-09,72.25
2018-11-16,73.61
2018-11-23,73.1
2018-11-30,74.5
2018-12-07,75.61
2018-12-14,76.92
2018-12-21,74.89
2018-12-28,73.26
2019-01-04,72.21
2019-01-11,69.85
2019-01-18,68.77
2019-01-25,69.16
2019-02-01,70.97
2019-02-08,73.05
2019-02-15,73.26
2019-02-22,75.05
2019-03-01,74.79
2019-03-08,75.73
2019-03-15,77.04
2019-03-22,75.52
2019-03-29,76.66
2019-04-05,77.47
2019-04-12,76.44
2019-04-19,74.92
2019-04-26,76.79
2019-05-03,76.79
2019-05-10,74.56
2019-05-17,75.6
2019-05-24,77.72
2019-05-31,75.18
2019-06-07,75.79
2019-06-14,76.66
2019-06-21,78.35
2019-06-28,77.32
2019-07-05,77.9
2019-07-12,77.5
2019-07-19,76.85
2019-07-26,75.15
2019-08-02,76.02
2019-08-09,74.84
2019-08-16,76.86
2019-08-23,75.94
2019-08-30,77.63
2019-09-06,76.37
2019-09-13,78.52
2019-09-20,80.84
2019-09-27,80.99
2019-10-04,81.7
2019-10-11,81.9
2019-10-18,82.16
2019-10-25,81.89
2019-11-01,83.27
2019-11-08,80.28
2019-11-15,82.11
2019-11-22,83.24
2019-11-29,83.11
2019-12-06,81.0
2019-12-13,80.88
2019-12-20,82.32
2019-12-27,82.0
2020-01-03,81.76
