date,value
2015-01-02,15.92
2015-01-09,15.565
2015-01-16,15.27
2015-01-23,14.91
2015-01-30,15.09
2015-02-06,15.41
2015-02-13,15.26
2015-02-20,14.8936
2015-02-27,15.12
2015-03-06,14.73
2015-03-13,14.86
2015-03-20,15.19
2015-03-27,15.23
2015-04-03,15.25
2015-04-10,15.4
2015-04-17,15.67
2015-04-24,15.63
2015-05-01,16.44
2015-05-08,16.36
2015-05-15,16.13
2015-05-22,15.4
2015-05-29,15.23
2015-06-05,15.07
2015-06-12,14.99
2015-06-19,14.48
2015-06-26,14.55
2015-07-03,14.55
2015-07-10,14.28
2015-07-17,14.33
2015-07-24,13.75
2015-07-31,13.47
2015-08-07,13.23
2015-08-14,13.11
2015-08-21,12.8
2015-08-28,13.175
2015-09-04,13.04
2015-09-11,13.48
2015-09-18,12.9011
2015-09-25,12.45
2015-10-02,12.73
2015-10-09,13.33
2015-10-16,13.08
2015-10-23,12.7
2015-10-30,12.42
2015-11-06,12.3
2015-11-13,11.97
2015-11-20,11.46
2015-11-27,11.5005
2015-12-04,11.67
2015-12-11,11.63
2015-12-18,11.61
2015-12-25,11.82
2016-01-01,11.88
2016-01-08,11.34
2016-01-15,11.07
2016-01-22,11.27
2016-01-29,11.71
2016-02-05,11.81
2016-02-12,11.82
2016-02-19,12.14
2016-02-26,12.25
2016-03-04,12.73
2016-03-11,12.57
2016-03-18,12.69
2016-03-25,12.34
2016-04-01,12.56
2016-04-08,12.1
2016-04-15,12.59
2016-04-22,13.08
2016-04-29,13.24
2016-05-06,12.67
2016-05-13,12.43
2016-05-20,12.34
2016-05-27,12.54
2016-06-03,12.74
2016-06-10,12.87
2016-06-17,12.74
2016-06-24,12.96
2016-07-01,13.58
2016-07-08,13.36
2016-07-15,13.73
2016-07-22,13.68
2016-07-29,13.73
2016-08-05,13.71
2016-08-12,13.57
2016-08-19,13.82
2016-08-26,13.65
2016-09-02,13.61
2016-09-09,13.37
2016-09-16,13.32
2016-09-23,13.68
2016-09-30,14.05
2016-10-07,13.86
2016-10-14,13.59
2016-10-21,13.45
2016-10-28,14.15
2016-11-04,14.36
2016-11-11,14.97
2016-11-18,14.92
2016-11-25,16.1099
2016-12-02,15.46
2016-12-09,15.65
2016-12-16,15.35
2016-12-23,14.96
2016-12-30,14.92
2017-01-06,15.17
2017-01-13,16.095
2017-01-20,15.93
2017-01-27,16.01
2017-02-03,16.0
2017-02-10,16.65
2017-02-17,16.37
2017-02-24,16.36
2017-03-03,16.32
2017-03-10,15.94
2017-03-17,16.53
2017-03-24,16.43
2017-03-31,16.37
2017-04-07,16.22
2017-04-14,15.82
2017-04-21,15.77
2017-04-28,15.91
2017-05-05,15.67
2017-05-12,15.491
2017-05-19,15.97
2017-05-26,15.94
2017-06-02,15.68
2017-06-09,15.72
2017-06-16,15.47
2017-06-23,15.89
2017-06-30,16.38
2017-07-07,16.31
2017-07-14,16.39
2017-07-21,16.38
2017-07-28,16.72
2017-08-04,16.78
2017-08-11,17.36
2017-08-18,17.96
2017-08-25,18.04
2017-09-01,18.62
2017-09-08,17.96
2017-09-15,17.81
2017-09-22,18.04
2017-09-29,18.11
2017-10-06,18.52
2017-10-13,18.75
2017-10-20,18.52
2017-10-27,18.69
2017-11-03,18.81
2017-11-10,18.48
2017-11-17,18.43
2017-11-24,18.79
2017-12-01,18.45
2017-12-08,17.78
2017-12-15,18.4
2017-12-22,19.02
2017-12-29,19.41
2018-01-05,19.17
2018-01-12,19.35
2018-01-19,19.24
2018-01-26,19.55
2018-02-02,19.49
2018-02-09,18.74
2018-02-16,19.69
2018-02-23,19.365
2018-03-02,18.93
2018-03-09,18.78
2018-03-16,18.51
2018-03-23,18.06
2018-03-30,18.2
2018-04-06,18.29
2018-04-13,18.64
2018-04-20,19.61
2018-04-27,18.62
2018-05-04,18.83
2018-05-11,18.79
2018-05-18,18.69
2018-05-25,18.65
2018-06-01,18.76
2018-06-08,19.45
2018-06-15,18.65
2018-06-22,18.05
2018-06-29,17.59
2018-07-06,17.02
2018-07-13,16.47
2018-07-20,16.45
2018-07-27,16.57
2018-08-03,16.46
2018-08-10,16.44
2018-08-17,15.97
2018-08-24,16.38
2018-08-31,16.29
2018-09-07,15.87
2018-09-14,15.56
2018-09-21,16.55
2018-09-28,16.62
2018-10-05,16.71
2018-10-12,16.65
2018-10-19,16.54
2018-10-26,16.56
2018-11-02,16.4
2018-11-09,16.02
2018-11-16,16.505
2018-11-23,16.16
2018-11-30,16.29
2018-12-07,16.34
2018-12-14,16.11
2018-12-21,15.84
2018-12-28,15.41
2019-01-04,15.4
2019-01-11,15.47
2019-01-18,15.82
2019-01-25,16.18
2019-02-01,16.31
2019-02-08,16.25
2019-02-15,16.14
2019-02-22,16.57
2019-03-01,16.69
2019-03-08,16.42
2019-03-15,16.65
2019-03-22,16.66
2019-03-29,17.04
2019-04-05,16.89
2019-04-12,16.93
2019-04-19,16.67
2019-04-26,16.47
2019-05-03,16.24
2019-05-10,15.9
2019-05-17,15.75
2019-05-24,15.57
2019-05-31,15.29
2019-06-07,15.12
2019-06-14,15.1
2019-06-21,15.19
2019-06-28,15.5
2019-07-05,15.25
2019-07-12,15.4
2019-07-19,15.51
2019-07-26,15.36
2019-08-02,14.83
2019-08-09,14.66
2019-08-16,14.73
2019-08-23,14.54
2019-08-30,14.49
2019-09-06,14.92
