date,value
2015-01-02,36.76
2015-01-09,37.91
2015-01-16,39.93
2015-01-23,40.72
2015-01-30,39.94
2015-02-06,38.42
2015-02-13,38.44
2015-02-20,37.22
2015-02-27,37.63
2015-03-06,36.13
2015-03-13,35.76
2015-03-20,36.96
2015-03-27,37.423
2015-04-03,37.42
2015-04-10,37.45
2015-04-17,37.252
2015-04-24,36.35
2015-05-01,36.4599
2015-05-08,36.92
2015-05-15,38.35
2015-05-22,37.6
2015-05-29,37.0776
2015-06-05,36.2701
2015-06-12,36.45
2015-06-19,37.0
2015-06-26,36.21
2015-07-03,35.89
2015-07-10,35.7568
2015-07-17,34.711
2015-07-24,33.74
2015-07-31,33.66
2015-08-07,33.64
2015-08-14,34.342
2015-08-21,35.54
2015-08-28,34.5401
2015-09-04,34.2398
2015-09-11,33.91
2015-09-18,34.92
2015-09-25,35.09
2015-10-02,34.9
2015-10-09,35.67
2015-10-16,36.16
2015-10-23,35.83
2015-10-30,35.11
2015-11-06,33.39
2015-11-13,33.0
2015-11-20,32.8186
2015-11-27,32.41
2015-12-04,33.2976
2015-12-11,32.74
2015-12-18,32.52
2015-12-25,32.9
2016-01-01,32.22
2016-01-08,33.3511
2016-01-15,32.89
2016-01-22,33.276
2016-01-29,33.79
2016-02-05,35.6
2016-02-12,37.49
2016-02-19,37.13
2016-02-26,36.66
2016-03-04,38.0
2016-03-11,37.63
2016-03-18,37.93
2016-03-25,36.7
2016-04-01,36.79
2016-04-08,37.32
2016-04-15,37.64
2016-04-22,37.96
2016-04-29,39.85
2016-05-06,39.53
2016-05-13,38.97
2016-05-20,38.18
2016-05-27,36.99
2016-06-03,37.88
2016-06-10,39.05
2016-06-17,39.73
2016-06-24,40.44
2016-07-01,41.87
2016-07-08,42.6
2016-07-15,41.57
2016-07-22,41.21
2016-07-29,42.28
2016-08-05,41.49
2016-08-12,41.44
2016-08-19,41.33
2016-08-26,40.38
2016-09-02,40.84
2016-09-09,40.82
2016-09-16,40.2405
2016-09-23,41.3
2016-09-30,40.61
2016-10-07,38.3
2016-10-14,38.14
2016-10-21,38.57
2016-10-28,38.87
2016-11-04,39.85
2016-11-11,37.45
2016-11-18,36.61
2016-11-25,35.92
2016-12-02,35.88
2016-12-09,35.53
2016-12-16,34.6
2016-12-23,34.33
2016-12-30,34.85
2017-01-06,35.68
2017-01-13,36.41
2017-01-20,36.74
2017-01-27,36.34
2017-02-03,37.17
2017-02-10,37.75
2017-02-17,37.82
2017-02-24,38.4737
2017-03-03,37.72
2017-03-10,36.58
2017-03-17,37.32
2017-03-24,37.94
2017-03-31,38.06
2017-04-07,38.13
2017-04-14,39.19
2017-04-21,38.86
2017-04-28,38.11
2017-05-05,36.78
2017-05-12,36.7642
2017-05-19,37.59
2017-05-26,38.1497
2017-06-02,38.45
2017-06-09,38.06
2017-06-16,37.45
2017-06-23,37.49
2017-06-30,37.09
2017-07-07,35.86
2017-07-14,36.45
2017-07-21,37.285
2017-07-28,37.76
2017-08-04,37.2832
2017-08-11,38.4
2017-08-18,38.3
2017-08-25,38.371
2017-09-01,39.53
2017-09-08,40.17
2017-09-15,39.44
2017-09-22,38.5
2017-09-29,37.96
2017-10-06,37.82
2017-10-13,38.809
2017-10-20,38.09
2017-10-27,37.791
2017-11-03,37.72
2017-11-10,37.8954
2017-11-17,38.56
2017-11-24,38.2386
2017-12-01,37.7472
2017-12-08,36.7134
2017-12-15,37.03
2017-12-22,37.6143
2017-12-29,38.49
2018-01-05,39.002
2018-01-12,39.46
2018-01-19,39.2824
2018-01-26,39.8
2018-02-02,38.98
2018-02-09,38.45
2018-02-16,39.39
2018-02-23,38.9001
2018-03-02,38.695
2018-03-09,38.7352
2018-03-16,38.346
2018-03-23,39.27
2018-03-30,38.65
2018-04-06,38.79
2018-04-13,39.25
2018-04-20,39.1911
2018-04-27,38.65
2018-05-04,38.381
2018-05-11,38.59
2018-05-18,37.82
2018-05-25,38.03
2018-06-01,37.828
