date,value
2015-01-02,25.29
2015-01-09,25.6
2015-01-16,24.33
2015-01-23,23.87
2015-01-30,23.9
2015-02-06,24.28
2015-02-13,24.42
2015-02-20,24.76
2015-02-27,25.04
2015-03-06,25.05
2015-03-13,25.06
2015-03-20,25.11
2015-03-27,24.886
2015-04-03,24.69
2015-04-10,25.33
2015-04-17,25.255
2015-04-24,25.31
2015-05-01,24.67
2015-05-08,24.75
2015-05-15,24.6667
2015-05-22,24.74
2015-05-29,24.21
2015-06-05,23.7168
2015-06-12,23.5841
2015-06-19,23.34
2015-06-26,23.5487
2015-07-03,23.53
2015-07-10,23.15
2015-07-17,23.26
2015-07-24,23.07
2015-07-31,23.21
2015-08-07,23.53
2015-08-14,23.08
2015-08-21,22.72
2015-08-28,22.52
2015-09-04,22.2
2015-09-11,22.24
2015-09-18,22.42
2015-09-25,22.2
2015-10-02,22.28
2015-10-09,22.82
2015-10-16,22.89
2015-10-23,23.27
2015-10-30,23.13
2015-11-06,23.13
2015-11-13,23.156
2015-11-20,23.57
2015-11-27,23.515
2015-12-04,23.44
2015-12-11,22.94
2015-12-18,23.16
2015-12-25,23.24
2016-01-01,23.34
2016-01-08,22.6198
2016-01-15,22.5
2016-01-22,22.97
2016-01-29,23.12
2016-02-05,22.81
2016-02-12,22.62
2016-02-19,22.89
2016-02-26,23.09
2016-03-04,23.65
2016-03-11,23.4885
2016-03-18,23.3156
2016-03-25,23.24
2016-04-01,23.31
2016-04-08,23.175
2016-04-15,23.61
2016-04-22,23.71
2016-04-29,23.54
2016-05-06,23.27
2016-05-13,23.25
2016-05-20,23.33
2016-05-27,23.38
2016-06-03,23.56
2016-06-10,23.7201
2016-06-17,23.59
2016-06-24,24.08
2016-07-01,24.2
2016-07-08,24.54
2016-07-15,24.43
2016-07-22,24.21
2016-07-29,24.36
2016-08-05,24.4
2016-08-12,24.54
2016-08-19,24.31
2016-08-26,24.49
2016-09-02,24.61
2016-09-09,24.58
2016-09-16,24.5196
2016-09-23,24.73
2016-09-30,24.92
2016-10-07,24.75
2016-10-14,25.03
2016-10-21,25.31
2016-10-28,25.24
2016-11-04,25.34
2016-11-11,25.23
2016-11-18,25.16
2016-11-25,25.32
2016-12-02,25.55
2016-12-09,25.5552
2016-12-16,25.68
2016-12-23,24.92
2016-12-30,24.81
2017-01-06,25.1
2017-01-13,25.29
2017-01-20,25.35
2017-01-27,25.49
2017-02-03,25.63
2017-02-10,25.69
2017-02-17,25.72
2017-02-24,25.95
2017-03-03,25.53
2017-03-10,25.086
2017-03-17,25.12
2017-03-24,24.96
2017-03-31,25.27
2017-04-07,25.29
2017-04-14,25.32
2017-04-21,25.229
