date,value
2019-06-07,73.64
2019-06-14,75.08
2019-06-21,74.64
2019-06-28,75.07
2019-07-05,73.74
2019-07-12,71.52
2019-07-19,71.57
2019-07-26,73.21
2019-08-02,69.05
2019-08-09,69.04
2019-08-16,66.12
2019-08-23,66.0
2019-08-30,67.93
2019-09-06,69.22
2019-09-13,73.54
2019-09-20,71.6
2019-09-27,70.25
2019-10-04,68.15
2019-10-11,65.16
2019-10-18,65.53
2019-10-25,66.85
2019-11-01,69.64
2019-11-08,71.13
2019-11-15,67.64
2019-11-22,65.83
2019-11-29,64.81
2019-12-06,63.59
2019-12-13,64.8
2019-12-20,63.55
2019-12-27,63.73
2020-01-03,62.16
