date,value
2015-01-02,70.78
2015-01-09,68.12
2015-01-16,67.63
2015-01-23,69.5
2015-01-30,67.06
2015-02-06,68.17
2015-02-13,68.82
2015-02-20,71.69
2015-02-27,72.62
2015-03-06,71.32
2015-03-13,74.3
2015-03-20,75.78
2015-03-27,74.99
2015-04-03,75.56
2015-04-10,76.07
2015-04-17,74.42
2015-04-24,76.61
2015-05-01,73.47
2015-05-08,74.85
2015-05-15,74.71
2015-05-22,73.56
2015-05-29,72.59
2015-06-05,75.5
2015-06-12,77.81
2015-06-19,78.42
2015-06-26,79.55
2015-07-03,78.86
2015-07-10,79.47
2015-07-17,80.44
2015-07-24,79.41
2015-07-31,80.37
2015-08-07,78.37
2015-08-14,79.23
2015-08-21,76.97
2015-08-28,74.84
2015-09-04,72.56
2015-09-11,70.36
2015-09-18,70.22
2015-09-25,71.8
2015-10-02,71.32
2015-10-09,67.23
2015-10-16,67.15
2015-10-23,65.75
2015-10-30,67.77
2015-11-06,67.82
2015-11-13,60.02
2015-11-20,64.06
2015-11-27,65.01
2015-12-04,69.12
2015-12-11,70.35
2015-12-18,71.54
2015-12-25,72.22
2016-01-01,71.87
2016-01-08,71.46
2016-01-15,68.88
2016-01-22,71.86
2016-01-29,75.06
2016-02-05,71.66
2016-02-12,70.46
2016-02-19,72.0
2016-02-26,76.02
2016-03-04,74.88
2016-03-11,85.01
2016-03-18,84.04
2016-03-25,83.95
2016-04-01,87.31
2016-04-08,82.31
2016-04-15,82.8
2016-04-22,81.44
2016-04-29,81.91
2016-05-06,83.27
2016-05-13,81.54
2016-05-20,81.62
2016-05-27,89.88
2016-06-03,91.8
2016-06-10,91.44
2016-06-17,90.05
2016-06-24,92.13
2016-07-01,93.48
2016-07-08,94.32
2016-07-15,91.71
2016-07-22,95.15
2016-07-29,94.74
2016-08-05,94.37
2016-08-12,92.91
2016-08-19,90.85
2016-08-26,75.5
2016-09-02,73.32
2016-09-09,70.58
2016-09-16,71.91
2016-09-23,72.09
2016-09-30,69.99
2016-10-07,69.66
2016-10-14,68.98
2016-10-21,67.93
2016-10-28,68.34
