date,value
2015-01-02,39.21
2015-01-09,40.44
2015-01-16,42.3
2015-01-23,42.93
2015-01-30,42.61
2015-02-06,40.9
2015-02-13,40.62
2015-02-20,39.71
2015-02-27,39.84
2015-03-06,38.49
2015-03-13,38.1
2015-03-20,39.03
2015-03-27,39.6
2015-04-03,39.63
2015-04-10,39.87
2015-04-17,39.7
2015-04-24,38.84
2015-05-01,38.74
2015-05-08,39.17
2015-05-15,40.36
2015-05-22,39.72
2015-05-29,39.17
2015-06-05,38.55
2015-06-12,38.86
2015-06-19,39.5
2015-06-26,38.5
2015-07-03,38.36
2015-07-10,38.25
2015-07-17,37.24
2015-07-24,36.1
2015-07-31,35.9701
2015-08-07,35.82
2015-08-14,36.59
2015-08-21,38.09
2015-08-28,37.2
2015-09-04,36.79
2015-09-11,36.33
2015-09-18,37.36
2015-09-25,37.59
2015-10-02,37.29
2015-10-09,37.94
2015-10-16,38.51
2015-10-23,38.18
2015-10-30,37.4
2015-11-06,35.66
2015-11-13,35.42
2015-11-20,35.248
2015-11-27,34.63
2015-12-04,35.58
2015-12-11,35.27
2015-12-18,34.85
2015-12-25,35.2
2016-01-01,34.66
2016-01-08,36.02
2016-01-15,35.52
2016-01-22,35.9
2016-01-29,36.48
2016-02-05,38.37
2016-02-12,40.42
2016-02-19,40.18
2016-02-26,39.96
2016-03-04,41.23
2016-03-11,40.92
2016-03-18,41.01
2016-03-25,39.8
2016-04-01,39.98
2016-04-08,40.54
2016-04-15,40.35
2016-04-22,40.34
2016-04-29,42.3
2016-05-06,42.18
2016-05-13,41.62
2016-05-20,40.96
2016-05-27,39.49
2016-06-03,40.58
2016-06-10,41.64
2016-06-17,42.41
2016-06-24,43.02
2016-07-01,43.86
2016-07-08,44.56
2016-07-15,43.28
2016-07-22,43.71
2016-07-29,44.12
2016-08-05,43.38
2016-08-12,43.36
2016-08-19,43.47
2016-08-26,42.66
2016-09-02,42.87
2016-09-09,42.96
2016-09-16,42.44
2016-09-23,43.21
2016-09-30,42.59
2016-10-07,40.56
2016-10-14,40.48
2016-10-21,40.92
2016-10-28,41.15
2016-11-04,42.16
2016-11-11,39.5
2016-11-18,38.97
2016-11-25,38.08
2016-12-02,37.9
2016-12-09,37.28
2016-12-16,36.57
2016-12-23,36.51
2016-12-30,37.03
2017-01-06,37.73
2017-01-13,38.51
2017-01-20,38.82
2017-01-27,38.26
2017-02-03,39.1
2017-02-10,39.66
2017-02-17,39.69
2017-02-24,40.31
2017-03-03,39.59
2017-03-10,38.66
2017-03-17,39.38
2017-03-24,40.04
2017-03-31,39.98
2017-04-07,40.22
2017-04-14,41.26
2017-04-21,41.14
2017-04-28,40.62
2017-05-05,39.33
2017-05-12,39.27
2017-05-19,40.16
2017-05-26,40.53
2017-06-02,40.91
2017-06-09,40.51
2017-06-16,40.09
2017-06-23,40.13
2017-06-30,39.63
2017-07-07,38.6
2017-07-14,39.18
2017-07-21,39.96
2017-07-28,40.45
2017-08-04,40.06
2017-08-11,41.1
2017-08-18,40.95
2017-08-25,41.16
2017-09-01,42.2
2017-09-08,42.89
2017-09-15,42.08
2017-09-22,41.28
2017-09-29,40.77
2017-10-06,40.58
2017-10-13,41.51
2017-10-20,40.73
2017-10-27,40.49
2017-11-03,40.37
2017-11-10,40.58
2017-11-17,41.14
2017-11-24,40.92
2017-12-01,40.72
2017-12-08,39.61
2017-12-15,39.93
2017-12-22,40.52
2017-12-29,41.36
2018-01-05,41.9
2018-01-12,42.43
2018-01-19,42.28
2018-01-26,42.81
2018-02-02,42.2
2018-02-09,41.66
2018-02-16,42.76
2018-02-23,42.14
2018-03-02,41.9
2018-03-09,41.96
2018-03-16,41.59
2018-03-23,42.65
2018-03-30,42.0
2018-04-06,42.21
2018-04-13,42.53
2018-04-20,42.25
2018-04-27,41.88
2018-05-04,41.54
2018-05-11,41.65
2018-05-18,40.83
2018-05-25,41.08
2018-06-01,40.85
2018-06-08,41.0
2018-06-15,40.41
2018-06-22,40.11
2018-06-29,39.51
2018-07-06,39.58
2018-07-13,39.13
2018-07-20,38.77
2018-07-27,38.53
2018-08-03,38.29
2018-08-10,38.13
2018-08-17,37.27
2018-08-24,37.91
2018-08-31,37.71
2018-09-07,37.6
2018-09-14,37.51
2018-09-21,37.68
2018-09-28,37.42
2018-10-05,37.8032
2018-10-12,38.25
2018-10-19,38.53
2018-10-26,38.74
2018-11-02,38.71
2018-11-09,37.97
2018-11-16,38.33
2018-11-23,38.34
2018-11-30,38.24
2018-12-07,39.14
2018-12-14,38.78
2018-12-21,39.3
2018-12-28,39.4586
2019-01-04,39.59
