date,value
2015-01-02,26.51
2015-01-09,26.39
2015-01-16,26.1372
2015-01-23,26.36
2015-01-30,25.55
2015-02-06,26.27
2015-02-13,26.73
2015-02-20,26.88
2015-02-27,26.9
2015-03-06,26.34
2015-03-13,26.17
2015-03-20,26.83
2015-03-27,26.1199
2015-04-03,26.24
2015-04-10,26.74
2015-04-17,26.31
2015-04-24,26.8
2015-05-01,26.67
2015-05-08,26.76
2015-05-15,26.89
2015-05-22,26.85
2015-05-29,26.67
2015-06-05,26.39
2015-06-12,26.44
2015-06-19,26.6801
2015-06-26,26.34
2015-07-03,26.09
2015-07-10,26.17
2015-07-17,26.47
2015-07-24,25.8586
2015-07-31,26.3496
2015-08-07,26.11
2015-08-14,26.2922
2015-08-21,25.08
2015-08-28,24.9614
2015-09-04,24.26
2015-09-11,24.64
2015-09-18,24.58
2015-09-25,24.2501
2015-10-02,24.64
2015-10-09,25.5605
2015-10-16,25.65
2015-10-23,26.182
2015-10-30,26.18
2015-11-06,26.22
2015-11-13,25.49
2015-11-20,26.2009
2015-11-27,26.2999
2015-12-04,26.25
2015-12-11,25.35
2015-12-18,25.3277
2015-12-25,25.92
2016-01-01,25.69
2016-01-08,24.28
2016-01-15,23.926
2016-01-22,24.22
2016-01-29,24.83
2016-02-05,24.37
2016-02-12,24.27
2016-02-19,24.94
2016-02-26,25.22
2016-03-04,25.81
2016-03-11,26.1
2016-03-18,26.46
2016-03-25,26.12
2016-04-01,26.58
2016-04-08,26.28
2016-04-15,26.72
2016-04-22,26.94
2016-04-29,26.72
2016-05-06,26.66
2016-05-13,26.54
2016-05-20,26.6
2016-05-27,27.17
2016-06-03,27.25
2016-06-10,27.27
2016-06-17,27.01
2016-06-24,26.43
2016-07-01,27.3
2016-07-08,27.64
2016-07-15,28.04
2016-07-22,28.18
2016-07-29,28.08
2016-08-05,28.12
2016-08-12,28.16
2016-08-19,28.19
2016-08-26,28.05
2016-09-02,28.21
2016-09-09,27.44
2016-09-16,27.44
2016-09-23,27.76
2016-09-30,27.62
2016-10-07,27.45
2016-10-14,27.1542
2016-10-21,27.22
2016-10-28,27.21
2016-11-04,26.78
2016-11-11,28.07
2016-11-18,28.22
2016-11-25,28.61
2016-12-02,28.5
2016-12-09,29.32
2016-12-16,29.29
2016-12-23,29.17
2016-12-30,28.9
2017-01-06,29.2171
2017-01-13,29.15
2017-01-20,29.13
2017-01-27,29.4
2017-02-03,29.51
2017-02-10,29.8
2017-02-17,30.4
2017-02-24,30.68
2017-03-03,30.87
2017-03-10,30.83
2017-03-17,30.89
2017-03-24,30.31
2017-03-31,30.45
2017-04-07,30.33
2017-04-14,29.98
2017-04-21,30.3
2017-04-28,30.74
2017-05-05,30.91
2017-05-12,30.76
2017-05-19,30.66
2017-05-26,31.08
2017-06-02,31.42
2017-06-09,31.44
2017-06-16,31.53
2017-06-23,31.57
2017-06-30,31.32
2017-07-07,31.38
2017-07-14,31.64
2017-07-21,31.71
2017-07-28,31.62
2017-08-04,31.81
2017-08-11,31.5
2017-08-18,31.29
2017-08-25,31.53
2017-09-01,31.87
2017-09-08,31.78
2017-09-15,32.41
2017-09-22,32.44
2017-09-29,32.47
2017-10-06,32.81
2017-10-13,32.93
2017-10-20,33.35
2017-10-27,33.37
2017-11-03,33.42
2017-11-10,33.32
2017-11-17,33.42
2017-11-24,33.64
2017-12-01,34.5
2017-12-08,34.64
2017-12-15,34.92
2017-12-22,34.85
2017-12-29,34.78
2018-01-05,35.48
2018-01-12,36.04
2018-01-19,36.49
2018-01-26,37.2
2018-02-02,35.72
2018-02-09,33.99
2018-02-16,35.51
2018-02-23,35.5
2018-03-02,34.73
2018-03-09,35.82
2018-03-16,35.33
2018-03-23,33.08
2018-03-30,33.9
2018-04-06,33.48
2018-04-13,34.0
2018-04-20,34.1
2018-04-27,34.14
2018-05-04,33.9
2018-05-11,34.62
2018-05-18,34.56
2018-05-25,34.74
2018-06-01,34.74
2018-06-08,35.38
2018-06-15,35.35
2018-06-22,34.9
2018-06-29,34.28
2018-07-06,34.76
2018-07-13,35.16
2018-07-20,35.28
2018-07-27,35.86
2018-08-03,36.24
2018-08-10,36.1
2018-08-17,36.73
2018-08-24,36.88
2018-08-31,37.05
2018-09-07,37.09
2018-09-14,37.41
2018-09-21,37.86
2018-09-28,37.06
2018-10-05,36.9
2018-10-12,35.37
2018-10-19,35.57
2018-10-26,34.27
2018-11-02,35.28
2018-11-09,36.25
2018-11-16,36.02
2018-11-23,34.92
2018-11-30,36.38
2018-12-07,34.71
2018-12-14,34.26
