date,value
2015-01-02,68.97
2015-01-09,68.39
2015-01-16,69.74
2015-01-23,70.89
2015-01-30,71.07
2015-02-06,69.64
2015-02-13,71.68
2015-02-20,71.77
2015-02-27,70.14
2015-03-06,71.18
2015-03-13,73.19
2015-03-20,76.74
2015-03-27,76.22
2015-04-03,75.8
2015-04-10,76.24
2015-04-17,75.33
2015-04-24,75.81
2015-05-01,71.7
2015-05-08,71.02
2015-05-15,71.62
2015-05-22,79.6
2015-05-29,75.23
2015-06-05,73.96
2015-06-12,73.04
2015-06-19,73.34
2015-06-26,72.75
2015-07-03,71.83
2015-07-10,71.58
2015-07-17,73.26
2015-07-24,73.37
2015-07-31,73.81
2015-08-07,72.43
2015-08-14,72.72
2015-08-21,70.18
2015-08-28,68.89
2015-09-04,65.17
2015-09-11,65.62
2015-09-18,66.9
2015-09-25,64.41
2015-10-02,62.81
2015-10-09,63.26
2015-10-16,65.36
2015-10-23,64.84
2015-10-30,67.95
2015-11-06,68.2
2015-11-13,67.2
2015-11-20,67.95
2015-11-27,68.76
2015-12-04,68.57
2015-12-11,67.48
2015-12-18,69.48
2015-12-25,71.41
2016-01-01,71.14
2016-01-08,67.42
2016-01-15,65.77
2016-01-22,65.94
2016-01-29,65.67
2016-02-05,62.05
2016-02-12,61.9
2016-02-19,66.31
2016-02-26,67.22
2016-03-04,69.32
2016-03-11,70.72
2016-03-18,70.11
2016-03-25,69.79
2016-04-01,72.57
2016-04-08,72.35
2016-04-15,74.45
2016-04-22,75.3
2016-04-29,75.17
2016-05-06,75.78
2016-05-13,75.95
2016-05-20,76.52
2016-05-27,77.21
2016-06-03,77.27
2016-06-10,77.45
2016-06-17,75.73
2016-06-24,78.9
2016-07-01,81.24
2016-07-08,82.23
2016-07-15,83.3
2016-07-22,85.0
2016-07-29,86.36
2016-08-05,85.68
2016-08-12,85.79
2016-08-19,84.91
2016-08-26,82.98
2016-09-02,83.04
2016-09-09,80.92
2016-09-16,83.25
2016-09-23,85.44
2016-09-30,84.63
2016-10-07,84.74
2016-10-14,83.17
2016-10-21,83.69
2016-10-28,80.44
2016-11-04,81.22
2016-11-11,81.46
2016-11-18,85.54
2016-11-25,88.32
2016-12-02,88.0
2016-12-09,91.14
2016-12-16,92.31
2016-12-23,92.41
2016-12-30,91.9
2017-01-06,92.02
2017-01-13,92.7
2017-01-20,91.0
2017-01-27,92.72
2017-02-03,93.31
2017-02-10,93.56
2017-02-17,95.64
2017-02-24,97.31
2017-03-03,98.52
2017-03-10,98.78
2017-03-17,99.06
2017-03-24,98.7
2017-03-31,98.19
2017-04-07,97.85
2017-04-14,97.25
2017-04-21,103.3
2017-04-28,105.51
2017-05-05,107.09
2017-05-12,106.47
2017-05-19,105.89
2017-05-26,107.98
2017-06-02,109.94
2017-06-09,108.41
