date,value
2017-09-29,0.0032
2017-10-06,0.0055
2017-10-13,0.0027
2017-10-20,0.0015
2017-10-27,0.002
2017-11-03,0.003
2017-11-10,0.0035
2017-11-17,0.0016
2017-11-24,0.0021
2017-12-01,0.002
2017-12-08,0.0014
2017-12-15,0.001861
2017-12-22,0.0024
2017-12-29,0.004
2018-01-05,0.003
2018-01-12,0.0032
2018-01-19,0.0055
2018-01-26,0.00399
2018-02-02,0.0045
2018-02-09,0.0035
2018-02-16,0.004
2018-02-23,0.0029
2018-03-02,0.0048
2018-03-09,0.0048
2018-03-16,0.0048
2018-03-23,0.00389
2018-03-30,0.003
2018-04-06,0.003
2018-04-13,0.003
2018-04-20,0.003
2018-04-27,0.00321
2018-05-04,0.00321
2018-05-11,0.003
2018-05-18,0.003
2018-05-25,0.003
2018-06-01,0.0026
2018-06-08,0.0026
2018-06-15,0.0021
2018-06-22,0.0021
2018-06-29,0.0045
2018-07-06,0.0099
2018-07-13,0.00483
2018-07-20,0.0057
2018-07-27,0.006
2018-08-03,0.0076
2018-08-10,0.00529
2018-08-17,0.006
2018-08-24,0.00456
2018-08-31,0.0043
2018-09-07,0.0043
2018-09-14,0.00545
2018-09-21,0.0054
2018-09-28,0.0054
2018-10-05,0.0054
2018-10-12,0.0054
2018-10-19,0.00488
2018-10-26,0.00488
2018-11-02,0.004
2018-11-09,0.0045
2018-11-16,0.0032
2018-11-23,0.00273
2018-11-30,0.004
2018-12-07,0.0028
2018-12-14,0.0039
2018-12-21,0.0029
2018-12-28,0.00289
2019-01-04,0.0031
2019-01-11,0.0031
2019-01-18,0.0031
2019-01-25,0.00251
2019-02-01,0.004
2019-02-08,0.009
2019-02-15,0.012
2019-02-22,0.0072
2019-03-01,0.0075
2019-03-08,0.008
2019-03-15,0.00357
2019-03-22,0.009
2019-03-29,0.0055
2019-04-05,0.0099
2019-04-12,0.0044
2019-04-19,0.0044
2019-04-26,0.0046
2019-05-03,0.0084
2019-05-10,0.007
2019-05-17,0.0036
2019-05-24,0.0045
2019-05-31,0.0076
2019-06-07,0.0031
2019-06-14,0.00352
2019-06-21,0.0033
2019-06-28,0.0042
2019-07-05,0.0078
2019-07-12,0.0036
2019-07-19,0.003856
2019-07-26,0.004
2019-08-02,0.0052
2019-08-09,0.0052
2019-08-16,0.0045
2019-08-23,0.0074
2019-08-30,0.006768
2019-09-06,0.0041
2019-09-13,0.0041
2019-09-20,0.0041
2019-09-27,0.004
2019-10-04,0.0045
2019-10-11,0.0045
2019-10-18,0.0026
2019-10-25,0.0027
2019-11-01,0.0027
2019-11-08,0.0027
2019-11-15,0.0026
2019-11-22,0.0026
2019-11-29,0.0026
2019-12-06,0.0017
2019-12-13,0.0019
2019-12-20,0.0024
2019-12-27,0.0016
2020-01-03,0.0016
