date,value
2015-01-02,55.5
2015-01-09,55.09
2015-01-16,55.796
2015-01-23,55.89
2015-01-30,56.68
2015-02-06,57.34
2015-02-13,58.72
2015-02-20,59.8297
2015-02-27,59.73
2015-03-06,58.58
2015-03-13,58.02
2015-03-20,59.7601
2015-03-27,59.5
2015-04-03,59.66
2015-04-10,60.81
2015-04-17,60.72
2015-04-24,61.85
2015-05-01,61.64
2015-05-08,62.17
2015-05-15,63.23
2015-05-22,62.67
2015-05-29,61.43
2015-06-05,60.66
2015-06-12,61.1225
2015-06-19,61.048
2015-06-26,60.52
2015-07-03,59.42
2015-07-10,59.017
2015-07-17,59.737
2015-07-24,58.7
2015-07-31,59.3299
2015-08-07,59.1039
2015-08-14,58.9199
2015-08-21,55.33
2015-08-28,55.947
2015-09-04,53.62
2015-09-11,55.35
2015-09-18,54.98
2015-09-25,53.3
2015-10-02,54.09
2015-10-09,56.6996
2015-10-16,56.85
2015-10-23,57.62
2015-10-30,56.9699
2015-11-06,56.4796
2015-11-13,54.962
2015-11-20,56.83
2015-11-27,56.335
2015-12-04,56.9549
2015-12-11,54.76
2015-12-18,55.0499
2015-12-25,55.57
2016-01-01,55.5
2016-01-08,52.22
2016-01-15,50.17
2016-01-22,51.1093
2016-01-29,52.2499
2016-02-05,51.02
2016-02-12,49.64
2016-02-19,51.52
2016-02-26,51.7599
2016-03-04,54.0901
2016-03-11,54.82
2016-03-18,55.45
2016-03-25,54.22
2016-04-01,55.09
2016-04-08,54.79
2016-04-15,56.18
2016-04-22,56.8
2016-04-29,56.084
2016-05-06,55.4699
2016-05-13,54.8379
2016-05-20,55.4007
2016-05-27,56.3215
2016-06-03,56.6
2016-06-10,55.18
2016-06-17,54.57
2016-06-24,51.44
2016-07-01,52.74
2016-07-08,51.91
2016-07-15,53.8365
2016-07-22,53.8842
2016-07-29,55.2574
2016-08-05,54.7701
2016-08-12,56.24
2016-08-19,56.1001
2016-08-26,55.69
2016-09-02,56.69
2016-09-09,56.2263
2016-09-16,55.08
2016-09-23,56.71
2016-09-30,56.07
2016-10-07,55.39
2016-10-14,54.72
2016-10-21,55.1591
2016-10-28,55.1
2016-11-04,54.19
2016-11-11,54.23
2016-11-18,53.72
2016-11-25,54.2981
2016-12-02,54.4499
2016-12-09,56.0455
2016-12-16,55.57
2016-12-23,55.22
2016-12-30,55.37
2017-01-06,56.55
2017-01-13,57.06
2017-01-20,56.9576
2017-01-27,57.73
2017-02-03,58.1342
2017-02-10,58.28
2017-02-17,58.4
2017-02-24,58.24
2017-03-03,58.83
2017-03-10,59.09
2017-03-17,60.3
2017-03-24,60.02
2017-03-31,60.18
2017-04-07,59.95
2017-04-14,59.799
2017-04-21,60.2193
2017-04-28,62.3
2017-05-05,63.8
2017-05-12,63.34
2017-05-19,64.02
2017-05-26,64.19
2017-06-02,65.445
2017-06-09,64.4475
2017-06-16,64.73
2017-06-23,64.42
2017-06-30,63.75
2017-07-07,63.42
2017-07-14,64.84
2017-07-21,65.1264
2017-07-28,65.48
2017-08-04,66.135
2017-08-11,64.94
2017-08-18,65.12
2017-08-25,65.65
2017-09-01,65.85
2017-09-08,66.15
2017-09-15,66.45
2017-09-22,66.639
2017-09-29,66.33
2017-10-06,66.0
2017-10-13,67.5013
2017-10-20,67.326
2017-10-27,67.249
2017-11-03,67.7
2017-11-10,67.16
2017-11-17,66.93
2017-11-24,67.853
2017-12-01,68.1
2017-12-08,67.91
2017-12-15,68.21
2017-12-22,68.95
2017-12-29,68.98
2018-01-05,71.069
2018-01-12,71.8
2018-01-19,72.39
2018-01-26,73.67
2018-02-02,71.345
2018-02-09,67.49
2018-02-16,70.06
2018-02-23,70.5
2018-03-02,68.38
2018-03-09,69.85
2018-03-16,69.38
2018-03-23,66.99
2018-03-30,68.75
2018-04-06,68.06
2018-04-13,69.487
2018-04-20,69.77
2018-04-27,70.03
2018-05-04,69.87
2018-05-11,70.59
2018-05-18,69.91
2018-05-25,68.96
2018-06-01,68.86
2018-06-08,69.549
2018-06-15,68.82
