date,value
2015-01-02,93.75
2015-01-09,94.25
2015-01-16,95.18
2015-01-23,94.72
2015-01-30,90.96
2015-02-06,102.02
2015-02-13,104.17
2015-02-20,104.55
2015-02-27,104.08
2015-03-06,103.82
2015-03-13,106.44
2015-03-20,108.43
2015-03-27,105.48
2015-04-03,106.0
2015-04-10,106.95
2015-04-17,106.69
2015-04-24,109.53
2015-05-01,110.52
2015-05-08,110.11
2015-05-15,110.3
2015-05-22,110.26
2015-05-29,110.37
2015-06-05,110.3
2015-06-12,109.95
2015-06-19,112.62
2015-06-26,114.99
2015-07-03,114.97
2015-07-10,116.44
2015-07-17,118.86
2015-07-24,118.91
2015-07-31,120.0
2015-08-07,109.35
2015-08-14,107.16
2015-08-21,98.84
2015-08-28,102.48
2015-09-04,100.97
2015-09-11,104.48
2015-09-18,102.84
2015-09-25,100.3
2015-10-02,103.0
2015-10-09,105.56
2015-10-16,108.24
2015-10-23,113.09
2015-10-30,113.74
2015-11-06,115.67
2015-11-13,114.84
2015-11-20,120.07
2015-11-27,115.13
2015-12-04,114.24
2015-12-11,108.04
2015-12-18,107.72
2015-12-25,105.86
2016-01-01,105.08
2016-01-08,99.25
2016-01-15,93.9
2016-01-22,96.9
2016-01-29,95.82
2016-02-05,93.9
2016-02-12,91.15
2016-02-19,95.01
2016-02-26,95.31
2016-03-04,98.48
2016-03-11,97.94
2016-03-18,99.2
2016-03-25,97.22
2016-04-01,99.07
2016-04-08,96.42
2016-04-15,98.59
2016-04-22,103.77
2016-04-29,103.26
2016-05-06,105.54
2016-05-13,100.52
2016-05-20,99.78
2016-05-27,100.29
2016-06-03,98.75
2016-06-10,97.34
2016-06-17,99.0
2016-06-24,95.72
2016-07-01,98.03
2016-07-08,99.62
2016-07-15,99.8
2016-07-22,97.71
2016-07-29,95.95
2016-08-05,95.83
2016-08-12,96.84
2016-08-19,96.39
2016-08-26,95.21
2016-09-02,94.42
2016-09-09,92.42
2016-09-16,92.56
2016-09-23,93.27
2016-09-30,92.86
2016-10-07,92.49
2016-10-14,91.3
2016-10-21,93.03
2016-10-28,93.85
2016-11-04,92.45
2016-11-11,97.68
2016-11-18,98.24
2016-11-25,98.82
2016-12-02,98.5
2016-12-09,104.86
2016-12-16,103.91
2016-12-23,105.15
2016-12-30,104.22
2017-01-06,108.98
2017-01-13,108.06
2017-01-20,107.66
2017-01-27,109.3
2017-02-03,110.3
2017-02-10,109.26
2017-02-17,110.06
2017-02-24,110.32
2017-03-03,111.24
2017-03-10,110.92
2017-03-17,111.76
2017-03-24,112.14
2017-03-31,113.39
2017-04-07,112.58
2017-04-14,113.2
2017-04-21,114.44
2017-04-28,115.6
2017-05-05,111.99
2017-05-12,109.69
2017-05-19,107.52
2017-05-26,108.41
2017-06-02,107.18
2017-06-09,105.62
2017-06-16,105.51
2017-06-23,104.36
2017-06-30,106.25
2017-07-07,103.32
2017-07-14,105.09
2017-07-21,107.09
2017-07-28,109.96
2017-08-04,107.69
2017-08-11,101.99
2017-08-18,100.7
2017-08-25,102.41
2017-09-01,101.5
2017-09-08,97.07
2017-09-15,98.52
2017-09-22,98.6
2017-09-29,98.57
2017-10-06,100.07
2017-10-13,97.38
2017-10-20,99.4
2017-10-27,98.31
2017-11-03,98.64
2017-11-10,104.78
2017-11-17,103.44
2017-11-24,102.64
2017-12-01,105.25
2017-12-08,104.23
2017-12-15,111.27
2017-12-22,108.67
2017-12-29,107.51
2018-01-05,111.62
2018-01-12,112.47
2018-01-19,110.59
2018-01-26,112.19
2018-02-02,108.7
2018-02-09,103.09
2018-02-16,106.53
2018-02-23,107.25
2018-03-02,102.99
2018-03-09,104.73
2018-03-16,102.87
2018-03-23,98.54
2018-03-30,100.44
2018-04-06,100.35
2018-04-13,100.35
2018-04-20,100.24
2018-04-27,99.23
2018-05-04,101.15
2018-05-11,102.07
2018-05-18,103.93
2018-05-25,102.2
2018-06-01,99.36
2018-06-08,103.98
2018-06-15,108.85
2018-06-22,106.34
2018-06-29,104.81
2018-07-06,104.78
2018-07-13,110.0
2018-07-20,111.48
2018-07-27,112.62
2018-08-03,114.09
2018-08-10,112.68
2018-08-17,112.48
2018-08-24,111.93
2018-08-31,112.02
2018-09-07,110.97
2018-09-14,109.26
2018-09-21,110.4
2018-09-28,116.94
2018-10-05,114.78
2018-10-12,112.61
2018-10-19,118.9
2018-10-26,113.19
2018-11-02,115.18
2018-11-09,118.0
2018-11-16,116.19
2018-11-23,112.08
2018-11-30,115.49
2018-12-07,111.98
2018-12-14,112.2
2018-12-21,104.22
2018-12-28,107.3
2019-01-04,109.61
2019-01-11,112.65
2019-01-18,111.04
2019-01-25,111.09
2019-02-01,111.3
2019-02-08,111.51
2019-02-15,112.59
2019-02-22,115.25
2019-03-01,114.01
2019-03-08,113.81
2019-03-15,114.96
2019-03-22,108.23
2019-03-29,111.03
2019-04-05,115.0
2019-04-12,130.06
2019-04-19,132.45
2019-04-26,139.92
2019-05-03,134.33
2019-05-10,134.04
2019-05-17,135.04
2019-05-24,132.79
2019-05-31,132.04
2019-06-07,138.04
2019-06-14,141.65
2019-06-21,140.23
2019-06-28,139.64
2019-07-05,142.45
2019-07-12,144.88
2019-07-19,139.85
2019-07-26,144.65
2019-08-02,141.71
2019-08-09,138.52
2019-08-16,135.2
2019-08-23,131.67
2019-08-30,137.26
2019-09-06,139.55
2019-09-13,138.02
2019-09-20,132.27
2019-09-27,129.96
2019-10-04,130.27
2019-10-11,130.02
2019-10-18,130.89
2019-10-25,130.9
2019-11-01,132.75
2019-11-08,137.96
2019-11-15,144.67
2019-11-22,148.29
2019-11-29,151.58
2019-12-06,147.66
2019-12-13,146.38
2019-12-20,146.88
2019-12-27,145.75
2020-01-03,146.5
