date,value
2017-11-10,24.9698
2017-11-17,24.97
2017-11-24,25.12
2017-12-01,25.64
2017-12-08,25.8397
2017-12-15,26.18
2017-12-22,26.3872
2017-12-29,26.3568
2018-01-05,26.6599
2018-01-12,27.1472
2018-01-19,27.2932
2018-01-26,27.83
2018-02-02,26.73
2018-02-09,25.5
2018-02-16,26.4505
2018-02-23,26.2967
2018-03-02,25.96
2018-03-09,26.52
2018-03-16,26.34
2018-03-23,24.75
2018-03-30,25.2205
2018-04-06,25.08
2018-04-13,25.59
2018-04-20,25.4807
2018-04-27,25.47
2018-05-04,25.34
2018-05-11,25.7156
2018-05-18,25.9096
2018-05-25,26.03
2018-06-01,25.8638
2018-06-08,26.3448
2018-06-15,26.42
2018-06-22,26.1092
2018-06-29,25.69
2018-07-06,26.005
2018-07-13,26.3
2018-07-20,26.35
2018-07-27,26.566
2018-08-03,26.84
2018-08-10,26.81
2018-08-17,27.256
2018-08-24,27.34
2018-08-31,27.5
2018-09-07,27.41
2018-09-14,27.5639
2018-09-21,28.0703
2018-09-28,27.563
2018-10-05,27.37
2018-10-12,26.29
2018-10-19,26.36
2018-10-26,25.3955
2018-11-02,26.01
2018-11-09,26.68
2018-11-16,26.26
2018-11-23,25.5399
2018-11-30,26.44
2018-12-07,25.1778
2018-12-14,24.7723
2018-12-21,22.9802
2018-12-28,23.5498
2019-01-04,24.023
2019-01-11,24.61
2019-01-18,25.3066
2019-01-25,25.325
2019-02-01,25.6921
2019-02-08,25.7067
2019-02-15,26.435
2019-02-22,26.5739
2019-03-01,26.6752
2019-03-08,26.097
2019-03-15,26.8354
2019-03-22,26.37
2019-03-29,26.6457
2019-04-05,27.2606
2019-04-12,27.4602
2019-04-19,27.9364
2019-04-26,27.925
2019-05-03,27.993
2019-05-10,27.3206
2019-05-17,27.1307
2019-05-24,26.6998
2019-05-31,25.9184
2019-06-07,27.1666
2019-06-14,27.346
2019-06-21,27.7347
2019-06-28,27.7574
2019-07-05,28.1601
2019-07-12,28.3754
2019-07-19,28.1561
2019-07-26,28.6126
2019-08-02,27.6715
2019-08-09,27.405
2019-08-16,27.067
2019-08-23,26.5808
2019-08-30,27.46
2019-09-06,28.019
2019-09-13,28.6113
2019-09-20,28.52
2019-09-27,28.0698
2019-10-04,27.849
2019-10-11,28.124
2019-10-18,28.32
2019-10-25,28.8189
2019-11-01,29.2452
2019-11-08,29.76
2019-11-15,29.869
2019-11-22,29.8
2019-11-29,30.003
2019-12-06,30.055
2019-12-13,30.365
2019-12-20,30.6951
2019-12-27,30.865
2020-01-03,30.795
