date,value
2015-12-18,24.98
2015-12-25,25.54
2016-01-01,25.6985
2016-01-08,23.9319
2016-01-15,23.4125
2016-01-22,23.4846
2016-01-29,23.87
2016-02-05,23.9109
2016-02-12,23.55
2016-02-19,24.0799
2016-02-26,24.74
2016-03-04,25.071
2016-03-11,25.6736
2016-03-18,26.061
2016-03-25,25.8799
2016-04-01,26.0758
2016-04-08,26.0
2016-04-15,26.323
2016-04-22,26.67
2016-04-29,26.59
2016-05-06,26.0017
2016-05-13,26.04
2016-05-20,25.9424
2016-05-27,26.59
2016-06-03,26.5525
2016-06-10,26.7688
2016-06-17,26.54
2016-06-24,25.9799
2016-07-01,26.89
2016-07-08,27.23
2016-07-15,27.6004
2016-07-22,27.64
2016-07-29,27.5299
2016-08-05,27.6999
2016-08-12,27.7273
2016-08-19,27.84
2016-08-26,27.7899
2016-09-02,27.7699
2016-09-09,27.8455
2016-09-16,27.3899
2016-09-23,27.6219
2016-09-30,27.1004
2016-10-07,27.1282
2016-10-14,27.1474
2016-10-21,27.03
2016-10-28,27.421
2016-11-04,26.6492
2016-11-11,28.005
2016-11-18,27.91
2016-11-25,28.4
2016-12-02,28.36
2016-12-09,28.92
2016-12-16,29.24
2016-12-23,29.29
2016-12-30,28.9356
2017-01-06,29.24
2017-01-13,28.9751
2017-01-20,28.9
2017-01-27,29.2164
2017-02-03,29.06
2017-02-10,29.295
2017-02-17,29.6929
2017-02-24,30.2599
2017-03-03,30.5
2017-03-10,30.2996
2017-03-17,30.2883
2017-03-24,30.0
2017-03-31,29.8
2017-04-07,29.78
2017-04-14,29.49
2017-04-21,29.67
2017-04-28,30.0226
2017-05-05,30.09
2017-05-12,29.928
2017-05-19,29.8597
2017-05-26,30.005
2017-06-02,30.3
2017-06-09,30.444
2017-06-16,30.5271
2017-06-23,30.5168
2017-06-30,30.16
2017-07-07,30.0864
2017-07-14,30.256
2017-07-21,30.3303
2017-07-28,30.782
2017-08-04,31.2074
2017-08-11,31.061
2017-08-18,30.7004
2017-08-25,30.732
2017-09-01,31.18
2017-09-08,30.926
2017-09-15,31.569
2017-09-22,31.97
2017-09-29,31.6159
2017-10-06,32.0898
2017-10-13,32.26
2017-10-20,32.91
2017-10-27,32.8
2017-11-03,32.6678
2017-11-10,32.6037
2017-11-17,32.4366
2017-11-24,32.6951
2017-12-01,33.4354
2017-12-08,33.5368
2017-12-15,34.11
2017-12-22,34.38
2017-12-29,34.1605
2018-01-05,34.72
2018-01-12,35.34
2018-01-19,35.508
2018-01-26,36.38
2018-02-02,34.7819
2018-02-09,32.8
2018-02-16,34.38
2018-02-23,34.1567
2018-03-02,33.4188
2018-03-09,34.5
2018-03-16,34.085
2018-03-23,32.2
2018-03-30,32.98
2018-04-06,32.5
2018-04-13,33.38
2018-04-20,33.5081
2018-04-27,33.6024
2018-05-04,33.26
2018-05-11,33.9194
2018-05-18,33.724
2018-05-25,33.6465
2018-06-01,33.739
2018-06-08,34.56
2018-06-15,34.16
2018-06-22,33.8917
2018-06-29,33.5244
2018-07-06,33.7458
2018-07-13,34.19
2018-07-20,34.15
2018-07-27,34.7
2018-08-03,34.82
2018-08-10,34.75
2018-08-17,35.0568
2018-08-24,35.56
2018-08-31,35.51
2018-09-07,35.499
2018-09-14,35.96
2018-09-21,36.68
2018-09-28,36.1967
2018-10-05,36.3063
2018-10-12,34.4666
2018-10-19,35.1641
2018-10-26,34.08
2018-11-02,34.7259
2018-11-09,36.23
2018-11-16,35.9421
2018-11-23,34.695
2018-11-30,36.32
2018-12-07,34.92
2018-12-14,34.59
2018-12-21,32.4107
2018-12-28,32.77
2019-01-04,33.34
2019-01-11,34.12
2019-01-18,34.76
2019-01-25,34.53
2019-02-01,35.1
2019-02-08,35.01
2019-02-15,36.08
2019-02-22,36.31
2019-03-01,36.39
2019-03-08,35.54
2019-03-15,36.5119
2019-03-22,36.0
2019-03-29,36.3346
2019-04-05,36.7929
2019-04-12,36.9
2019-04-19,37.02
2019-04-26,36.77
2019-05-03,36.9098
2019-05-10,36.25
2019-05-17,36.2
2019-05-24,35.98
2019-05-31,34.81
2019-06-07,36.49
2019-06-14,36.7915
2019-06-21,37.5541
2019-06-28,36.97
2019-07-05,37.64
2019-07-12,37.95
2019-07-19,37.62
2019-07-26,38.0
2019-08-02,36.87
2019-08-09,36.54
2019-08-16,36.0
2019-08-23,35.5262
2019-08-30,36.65
2019-09-06,37.37
2019-09-13,37.94
2019-09-20,37.6767
2019-09-27,37.0449
2019-10-04,36.55
2019-10-11,36.93
2019-10-18,36.99
2019-10-25,37.52
2019-11-01,38.0526
2019-11-08,38.7
2019-11-15,38.75
2019-11-22,38.6303
2019-11-29,38.8039
2019-12-06,38.88
2019-12-13,39.0509
2019-12-20,39.66
2019-12-27,39.6293
2020-01-03,39.35
