date,value
2015-01-02,76.54
2015-01-09,76.05
2015-01-16,75.53
2015-01-23,76.63
2015-01-30,74.15
2015-02-06,76.3
2015-02-13,77.75
2015-02-20,78.26
2015-02-27,78.22
2015-03-06,77.13
2015-03-13,76.4
2015-03-20,78.79
2015-03-27,76.98
2015-04-03,77.12
2015-04-10,78.14
2015-04-17,77.12
2015-04-24,78.33
2015-05-01,77.9599
2015-05-08,78.26
2015-05-15,78.47
2015-05-22,78.8
2015-05-29,78.09
2015-06-05,77.47
2015-06-12,77.6
2015-06-19,78.35
2015-06-26,77.6
2015-07-03,76.67
2015-07-10,76.59
2015-07-17,78.54
2015-07-24,76.4599
2015-07-31,77.745
2015-08-07,76.89
2015-08-14,77.473
2015-08-21,73.35
2015-08-28,73.45
2015-09-04,71.31
2015-09-11,72.8
2015-09-18,72.7202
2015-09-25,71.24
2015-10-02,72.18
2015-10-09,74.73
2015-10-16,75.12
2015-10-23,76.97
2015-10-30,77.17
2015-11-06,77.7
2015-11-13,74.86
2015-11-20,77.55
2015-11-27,77.73
2015-12-04,77.63
2015-12-11,74.72
2015-12-18,74.79
2015-12-25,76.2
2016-01-01,75.71
2016-01-08,71.2473
2016-01-15,69.21
2016-01-22,70.54
2016-01-29,71.78
2016-02-05,69.53
2016-02-12,68.95
2016-02-19,71.06
2016-02-26,72.18
2016-03-04,74.1
2016-03-11,75.16
2016-03-18,76.47
2016-03-25,75.61
2016-04-01,77.27
2016-04-08,76.52
2016-04-15,77.66
2016-04-22,77.5
2016-04-29,76.54
2016-05-06,76.14
2016-05-13,75.75
2016-05-20,75.83
2016-05-27,77.61
2016-06-03,77.63
2016-06-10,77.54
2016-06-17,76.88
2016-06-24,74.96
2016-07-01,77.6
2016-07-08,78.68
2016-07-15,79.82
2016-07-22,80.43
2016-07-29,80.54
2016-08-05,80.99
2016-08-12,81.18
2016-08-19,81.29
2016-08-26,81.02
2016-09-02,81.31
2016-09-09,79.26
2016-09-16,79.4701
2016-09-23,80.529
2016-09-30,80.51
2016-10-07,79.83
2016-10-14,78.9
2016-10-21,79.2
2016-10-28,78.49
2016-11-04,77.22
2016-11-11,79.96
2016-11-18,80.93
2016-11-25,82.02
2016-12-02,81.01
2016-12-09,83.57
2016-12-16,83.46
2016-12-23,83.25
2016-12-30,82.38
2017-01-06,83.91
2017-01-13,83.74
2017-01-20,83.92
2017-01-27,84.82
2017-02-03,84.61
2017-02-10,85.29
2017-02-17,86.5017
2017-02-24,87.03
2017-03-03,87.3
2017-03-10,86.91
2017-03-17,87.5
2017-03-24,85.98
2017-03-31,86.76
2017-04-07,86.47
2017-04-14,85.67
2017-04-21,86.59
2017-04-28,88.06
2017-05-05,88.47
2017-05-12,87.8
2017-05-19,87.64
2017-05-26,89.12
2017-06-02,90.22
2017-06-09,89.64
2017-06-16,89.85
2017-06-23,90.439
2017-06-30,89.32
2017-07-07,89.3
2017-07-14,90.82
2017-07-21,91.53
2017-07-28,91.41
2017-08-04,91.33
2017-08-11,89.73
2017-08-18,89.13
2017-08-25,89.94
2017-09-01,91.32
2017-09-08,91.03
2017-09-15,92.38
2017-09-22,92.65
2017-09-29,92.85
2017-10-06,94.16
2017-10-13,94.58
2017-10-20,95.23
2017-10-27,95.47
2017-11-03,95.53
2017-11-10,95.18
2017-11-17,95.26
2017-11-24,95.9
2017-12-01,97.28
2017-12-08,97.63
2017-12-15,98.45
2017-12-22,98.38
2017-12-29,98.24
2018-01-05,100.79
2018-01-12,102.27
2018-01-19,103.33
2018-01-26,106.05
2018-02-02,101.94
2018-02-09,96.72
2018-02-16,100.75
2018-02-23,101.56
2018-03-02,99.49
2018-03-09,103.48
2018-03-16,102.445
2018-03-23,95.66
2018-03-30,97.72
2018-04-06,96.03
2018-04-13,98.34
2018-04-20,98.98
2018-04-27,99.21
2018-05-04,98.77
2018-05-11,101.16
2018-05-18,100.7
2018-05-25,101.1
2018-06-01,102.07
2018-06-08,103.49
2018-06-15,103.88
2018-06-22,102.98
2018-06-29,100.94
2018-07-06,102.91
2018-07-13,104.51
2018-07-20,104.36
2018-07-27,104.45
2018-08-03,105.07
2018-08-10,104.78
2018-08-17,104.87
2018-08-24,106.0203
2018-08-31,106.81
2018-09-07,105.2
2018-09-14,106.64
2018-09-21,107.56
2018-09-28,106.79
2018-10-05,105.29
2018-10-12,100.64
2018-10-19,100.31
2018-10-26,96.5
2018-11-02,99.13
2018-11-09,101.38
2018-11-16,100.53
2018-11-23,97.12
2018-11-30,101.81
2018-12-07,97.15
2018-12-14,96.53
2018-12-21,89.59
2018-12-28,92.24
2019-01-04,94.09
2019-01-11,96.67
2019-01-18,99.36
2019-01-25,99.2
2019-02-01,100.759
2019-02-08,101.11
2019-02-15,103.61
2019-02-22,104.48
2019-03-01,104.73
2019-03-08,102.45
2019-03-15,105.51
2019-03-22,104.09
2019-03-29,105.48
2019-04-05,107.86
2019-04-12,108.77
2019-04-19,108.61
2019-04-26,109.75
2019-05-03,109.43
2019-05-10,107.15
2019-05-17,106.74
2019-05-24,105.46
2019-05-31,102.83
2019-06-07,107.19
2019-06-14,107.82
2019-06-21,109.97
2019-06-28,109.36
2019-07-05,111.4
2019-07-12,112.38
2019-07-19,110.89
2019-07-26,113.26
2019-08-02,109.81
2019-08-09,109.4
2019-08-16,108.18
2019-08-23,106.61
2019-08-30,109.51
2019-09-06,111.58
2019-09-13,112.28
2019-09-20,111.67
2019-09-27,110.41
2019-10-04,109.78
2019-10-11,110.65
2019-10-18,111.11
2019-10-25,112.53
2019-11-01,114.09
2019-11-08,115.15
2019-11-15,116.28
2019-11-22,115.93
2019-11-29,117.36
2019-12-06,117.5
2019-12-13,118.62
2019-12-20,120.31
2019-12-27,120.69
2020-01-03,120.36
