date,value
2015-01-02,87.01
2015-01-09,86.8
2015-01-16,89.96
2015-01-23,91.24
2015-01-30,89.66
2015-02-06,85.25
2015-02-13,81.56
2015-02-20,83.2
2015-02-27,82.03
2015-03-06,78.41
2015-03-13,77.72
2015-03-20,81.57
2015-03-27,80.16
2015-04-03,82.08
2015-04-10,81.73
2015-04-17,80.7
2015-04-24,82.81
2015-05-01,80.08
2015-05-08,79.21
2015-05-15,79.14
2015-05-22,79.61
2015-05-29,79.23
2015-06-05,74.94
2015-06-12,74.08
2015-06-19,75.69
2015-06-26,74.96
2015-07-03,76.22
2015-07-10,77.51
2015-07-17,77.51
2015-07-24,77.36
2015-07-31,80.46
2015-08-07,81.22
2015-08-14,83.65
2015-08-21,83.15
2015-08-28,78.83
2015-09-04,75.01
2015-09-11,75.94
2015-09-18,77.8
2015-09-25,79.27
2015-10-02,80.6
2015-10-09,81.14
2015-10-16,83.35
2015-10-23,83.33
2015-10-30,81.59
2015-11-06,79.39
2015-11-13,79.53
2015-11-20,81.38
2015-11-27,80.17
2015-12-04,80.53
2015-12-11,78.33
2015-12-18,78.88
2015-12-25,79.88
2016-01-01,80.19
2016-01-08,78.38
2016-01-15,80.54
2016-01-22,81.33
2016-01-29,85.01
2016-02-05,86.45
2016-02-12,83.72
2016-02-19,84.72
2016-02-26,84.29
2016-03-04,84.86
2016-03-11,88.25
2016-03-18,88.91
2016-03-25,89.46
2016-04-01,91.05
2016-04-08,89.0
2016-04-15,89.12
2016-04-22,85.77
2016-04-29,89.16
2016-05-06,90.04
2016-05-13,90.87
2016-05-20,88.69
2016-05-27,90.21
2016-06-03,92.83
2016-06-10,93.91
2016-06-17,94.38
2016-06-24,95.58
2016-07-01,99.28
2016-07-08,99.14
2016-07-15,97.66
2016-07-22,99.41
2016-07-29,97.52
2016-08-05,95.1
2016-08-12,96.38
2016-08-19,94.7
2016-08-26,92.59
2016-09-02,93.2
2016-09-09,91.0
2016-09-16,93.56
2016-09-23,96.85
2016-09-30,93.67
2016-10-07,91.81
2016-10-14,92.0
2016-10-21,92.75
2016-10-28,93.94
2016-11-04,93.09
2016-11-11,90.97
2016-11-18,91.22
2016-11-25,94.03
2016-12-02,95.13
2016-12-09,97.45
2016-12-16,98.2
2016-12-23,98.74
2016-12-30,98.51
2017-01-06,98.86
2017-01-13,98.3
2017-01-20,98.4
2017-01-27,97.1
2017-02-03,99.01
2017-02-10,97.36
2017-02-17,98.12
2017-02-24,101.09
2017-03-03,101.13
2017-03-10,100.26
2017-03-17,100.9
2017-03-24,102.17
2017-03-31,102.11
2017-04-07,102.97
2017-04-14,103.51
2017-04-21,103.95
2017-04-28,104.59
2017-05-05,104.54
2017-05-12,105.42
2017-05-19,106.03
2017-05-26,108.88
2017-06-02,110.93
2017-06-09,108.98
2017-06-16,111.19
2017-06-23,108.89
2017-06-30,105.79
2017-07-07,105.26
2017-07-14,105.39
2017-07-21,107.94
2017-07-28,106.72
2017-08-04,108.94
2017-08-11,107.87
2017-08-18,110.63
2017-08-25,111.5
2017-09-01,112.12
2017-09-08,112.84
2017-09-15,111.45
2017-09-22,108.38
2017-09-29,107.36
2017-10-06,107.68
2017-10-13,109.89
2017-10-20,112.24
2017-10-27,110.83
2017-11-03,110.9
2017-11-10,112.45
2017-11-17,112.92
2017-11-24,112.65
2017-12-01,115.21
2017-12-08,115.49
2017-12-15,113.23
2017-12-22,108.72
2017-12-29,109.46
2018-01-05,106.2
2018-01-12,103.92
2018-01-19,103.15
2018-01-26,105.5
2018-02-02,103.28
2018-02-09,101.06
2018-02-16,105.22
2018-02-23,104.7
2018-03-02,100.79
2018-03-09,100.53
2018-03-16,102.27
2018-03-23,101.09
2018-03-30,104.4
2018-04-06,104.06
2018-04-13,102.44
2018-04-20,102.73
2018-04-27,105.65
2018-05-04,104.68
2018-05-11,102.45
2018-05-18,99.92
2018-05-25,102.18
2018-06-01,101.03
2018-06-08,96.97
2018-06-15,97.06
2018-06-22,100.45
2018-06-29,103.63
2018-07-06,107.03
2018-07-13,106.19
2018-07-20,106.6
2018-07-27,108.61
2018-08-03,110.1
2018-08-10,110.34
2018-08-17,113.62
2018-08-24,111.9
2018-08-31,111.14
2018-09-07,112.96
2018-09-14,112.3
2018-09-21,109.07
2018-09-28,109.13
2018-10-05,111.62
2018-10-12,110.14
2018-10-19,112.94
2018-10-26,112.85
2018-11-02,111.38
2018-11-09,118.14
2018-11-16,119.03
2018-11-23,116.67
2018-11-30,119.74
2018-12-07,119.52
2018-12-14,118.22
2018-12-21,114.05
2018-12-28,110.11
2019-01-04,109.99
2019-01-11,111.86
2019-01-18,112.98
2019-01-25,114.13
2019-02-01,117.36
2019-02-08,118.56
2019-02-15,119.81
2019-02-22,123.72
2019-03-01,122.9
2019-03-08,123.2
2019-03-15,123.98
2019-03-22,124.89
2019-03-29,124.74
2019-04-05,123.98
2019-04-12,124.42
2019-04-19,123.21
2019-04-26,124.34
2019-05-03,125.22
2019-05-10,125.98
2019-05-17,127.45
2019-05-24,128.79
2019-05-31,125.47
2019-06-07,128.58
2019-06-14,129.54
2019-06-21,131.11
2019-06-28,127.88
2019-07-05,130.87
2019-07-12,130.4
2019-07-19,128.79
2019-07-26,129.37
2019-08-02,128.66
2019-08-09,129.37
2019-08-16,129.29
2019-08-23,128.39
2019-08-30,129.66
2019-09-06,128.88
2019-09-13,128.43
2019-09-20,132.29
2019-09-27,132.49
2019-10-04,132.24
2019-10-11,129.89
2019-10-18,127.34
2019-10-25,128.21
2019-11-01,127.0
2019-11-08,120.49
2019-11-15,123.84
2019-11-22,123.44
2019-11-29,124.94
2019-12-06,125.23
2019-12-13,124.86
2019-12-20,129.86
2019-12-27,128.88
2020-01-03,129.01
