date,value
2015-01-02,79.44
2015-01-09,79.03
2015-01-16,79.59
2015-01-23,80.59
2015-01-30,79.0
2015-02-06,79.63
2015-02-13,79.57
2015-02-20,80.17
2015-02-27,79.44
2015-03-06,77.24
2015-03-13,76.89
2015-03-20,79.59
2015-03-27,77.47
2015-04-03,78.06
2015-04-10,79.0
2015-04-17,78.39
2015-04-24,79.35
2015-05-01,78.72
2015-05-08,78.4
2015-05-15,78.79
2015-05-22,79.04
2015-05-29,78.39
2015-06-05,76.96
2015-06-12,77.08
2015-06-19,77.64
2015-06-26,76.46
2015-07-03,75.82
2015-07-10,76.28
2015-07-17,76.76
2015-07-24,74.84
2015-07-31,76.32
2015-08-07,76.12
2015-08-14,77.18
2015-08-21,74.38
2015-08-28,73.86
2015-09-04,71.58
2015-09-11,72.61
2015-09-18,73.2
2015-09-25,72.63
2015-10-02,73.26
2015-10-09,75.95
2015-10-16,76.41
2015-10-23,77.39
2015-10-30,76.87
2015-11-06,76.44
2015-11-13,74.74
2015-11-20,76.73
2015-11-27,77.09
2015-12-04,76.57
2015-12-11,74.12
2015-12-18,74.395
2015-12-25,75.93
2016-01-01,75.15
2016-01-08,72.43
2016-01-15,71.81
2016-01-22,72.35
2016-01-29,74.46
2016-02-05,74.56
2016-02-12,74.22
2016-02-19,76.18
2016-02-26,76.75
2016-03-04,79.36
2016-03-11,80.7
2016-03-18,81.73
2016-03-25,80.33
2016-04-01,81.92
2016-04-08,80.61
2016-04-15,81.69
2016-04-22,81.42
2016-04-29,82.04
2016-05-06,81.68
2016-05-13,81.75
2016-05-20,81.07
2016-05-27,82.85
2016-06-03,83.62
2016-06-10,84.24
2016-06-17,83.84
2016-06-24,82.63
2016-07-01,85.3
2016-07-08,85.88
2016-07-15,87.27
2016-07-22,87.33
2016-07-29,86.99
2016-08-05,86.62
2016-08-12,86.83
2016-08-19,86.84
2016-08-26,85.98
2016-09-02,86.7
2016-09-09,84.75
2016-09-16,85.02
2016-09-23,86.95
2016-09-30,85.69
2016-10-07,84.07
2016-10-14,83.82
2016-10-21,83.64
2016-10-28,83.45
2016-11-04,81.79
2016-11-11,84.68
2016-11-18,86.13
2016-11-25,87.61
2016-12-02,87.21
2016-12-09,89.81
2016-12-16,89.71
2016-12-23,89.23
2016-12-30,88.57
2017-01-06,89.47
2017-01-13,88.81
2017-01-20,88.75
2017-01-27,89.71
2017-02-03,90.08
2017-02-10,90.44
2017-02-17,90.99
2017-02-24,92.19
2017-03-03,92.73
2017-03-10,91.52
2017-03-17,92.33
2017-03-24,90.52
2017-03-31,91.1
2017-04-07,90.88
2017-04-14,90.5
2017-04-21,91.17
2017-04-28,91.5
2017-05-05,91.65
2017-05-12,90.86
2017-05-19,90.73
2017-05-26,92.09
2017-06-02,93.19
2017-06-09,93.34
2017-06-16,94.4
2017-06-23,93.19
2017-06-30,92.21
2017-07-07,91.58
2017-07-14,91.98
2017-07-21,93.04
2017-07-28,92.48
2017-08-04,92.8
2017-08-11,91.43
2017-08-18,90.88
2017-08-25,91.91
2017-09-01,92.43
2017-09-08,92.51
2017-09-15,93.78
2017-09-22,93.68
2017-09-29,93.65
2017-10-06,94.04
2017-10-13,95.02
2017-10-20,95.57
2017-10-27,95.05
2017-11-03,94.79
2017-11-10,94.9
2017-11-17,95.24
2017-11-24,95.57
2017-12-01,98.35
2017-12-08,99.04
2017-12-15,99.17
2017-12-22,98.32
2017-12-29,98.56
2018-01-05,98.94
2018-01-12,100.37
2018-01-19,100.55
2018-01-26,102.32
2018-02-02,98.5
2018-02-09,94.25
2018-02-16,97.99
2018-02-23,98.23
2018-03-02,95.98
2018-03-09,97.83
2018-03-16,97.53
2018-03-23,92.49
2018-03-30,95.12
2018-04-06,94.7
2018-04-13,95.58
2018-04-20,95.88
2018-04-27,97.0
2018-05-04,96.49
2018-05-11,97.13
2018-05-18,97.19
2018-05-25,97.62
2018-06-01,97.74
2018-06-08,98.63
2018-06-15,98.53
2018-06-22,98.59
2018-06-29,97.74
2018-07-06,99.26
2018-07-13,98.92
2018-07-20,98.39
2018-07-27,99.03
2018-08-03,100.02
2018-08-10,99.76
2018-08-17,101.4
2018-08-24,101.42
2018-08-31,101.01
2018-09-07,101.29
2018-09-14,102.19
2018-09-21,102.23
2018-09-28,99.76
2018-10-05,100.24
2018-10-12,96.37
2018-10-19,97.51
2018-10-26,94.09
2018-11-02,96.25
2018-11-09,98.21
2018-11-16,97.43
2018-11-23,94.75
2018-11-30,97.85
2018-12-07,95.41
2018-12-14,94.63
2018-12-21,88.14
2018-12-28,88.7
2019-01-04,90.32
2019-01-11,92.39
2019-01-18,93.87
2019-01-25,93.57
2019-02-01,95.4
2019-02-08,95.65
2019-02-15,97.04
2019-02-22,98.56
2019-03-01,98.57
2019-03-08,97.28
2019-03-15,99.18
2019-03-22,97.08
2019-03-29,98.18
2019-04-05,100.22
2019-04-12,100.57
2019-04-19,100.28
2019-04-26,100.64
2019-05-03,100.96
2019-05-10,99.14
2019-05-17,98.16
2019-05-24,97.08
2019-05-31,93.61
2019-06-07,97.65
2019-06-14,98.48
2019-06-21,99.39
2019-06-28,99.56
2019-07-05,100.71
2019-07-12,101.14
2019-07-19,100.32
2019-07-26,101.27
2019-08-02,98.76
2019-08-09,97.66
2019-08-16,96.69
