date,value
2015-01-02,41.49
2015-01-09,41.85
2015-01-16,41.96
2015-01-23,42.63
2015-01-30,41.9199
2015-02-06,42.22
2015-02-13,43.45
2015-02-20,43.562
2015-02-27,43.261
2015-03-06,41.71
2015-03-13,40.64
2015-03-20,41.84
2015-03-27,41.04
2015-04-03,42.29
2015-04-10,43.15
2015-04-17,43.77
2015-04-24,45.4
2015-05-01,45.67
2015-05-08,46.36
2015-05-15,46.44
2015-05-22,45.07
2015-05-29,43.29
2015-06-05,42.25
2015-06-12,42.5
2015-06-19,42.595
2015-06-26,41.78
2015-07-03,41.18
2015-07-10,39.41
2015-07-17,39.68
2015-07-24,37.25
2015-07-31,36.97
2015-08-07,35.94
2015-08-14,35.28
2015-08-21,32.78
2015-08-28,33.24
2015-09-04,31.6
2015-09-11,32.66
2015-09-18,32.85
2015-09-25,30.88
2015-10-02,31.834
2015-10-09,33.97
2015-10-16,34.19
2015-10-23,33.67
2015-10-30,32.78
2015-11-06,33.42
2015-11-13,31.78
2015-11-20,33.09
2015-11-27,31.8999
2015-12-04,31.53
2015-12-11,29.21
2015-12-18,30.0
2015-12-25,30.4792
2016-01-01,30.11
2016-01-08,27.61
2016-01-15,26.71
2016-01-22,27.11
2016-01-29,28.59
2016-02-05,29.05
2016-02-12,28.4
2016-02-19,29.75
2016-02-26,29.49
2016-03-04,31.86
2016-03-11,32.97
2016-03-18,33.09
2016-03-25,31.97
2016-04-01,32.86
2016-04-08,31.8601
2016-04-15,33.85
2016-04-22,33.89
2016-04-29,33.87
2016-05-06,32.32
2016-05-13,31.4101
2016-05-20,31.44
2016-05-27,31.44
2016-06-03,32.48
2016-06-10,32.32
2016-06-17,32.28
2016-06-24,31.55
2016-07-01,33.55
2016-07-08,33.45
2016-07-15,34.82
2016-07-22,35.28
2016-07-29,35.76
2016-08-05,36.32
2016-08-12,37.21
2016-08-19,36.9
2016-08-26,35.77
2016-09-02,36.15
2016-09-09,35.73
2016-09-16,35.47
2016-09-23,36.76
2016-09-30,35.9
2016-10-07,36.13
2016-10-14,35.2
2016-10-21,35.97
2016-10-28,35.71
2016-11-04,35.07
2016-11-11,33.72
2016-11-18,33.53
2016-11-25,34.27
2016-12-02,34.16
2016-12-09,35.2
2016-12-16,34.29
2016-12-23,33.93
2016-12-30,34.58
2017-01-06,35.25
2017-01-13,36.43
2017-01-20,36.37
2017-01-27,37.32
2017-02-03,37.6
2017-02-10,38.22
2017-02-17,39.39
2017-02-24,39.25
2017-03-03,39.37
2017-03-10,38.83
2017-03-17,40.32
2017-03-24,40.26
2017-03-31,39.85
2017-04-07,39.92
2017-04-14,39.75
2017-04-21,39.48
2017-04-28,40.03
2017-05-05,39.8
2017-05-12,40.34
2017-05-19,40.23
2017-05-26,40.83
2017-06-02,41.09
2017-06-09,40.81
2017-06-16,40.53
2017-06-23,40.15
2017-06-30,40.17
2017-07-07,39.83
2017-07-14,41.32
2017-07-21,41.45
2017-07-28,41.6
2017-08-04,42.04
2017-08-11,41.28
2017-08-18,41.52
2017-08-25,42.6
2017-09-01,43.26
2017-09-08,43.27
2017-09-15,43.61
2017-09-22,43.04
2017-09-29,41.46
2017-10-06,41.93
2017-10-13,42.77
2017-10-20,42.04
2017-10-27,41.88
2017-11-03,41.5
2017-11-10,41.25
2017-11-17,41.4532
2017-11-24,41.83
2017-12-01,40.9298
2017-12-08,40.68
2017-12-15,41.14
2017-12-22,41.15
2017-12-29,41.83
2018-01-05,43.34
2018-01-12,43.79
2018-01-19,44.555
2018-01-26,46.1
2018-02-02,44.25
2018-02-09,42.21
2018-02-16,44.45
2018-02-23,44.81
2018-03-02,43.96
2018-03-09,44.3
2018-03-16,43.63
2018-03-23,42.33
2018-03-30,43.37
2018-04-06,42.57
2018-04-13,42.06
2018-04-20,42.02
2018-04-27,41.84
2018-05-04,41.38
2018-05-11,41.54
2018-05-18,41.13
2018-05-25,41.29
2018-06-01,41.52
2018-06-08,41.9
2018-06-15,40.95
2018-06-22,39.69
2018-06-29,39.37
2018-07-06,39.87
2018-07-13,39.92
2018-07-20,40.05
2018-07-27,40.73
2018-08-03,40.82
2018-08-10,39.43
2018-08-17,39.34
2018-08-24,39.65
2018-08-31,40.02
2018-09-07,38.81
2018-09-14,39.21
2018-09-21,39.99
2018-09-28,38.91
2018-10-05,38.2
2018-10-12,37.93
2018-10-19,37.95
2018-10-26,37.07
2018-11-02,38.74
2018-11-09,38.26
2018-11-16,38.78
2018-11-23,38.16
2018-11-30,38.75
2018-12-07,38.38
2018-12-14,38.32
2018-12-21,36.87
2018-12-28,37.37
2019-01-04,38.62
2019-01-11,39.48
2019-01-18,40.14
2019-01-25,41.02
2019-02-01,41.7
2019-02-08,41.2
2019-02-15,41.0
2019-02-22,41.23
2019-03-01,40.59
2019-03-08,40.19
2019-03-15,40.92
2019-03-22,39.8
2019-03-29,40.21
2019-04-05,41.18
2019-04-12,41.07
2019-04-19,41.36
2019-04-26,40.74
2019-05-03,40.86
2019-05-10,39.46
2019-05-17,38.27
2019-05-24,38.24
2019-05-31,39.35
2019-06-07,39.96
2019-06-14,39.96
2019-06-21,40.44
2019-06-28,40.79
2019-07-05,41.02
2019-07-12,41.34
2019-07-19,41.25
2019-07-26,40.72
2019-08-02,38.97
2019-08-09,38.42
2019-08-16,37.52
2019-08-23,37.0
2019-08-30,37.84
2019-09-06,38.82
2019-09-13,39.7
2019-09-20,38.77
2019-09-27,37.37
2019-10-04,37.51
2019-10-11,37.76
2019-10-18,38.01
2019-10-25,38.46
2019-11-01,38.51
2019-11-08,38.88
2019-11-15,38.44
2019-11-22,38.65
2019-11-29,38.6
2019-12-06,38.81
2019-12-13,39.8
2019-12-20,40.12
2019-12-27,40.58
2020-01-03,40.68
