date,value
2017-02-03,69.95
2017-02-10,70.82
2017-02-17,70.56
2017-02-24,69.1
2017-03-03,69.85
2017-03-10,69.06
2017-03-17,66.58
2017-03-24,67.84
2017-03-31,69.01
2017-04-07,75.87
2017-04-14,76.51
2017-04-21,76.32
2017-04-28,75.34
2017-05-05,78.39
2017-05-12,79.62
2017-05-19,78.07
2017-05-26,78.66
2017-06-02,77.59
2017-06-09,75.1
2017-06-16,74.84
2017-06-23,78.46
2017-06-30,76.72
2017-07-07,77.46
2017-07-14,78.51
2017-07-21,79.94
2017-07-28,78.43
2017-08-04,78.72
2017-08-11,82.05
2017-08-18,83.34
2017-08-25,84.88
2017-09-01,84.91
2017-09-08,84.17
2017-09-15,85.07
2017-09-22,85.51
2017-09-29,85.88
2017-10-06,87.44
2017-10-13,91.04
2017-10-20,91.89
2017-10-27,91.91
2017-11-03,91.45
2017-11-10,95.94
2017-11-17,96.9
2017-11-24,97.76
2017-12-01,95.58
2017-12-08,95.93
2017-12-15,95.25
2017-12-22,95.89
2017-12-29,94.9
2018-01-05,100.63
2018-01-12,101.29
2018-01-19,100.98
2018-01-26,102.5
2018-02-02,98.89
2018-02-09,96.99
2018-02-16,100.82
2018-02-23,103.98
2018-03-02,101.1
2018-03-09,106.72
2018-03-16,104.51
2018-03-23,101.4
2018-03-30,100.53
2018-04-06,99.76
2018-04-13,103.08
2018-04-20,103.51
2018-04-27,103.48
2018-05-04,102.01
2018-05-11,104.6
2018-05-18,100.23
2018-05-25,94.21
2018-06-01,83.4
2018-06-08,85.54
2018-06-15,83.86
2018-06-22,80.85
2018-06-29,80.61
2018-07-06,83.55
2018-07-13,86.15
2018-07-20,87.04
2018-07-27,85.87
2018-08-03,86.4
2018-08-10,86.1
2018-08-17,87.37
2018-08-24,89.64
2018-08-31,91.09
2018-09-07,90.2
2018-09-14,92.46
2018-09-21,96.38
2018-09-28,93.52
2018-10-05,90.99
2018-10-12,87.66
2018-10-19,88.3
2018-10-26,73.12
2018-11-02,70.63
2018-11-09,62.0
2018-11-16,62.69
2018-11-23,57.97
2018-11-30,63.04
2018-12-07,58.93
2018-12-14,56.76
2018-12-21,50.48
2018-12-28,52.95
2019-01-04,57.32
2019-01-11,61.08
2019-01-18,62.62
2019-01-25,63.34
2019-02-01,65.1
2019-02-08,69.21
2019-02-15,65.46
2019-02-22,66.67
2019-03-01,67.27
2019-03-08,64.19
2019-03-15,65.75
2019-03-22,64.34
2019-03-29,64.31
2019-04-05,65.45
2019-04-12,65.98
2019-04-19,64.58
2019-04-26,65.0
2019-05-03,63.01
2019-05-10,59.03
2019-05-17,56.33
2019-05-24,53.08
2019-05-31,47.54
2019-06-07,49.18
2019-06-14,51.72
2019-06-21,54.44
2019-06-28,55.15
2019-07-05,56.46
2019-07-12,56.81
2019-07-19,55.93
2019-07-26,56.64
2019-08-02,53.29
2019-08-09,35.91
2019-08-16,31.79
2019-08-23,33.59
2019-08-30,33.22
2019-09-06,34.13
2019-09-13,32.7
2019-09-20,31.82
2019-09-27,29.78
2019-10-04,27.27
2019-10-11,28.03
2019-10-18,26.44
2019-10-25,28.31
2019-11-01,28.37
2019-11-08,30.08
2019-11-15,37.23
2019-11-22,35.84
2019-11-29,37.33
2019-12-06,37.36
2019-12-13,37.52
2019-12-20,37.58
2019-12-27,36.65
2020-01-03,35.23
