date,value
2019-03-22,24.8289
2019-03-29,25.1668
2019-04-05,25.5473
2019-04-12,25.6885
2019-04-19,25.5702
2019-04-26,25.8224
2019-05-03,25.8949
2019-05-10,25.4352
2019-05-17,25.393
2019-05-24,25.1731
2019-05-31,24.6082
2019-06-07,25.7845
2019-06-14,25.8766
2019-06-21,26.2074
2019-06-28,26.1034
2019-07-05,26.5453
2019-07-12,26.7938
2019-07-19,26.5599
2019-07-26,26.9292
2019-08-02,26.1568
2019-08-09,26.1593
2019-08-16,25.9363
2019-08-23,25.4945
2019-08-30,26.3
2019-09-06,26.8539
2019-09-13,26.8031
2019-09-20,26.7448
2019-09-27,26.434
2019-10-04,26.3992
2019-10-11,26.5493
2019-10-18,26.69
2019-10-25,26.9094
2019-11-01,27.1924
2019-11-08,27.3524
2019-11-15,27.6343
2019-11-22,27.52
2019-11-29,27.7881
2019-12-06,27.87
2019-12-13,28.04
2019-12-20,28.3791
2019-12-27,28.4606
2020-01-03,28.3743
