date,value
2015-01-02,44.9
2015-01-09,45.65
2015-01-16,44.61
2015-01-23,44.8
2015-01-30,44.4342
2015-02-06,43.86
2015-02-13,44.71
2015-02-20,44.84
2015-02-27,45.051
2015-03-06,45.11
2015-03-13,45.02
2015-03-20,46.38
2015-03-27,47.435
2015-04-03,51.05
2015-04-10,57.818
2015-04-17,57.4656
2015-04-24,59.7299
2015-05-01,61.61
2015-05-08,61.1499
2015-05-15,63.78
2015-05-22,65.98
2015-05-29,66.39
2015-06-05,65.14
2015-06-12,64.145
2015-06-19,62.46
2015-06-26,59.3
2015-07-03,55.27
2015-07-10,50.1
2015-07-17,52.76
2015-07-24,50.9
2015-07-31,48.8
2015-08-07,48.0
2015-08-14,48.5738
2015-08-21,41.79
2015-08-28,41.56
2015-09-04,39.409
2015-09-11,42.0
2015-09-18,41.405
2015-09-25,41.565
2015-10-02,42.7
2015-10-09,44.6
2015-10-16,45.99
2015-10-23,47.04
2015-10-30,45.46
2015-11-06,45.135
2015-11-13,43.86
2015-11-20,46.19
2015-11-27,45.22
2015-12-04,45.84
2015-12-11,43.8099
2015-12-18,44.48
2015-12-25,45.5
2016-01-01,44.5509
2016-01-08,41.3
2016-01-15,38.35
2016-01-22,38.3
2016-01-29,38.0
2016-02-05,36.4902
2016-02-12,36.45
2016-02-19,38.969
2016-02-26,38.51
2016-03-04,41.55
2016-03-11,40.27
2016-03-18,41.1796
2016-03-25,40.62
2016-04-01,41.09
2016-04-08,41.02
2016-04-15,42.82
2016-04-22,42.54
2016-04-29,42.0
2016-05-06,41.04
2016-05-13,39.645
2016-05-20,39.53
2016-05-27,39.99
2016-06-03,40.89
2016-06-10,40.55
2016-06-17,40.3
2016-06-24,39.14
2016-07-01,39.27
2016-07-08,39.7
2016-07-15,40.77
2016-07-22,41.19
2016-07-29,40.37
2016-08-05,41.31
2016-08-12,42.1446
2016-08-19,43.395
2016-08-26,43.12
2016-09-02,44.45
2016-09-09,44.52
2016-09-16,44.65
2016-09-23,45.6999
2016-09-30,44.92
2016-10-07,45.28
2016-10-14,44.33
2016-10-21,44.86
2016-10-28,44.442
2016-11-04,42.84
2016-11-11,43.76
2016-11-18,43.307
2016-11-25,43.76
2016-12-02,43.61
2016-12-09,43.6806
2016-12-16,42.2025
2016-12-23,40.35
2016-12-30,41.0
2017-01-06,41.8415
2017-01-13,42.4103
2017-01-20,41.99
2017-01-27,43.0805
2017-02-03,43.35
2017-02-10,44.57
2017-02-17,44.0219
2017-02-24,44.43
2017-03-03,44.36
2017-03-10,44.64
2017-03-17,46.33
2017-03-24,46.4695
2017-03-31,45.3239
2017-04-07,46.01
2017-04-14,45.61
2017-04-21,45.27
2017-04-28,45.2
2017-05-05,44.47
2017-05-12,45.6134
2017-05-19,45.25
2017-05-26,44.9194
2017-06-02,45.19
2017-06-09,45.5332
2017-06-16,45.2878
2017-06-23,45.6
2017-06-30,45.2554
2017-07-07,45.5201
2017-07-14,46.859
2017-07-21,47.33
2017-07-28,47.02
2017-08-04,47.132
2017-08-11,46.03
2017-08-18,46.58
2017-08-25,47.625
2017-09-01,49.0243
2017-09-08,49.49
2017-09-15,51.0
2017-09-22,52.09
2017-09-29,51.02
2017-10-06,52.41
2017-10-13,52.964
2017-10-20,52.26
2017-10-27,51.8
2017-11-03,51.671
2017-11-10,51.8
2017-11-17,50.798
2017-11-24,50.6321
2017-12-01,49.3844
2017-12-08,48.78
2017-12-15,49.33
2017-12-22,49.42
2017-12-29,50.55
2018-01-05,52.65
2018-01-12,53.91
2018-01-19,54.01
2018-01-26,55.5701
2018-02-02,52.97
2018-02-09,48.0739
2018-02-16,52.2948
2018-02-23,52.41
2018-03-02,51.26
2018-03-09,54.0
2018-03-16,54.05
2018-03-23,50.66
2018-03-30,53.0
2018-04-06,52.3
2018-04-13,54.06
2018-04-20,52.18
2018-04-27,52.204
2018-05-04,53.3
2018-05-11,54.86
2018-05-18,55.74
2018-05-25,56.11
2018-06-01,55.38
2018-06-08,55.59
2018-06-15,54.76
2018-06-22,52.38
2018-06-29,50.42
2018-07-06,49.12
2018-07-13,50.2701
2018-07-20,49.89
2018-07-27,50.38
2018-08-03,48.98
2018-08-10,48.56
2018-08-17,46.1367
2018-08-24,47.81
2018-08-31,47.3343
2018-09-07,45.07
2018-09-14,44.7932
2018-09-21,46.31
2018-09-28,46.15
2018-10-05,44.4
2018-10-12,41.66
2018-10-19,41.25
2018-10-26,40.71
2018-11-02,42.9617
2018-11-09,42.05
2018-11-16,42.93
2018-11-23,42.3062
2018-11-30,42.7444
2018-12-07,41.6
2018-12-14,41.58
2018-12-21,37.83
2018-12-28,38.94
2019-01-04,39.13
2019-01-11,39.675
2019-01-18,40.8
2019-01-25,41.2356
2019-02-01,42.5
2019-02-08,42.974
2019-02-15,43.29
2019-02-22,44.7905
2019-03-01,45.25
2019-03-08,44.18
2019-03-15,45.0
2019-03-22,45.26
2019-03-29,45.53
2019-04-05,47.225
2019-04-12,47.255
2019-04-19,47.18
2019-04-26,45.75
2019-05-03,45.82
2019-05-10,43.2684
2019-05-17,42.12
2019-05-24,40.962
2019-05-31,41.675
2019-06-07,41.4888
2019-06-14,41.3738
2019-06-21,41.69
2019-06-28,42.17
2019-07-05,42.36
2019-07-12,41.8
2019-07-19,41.8
2019-07-26,41.8069
2019-08-02,39.85
2019-08-09,38.445
2019-08-16,38.17
2019-08-23,38.34
2019-08-30,38.59
2019-09-06,39.5573
2019-09-13,40.42
2019-09-20,39.91
2019-09-27,38.4499
2019-10-04,38.805
2019-10-11,39.3778
2019-10-18,39.33
2019-10-25,39.78
2019-11-01,40.03
2019-11-08,40.4849
2019-11-15,39.39
2019-11-22,39.0447
2019-11-29,39.055
2019-12-06,39.3
2019-12-13,39.8746
2019-12-20,40.17
2019-12-27,40.51
2020-01-03,41.4282
