date,value
2015-01-02,47.59
2015-01-09,46.68
2015-01-16,46.38
2015-01-23,46.6589
2015-01-30,47.32
2015-02-06,46.94
2015-02-13,47.9701
2015-02-20,50.6
2015-02-27,51.03
2015-03-06,49.7618
2015-03-13,49.3
2015-03-20,51.4
2015-03-27,52.87
2015-04-03,53.84
2015-04-10,54.58
2015-04-17,53.66
2015-04-24,55.15
2015-05-01,55.66
2015-05-08,55.49
2015-05-15,56.96
2015-05-22,56.03
2015-05-29,55.57
2015-06-05,55.72
2015-06-12,56.53
2015-06-19,55.02
2015-06-26,54.95
2015-07-03,54.24
2015-07-10,55.9
2015-07-17,56.37
2015-07-24,56.54
2015-07-31,56.43
2015-08-07,55.503
2015-08-14,56.19
2015-08-21,53.54
2015-08-28,53.83
2015-09-04,53.26
2015-09-11,54.8893
2015-09-18,54.4111
2015-09-25,53.38
2015-10-02,53.61
2015-10-09,54.7058
2015-10-16,54.47
2015-10-23,54.02
2015-10-30,52.98
2015-11-06,54.06
2015-11-13,53.1312
2015-11-20,54.33
2015-11-27,54.6599
2015-12-04,56.81
2015-12-11,54.36
2015-12-18,54.62
2015-12-25,55.85
2016-01-01,55.8501
2016-01-08,53.72
2016-01-15,51.05
2016-01-22,52.51
2016-01-29,54.12
2016-02-05,51.81
2016-02-12,50.45
2016-02-19,52.54
2016-02-26,52.955
2016-03-04,55.1201
2016-03-11,55.65
2016-03-18,55.57
2016-03-25,54.9501
2016-04-01,56.89
2016-04-08,56.88
2016-04-15,56.3401
2016-04-22,56.79
2016-04-29,57.25
2016-05-06,56.4599
2016-05-13,56.95
2016-05-20,57.28
2016-05-27,58.43
2016-06-03,59.22
2016-06-10,56.52
2016-06-17,54.51
2016-06-24,52.88
2016-07-01,55.79
2016-07-08,54.63
2016-07-15,55.25
2016-07-22,55.68
2016-07-29,57.24
2016-08-05,55.4299
2016-08-12,55.39
2016-08-19,56.65
2016-08-26,56.36
2016-09-02,56.65
2016-09-09,55.32
2016-09-16,56.0
2016-09-23,56.366
2016-09-30,55.53
2016-10-07,54.9
2016-10-14,53.69
2016-10-21,55.0
2016-10-28,52.66
