date,value
2015-01-02,20.42
2015-01-09,20.98
2015-01-16,20.51
2015-01-23,18.63
2015-01-30,18.29
2015-02-06,18.64
2015-02-13,18.79
2015-02-20,20.01
2015-02-27,19.16
2015-03-06,20.29
2015-03-13,20.56
2015-03-20,21.46
2015-03-27,22.17
2015-04-03,24.04
2015-04-10,24.52
2015-04-17,23.88
2015-04-24,26.52
2015-05-01,25.6
2015-05-08,24.77
2015-05-15,24.48
2015-05-22,24.5
2015-05-29,23.83
2015-06-05,24.52
2015-06-12,25.52
2015-06-19,25.07
2015-06-26,24.63
2015-07-03,23.8
2015-07-10,23.46
2015-07-17,23.83
2015-07-24,22.86
2015-07-31,22.4
2015-08-07,22.83
2015-08-14,22.2
2015-08-21,19.58
2015-08-28,20.75
2015-09-04,19.66
2015-09-11,19.26
2015-09-18,18.87
2015-09-25,18.7
2015-10-02,20.93
2015-10-09,21.36
2015-10-16,22.45
2015-10-23,25.9
2015-10-30,27.51
2015-11-06,28.76
2015-11-13,28.88
2015-11-20,30.14
2015-11-27,29.66
2015-12-04,31.38
2015-12-11,31.93
2015-12-18,32.95
2015-12-25,32.76
2016-01-01,31.37
2016-01-08,27.96
2016-01-15,27.89
2016-01-22,29.59
2016-01-29,31.41
2016-02-05,30.19
2016-02-12,29.51
2016-02-19,31.54
2016-02-26,31.26
2016-03-04,31.07
2016-03-11,32.85
2016-03-18,35.9
2016-03-25,34.88
2016-04-01,34.81
2016-04-08,35.89
2016-04-15,35.54
2016-04-22,39.76
2016-04-29,39.16
2016-05-06,39.73
2016-05-13,39.67
2016-05-20,41.05
2016-05-27,42.53
2016-06-03,43.02
2016-06-10,38.98
2016-06-17,40.02
2016-06-24,41.04
2016-07-01,42.06
2016-07-08,41.7
2016-07-15,41.49
2016-07-22,44.38
2016-07-29,44.06
2016-08-05,43.41
2016-08-12,42.69
2016-08-19,42.81
2016-08-26,40.43
2016-09-02,42.14
2016-09-09,44.19
2016-09-16,46.83
2016-09-23,47.31
2016-09-30,46.36
2016-10-07,45.71
2016-10-14,47.05
2016-10-21,46.8
2016-10-28,51.61
2016-11-04,50.48
2016-11-11,50.51
2016-11-18,50.2
2016-11-25,51.56
2016-12-02,42.0
2016-12-09,43.44
2016-12-16,42.91
2016-12-23,42.5
2016-12-30,42.1
2017-01-06,47.66
2017-01-13,48.74
2017-01-20,48.43
2017-01-27,48.8
2017-02-03,47.41
2017-02-10,50.8
2017-02-17,49.42
2017-02-24,49.15
2017-03-03,49.88
2017-03-10,51.11
2017-03-17,55.1
2017-03-24,58.95
2017-03-31,60.38
2017-04-07,61.06
2017-04-14,59.39
2017-04-21,62.81
2017-04-28,64.54
2017-05-05,65.32
2017-05-12,71.59
2017-05-19,71.7
2017-05-26,73.43
2017-06-02,73.96
2017-06-09,72.47
2017-06-16,74.1
2017-06-23,72.72
2017-06-30,70.49
2017-07-07,72.12
2017-07-14,79.78
2017-07-21,79.11
2017-07-28,79.84
2017-08-04,79.09
2017-08-11,78.23
2017-08-18,80.05
2017-08-25,77.79
2017-09-01,84.12
2017-09-08,87.89
2017-09-15,87.04
2017-09-22,85.58
2017-09-29,88.26
2017-10-06,91.63
2017-10-13,93.8
2017-10-20,92.75
2017-10-27,85.36
2017-11-03,81.54
2017-11-10,85.53
2017-11-17,89.29
2017-11-24,88.57
2017-12-01,84.28
2017-12-08,90.01
2017-12-15,89.5
2017-12-22,91.75
2017-12-29,94.0
2018-01-05,100.86
2018-01-12,104.92
2018-01-19,101.69
2018-01-26,94.41
2018-02-02,89.58
2018-02-09,85.0
2018-02-16,92.94
2018-02-23,95.95
2018-03-02,85.92
2018-03-09,93.5
2018-03-16,90.5
2018-03-23,89.92
2018-03-30,87.65
2018-04-06,88.72
2018-04-13,92.29
2018-04-20,91.11
2018-04-27,90.09
2018-05-04,90.78
2018-05-11,93.25
2018-05-18,94.04
2018-05-25,100.68
2018-06-01,101.4
2018-06-08,105.0
2018-06-15,103.81
2018-06-22,100.92
2018-06-29,94.66
2018-07-06,94.46
2018-07-13,97.14
2018-07-20,93.3
2018-07-27,89.67
2018-08-03,85.24
2018-08-10,86.99
2018-08-17,83.37
2018-08-24,75.22
2018-08-31,78.6
2018-09-07,72.34
2018-09-14,69.51
2018-09-21,75.69
2018-09-28,74.01
2018-10-05,61.46
2018-10-12,61.54
2018-10-19,61.07
2018-10-26,56.86
2018-11-02,62.03
2018-11-09,57.4
2018-11-16,55.68
2018-11-23,52.94
2018-11-30,57.16
2018-12-07,57.5
2018-12-14,56.69
2018-12-21,51.45
2018-12-28,54.86
2019-01-04,56.57
2019-01-11,60.69
