date,value
2015-01-02,25.24
2015-01-09,25.22
2015-01-16,25.3476
2015-01-23,26.07
2015-01-30,25.45
2015-02-06,25.92
2015-02-13,26.26
2015-02-20,26.1708
2015-02-27,26.26
2015-03-06,25.33
2015-03-13,24.94
2015-03-20,25.77
2015-03-27,25.56
2015-04-03,26.32
2015-04-10,26.63
2015-04-17,26.53
2015-04-24,27.06
2015-05-01,26.99
2015-05-08,26.88
2015-05-15,26.938
2015-05-22,26.65
2015-05-29,26.03
2015-06-05,25.13
2015-06-12,25.27
2015-06-19,25.179
2015-06-26,25.14
2015-07-03,25.09
2015-07-10,24.62
2015-07-17,24.75
2015-07-24,23.94
2015-07-31,23.96
2015-08-07,23.48
2015-08-14,22.82
2015-08-21,21.1
2015-08-28,21.75
2015-09-04,21.02
2015-09-11,21.72
2015-09-18,21.76
2015-09-25,20.8
2015-10-02,21.34
2015-10-09,22.59
2015-10-16,22.7
2015-10-23,22.74
2015-10-30,22.14
2015-11-06,22.11
2015-11-13,21.21
2015-11-20,21.92
2015-11-27,21.38
2015-12-04,21.32
2015-12-11,19.8
2015-12-18,20.22
2015-12-25,20.62
2016-01-01,20.29
2016-01-08,18.99
2016-01-15,18.52
2016-01-22,18.97
2016-01-29,20.08
2016-02-05,19.96
2016-02-12,19.71
2016-02-19,20.24
2016-02-26,20.17
2016-03-04,21.48
2016-03-11,21.82
2016-03-18,22.31
2016-03-25,22.0301
2016-04-01,22.58
2016-04-08,22.0
2016-04-15,22.55
2016-04-22,22.5
2016-04-29,22.52
2016-05-06,21.67
2016-05-13,21.39
2016-05-20,21.3
2016-05-27,21.63
2016-06-03,21.96
2016-06-10,21.69
2016-06-17,21.44
2016-06-24,21.31
2016-07-01,22.25
2016-07-08,22.2
2016-07-15,22.74
2016-07-22,22.67
2016-07-29,22.8
2016-08-05,22.96
2016-08-12,23.39
2016-08-19,23.29
2016-08-26,22.92
2016-09-02,22.955
2016-09-09,22.49
2016-09-16,22.1
2016-09-23,22.56
2016-09-30,22.51
2016-10-07,22.33
2016-10-14,21.94
2016-10-21,22.36
2016-10-28,22.09
2016-11-04,21.74
2016-11-11,20.77
2016-11-18,20.73
2016-11-25,20.97
2016-12-02,21.08
2016-12-09,21.51
2016-12-16,20.94
2016-12-23,20.62
2016-12-30,20.9
2017-01-06,21.2
2017-01-13,21.47
2017-01-20,21.35
2017-01-27,21.71
2017-02-03,21.99
2017-02-10,22.2
2017-02-17,22.25
2017-02-24,22.39
2017-03-03,22.325
2017-03-10,22.3725
2017-03-17,23.17
2017-03-24,23.17
2017-03-31,23.0
2017-04-07,22.97
2017-04-14,23.05
2017-04-21,23.01
2017-04-28,23.22
2017-05-05,23.25
2017-05-12,23.52
2017-05-19,23.65
2017-05-26,23.96
2017-06-02,24.15
2017-06-09,24.05
2017-06-16,23.82
2017-06-23,23.86
2017-06-30,23.96
2017-07-07,23.78
2017-07-14,24.52
2017-07-21,24.56
2017-07-28,24.71
