date,value
2015-01-02,38.77
2015-01-09,39.27
2015-01-16,39.49
2015-01-23,40.76
2015-01-30,39.02
2015-02-06,39.82
2015-02-13,40.67
2015-02-20,40.67
2015-02-27,40.74
2015-03-06,39.26
2015-03-13,38.3
2015-03-20,40.08
2015-03-27,39.46
2015-04-03,41.24
2015-04-10,42.88
2015-04-17,42.7
2015-04-24,43.845
2015-05-01,43.14
2015-05-08,42.87
2015-05-15,43.15
2015-05-22,42.74
2015-05-29,41.12
2015-06-05,40.11
2015-06-12,40.24
2015-06-19,40.06
2015-06-26,39.93
2015-07-03,39.78
2015-07-10,38.44
2015-07-17,38.76
2015-07-24,37.06
2015-07-31,37.12
2015-08-07,36.3
2015-08-14,35.53
2015-08-21,32.75
2015-08-28,33.78
2015-09-04,32.14
2015-09-11,33.46
2015-09-18,33.83
2015-09-25,32.4
2015-10-02,33.84
2015-10-09,35.94
2015-10-16,36.25
2015-10-23,36.29
2015-10-30,34.87
2015-11-06,35.3
2015-11-13,33.54
2015-11-20,35.12
2015-11-27,33.94
2015-12-04,33.88
2015-12-11,31.55
2015-12-18,32.65
2015-12-25,33.0
2016-01-01,32.19
2016-01-08,29.51
2016-01-15,28.455
2016-01-22,29.33
2016-01-29,30.57
2016-02-05,30.01
2016-02-12,29.32
2016-02-19,30.24
2016-02-26,30.06
2016-03-04,32.82
2016-03-11,33.14
2016-03-18,34.0285
2016-03-25,33.36
2016-04-01,34.15
2016-04-08,33.38
2016-04-15,34.57
2016-04-22,34.54
2016-04-29,34.39
2016-05-06,32.83
2016-05-13,32.27
2016-05-20,32.21
2016-05-27,33.08
2016-06-03,33.88
2016-06-10,33.53
2016-06-17,33.27
2016-06-24,32.64
2016-07-01,34.69
2016-07-08,34.5
2016-07-15,35.69
2016-07-22,35.97
2016-07-29,36.205
2016-08-05,36.62
2016-08-12,37.48
2016-08-19,37.6
2016-08-26,36.76
2016-09-02,37.41
2016-09-09,36.71
2016-09-16,36.51
2016-09-23,37.63
2016-09-30,37.45
2016-10-07,37.69
2016-10-14,36.88
2016-10-21,37.6
2016-10-28,36.93
2016-11-04,35.93
2016-11-11,34.55
2016-11-18,34.59
2016-11-25,35.25
2016-12-02,35.12
2016-12-09,36.17
2016-12-16,35.15
2016-12-23,34.28
2016-12-30,35.01
2017-01-06,35.94
2017-01-13,36.68
2017-01-20,36.42
2017-01-27,37.47
2017-02-03,37.75
2017-02-10,38.22
2017-02-17,38.39
2017-02-24,38.48
2017-03-03,38.19
2017-03-10,38.01
2017-03-17,39.49
2017-03-24,39.81
2017-03-31,39.39
2017-04-07,39.37
