date,value
2015-01-02,60.58
2015-01-09,59.64
2015-01-16,60.79
2015-01-23,61.36
2015-01-30,61.22
2015-02-06,62.5
2015-02-13,63.82
2015-02-20,65.03
2015-02-27,65.1
2015-03-06,63.81
2015-03-13,63.09
2015-03-20,65.66
2015-03-27,65.14
2015-04-03,65.19
2015-04-10,66.26
2015-04-17,65.97
2015-04-24,67.4
2015-05-01,67.25
2015-05-08,67.66
2015-05-15,68.42
2015-05-22,67.98
2015-05-29,66.64
2015-06-05,65.63
2015-06-12,66.2
2015-06-19,66.06
2015-06-26,65.74
2015-07-03,63.98
2015-07-10,64.3
2015-07-17,65.31
2015-07-24,63.89
2015-07-31,64.78
2015-08-07,64.61
2015-08-14,64.0
2015-08-21,59.92
2015-08-28,60.42
2015-09-04,57.61
2015-09-11,59.44
2015-09-18,58.82
2015-09-25,57.46
2015-10-02,58.48
2015-10-09,61.05
2015-10-16,61.26
2015-10-23,62.06
2015-10-30,61.11
2015-11-06,60.94
2015-11-13,59.29
2015-11-20,60.92
2015-11-27,60.7
2015-12-04,60.84
2015-12-11,58.17
2015-12-18,58.35
2015-12-25,59.43
2016-01-01,58.72
2016-01-08,54.93
2016-01-15,53.26
2016-01-22,54.48
2016-01-29,55.48
2016-02-05,53.81
2016-02-12,52.28
2016-02-19,53.92
2016-02-26,53.95
2016-03-04,56.36
2016-03-11,57.32
2016-03-18,57.5
2016-03-25,56.35
2016-04-01,56.55
2016-04-08,56.46
2016-04-15,58.3
2016-04-22,59.54
2016-04-29,58.43
2016-05-06,57.38
2016-05-13,56.97
2016-05-20,57.31
2016-05-27,58.66
2016-06-03,58.71
2016-06-10,57.15
2016-06-17,56.46
2016-06-24,53.66
2016-07-01,55.82
2016-07-08,55.25
2016-07-15,56.96
2016-07-22,57.04
2016-07-29,58.035
2016-08-05,57.76
2016-08-12,58.81
2016-08-19,58.79
2016-08-26,58.37
2016-09-02,59.43
2016-09-09,58.53
2016-09-16,57.49
2016-09-23,59.26
2016-09-30,59.13
2016-10-07,58.58
2016-10-14,57.67
2016-10-21,58.19
2016-10-28,57.79
2016-11-04,56.57
2016-11-11,57.05
2016-11-18,56.2
2016-11-25,56.79
2016-12-02,56.71
2016-12-09,58.72
2016-12-16,58.13
2016-12-23,57.68
2016-12-30,57.73
2017-01-06,59.05
2017-01-13,59.59
2017-01-20,59.39
2017-01-27,59.97
2017-02-03,60.14
2017-02-10,60.14
2017-02-17,60.5
2017-02-24,60.39
2017-03-03,60.93
2017-03-10,61.05
2017-03-17,62.23
2017-03-24,62.14
2017-03-31,62.29
2017-04-07,61.82
2017-04-14,61.59
2017-04-21,61.97
2017-04-28,63.8
2017-05-05,65.59
2017-05-12,65.24
2017-05-19,66.11
2017-05-26,66.05
2017-06-02,67.22
2017-06-09,66.31
2017-06-16,66.39
2017-06-23,65.14
2017-06-30,65.2
2017-07-07,64.84
2017-07-14,66.32
2017-07-21,66.55
2017-07-28,66.79
2017-08-04,67.46
2017-08-11,65.95
2017-08-18,66.19
2017-08-25,66.75
2017-09-01,66.99
2017-09-08,67.51
2017-09-15,68.06
2017-09-22,68.39
2017-09-29,68.48
2017-10-06,68.43
2017-10-13,69.57
2017-10-20,69.34
2017-10-27,69.18
2017-11-03,69.8
2017-11-10,69.28
2017-11-17,68.91
2017-11-24,70.34
2017-12-01,69.83
2017-12-08,69.84
2017-12-15,69.97
2017-12-22,70.11
2017-12-29,70.31
2018-01-05,72.35
2018-01-12,73.5
2018-01-19,74.13
2018-01-26,75.25
2018-02-02,72.55
2018-02-09,68.59
2018-02-16,71.42
2018-02-23,71.34
2018-03-02,69.42
2018-03-09,70.78
2018-03-16,70.47
2018-03-23,67.94
2018-03-30,69.68
2018-04-06,69.4
2018-04-13,70.79
2018-04-20,71.05
2018-04-27,70.97
2018-05-04,70.93
