date,value
2015-01-02,109.32
2015-01-09,110.04
2015-01-16,110.81
2015-01-23,111.65
2015-01-30,111.76
2015-02-06,111.45
2015-02-13,111.75
2015-02-20,111.5
2015-02-27,112.45
2015-03-06,110.72
2015-03-13,109.72
2015-03-20,111.69
2015-03-27,111.91
2015-04-03,112.85
2015-04-10,113.62
2015-04-17,113.37
2015-04-24,114.11
2015-05-01,112.83
2015-05-08,112.92
2015-05-15,112.85
2015-05-22,112.86
2015-05-29,112.37
2015-06-05,110.08
2015-06-12,109.45
2015-06-19,110.21
2015-06-26,109.93
2015-07-03,109.97
2015-07-10,109.88
2015-07-17,109.68
2015-07-24,108.98
2015-07-31,109.66
2015-08-07,108.47
2015-08-14,108.55
2015-08-21,107.09
2015-08-28,107.95
2015-09-04,107.64
2015-09-11,107.82
2015-09-18,109.11
2015-09-25,106.8
2015-10-02,106.83
2015-10-09,108.54
2015-10-16,109.54
2015-10-23,109.25
2015-10-30,108.5
2015-11-06,108.19
2015-11-13,107.88
2015-11-20,108.99
2015-11-27,108.68
2015-12-04,107.34
2015-12-11,105.29
2015-12-18,105.99
2015-12-25,105.96
2016-01-01,105.78
2016-01-08,105.35
2016-01-15,103.36
2016-01-22,104.55
2016-01-29,105.82
2016-02-05,105.13
2016-02-12,104.71
2016-02-19,106.02
2016-02-26,107.09
2016-03-04,108.19
2016-03-11,108.84
2016-03-18,110.0
2016-03-25,109.25
2016-04-01,110.21
2016-04-08,110.05
2016-04-15,111.35
2016-04-22,111.36
2016-04-29,111.63
2016-05-06,111.09
2016-05-13,111.85
2016-05-20,110.48
2016-05-27,111.04
2016-06-03,112.0
2016-06-10,112.41
2016-06-17,111.84
2016-06-24,112.31
2016-07-01,115.06
2016-07-08,116.36
2016-07-15,116.37
2016-07-22,116.2
2016-07-29,116.19
2016-08-05,115.61
2016-08-12,117.5
2016-08-19,117.42
2016-08-26,117.11
2016-09-02,116.92
2016-09-09,116.28
2016-09-16,115.35
2016-09-23,117.24
2016-09-30,117.21
2016-10-07,116.35
2016-10-14,115.54
2016-10-21,116.48
2016-10-28,114.57
2016-11-04,114.02
2016-11-11,108.71
2016-11-18,109.1
2016-11-25,109.31
2016-12-02,108.33
2016-12-09,109.43
2016-12-16,109.11
2016-12-23,110.09
2016-12-30,110.22
2017-01-06,112.09
2017-01-13,112.16
2017-01-20,111.7
2017-01-27,111.97
2017-02-03,112.69
2017-02-10,113.01
2017-02-17,112.95
2017-02-24,113.83
2017-03-03,113.15
2017-03-10,111.92
2017-03-17,113.04
2017-03-24,113.74
2017-03-31,113.7
2017-04-07,113.65
2017-04-14,114.11
2017-04-21,114.54
2017-04-28,115.2
2017-05-05,114.47
2017-05-12,114.97
2017-05-19,114.92
2017-05-26,115.49
2017-06-02,116.01
2017-06-09,115.53
2017-06-16,115.57
2017-06-23,115.3
2017-06-30,114.36
2017-07-07,112.9
2017-07-14,114.48
2017-07-21,115.29
2017-07-28,115.17
2017-08-04,115.23
2017-08-11,114.97
2017-08-18,115.55
2017-08-25,116.38
2017-09-01,116.53
2017-09-08,117.26
2017-09-15,117.06
2017-09-22,116.44
2017-09-29,116.42
2017-10-06,115.69
2017-10-13,116.42
2017-10-20,116.04
2017-10-27,115.8
2017-11-03,115.42
2017-11-10,114.45
2017-11-17,115.24
2017-11-24,115.82
2017-12-01,115.42
2017-12-08,115.53
2017-12-15,116.05
2017-12-22,115.74
2017-12-29,116.1
2018-01-05,116.72
2018-01-12,116.13
2018-01-19,115.57
2018-01-26,116.02
2018-02-02,114.11
2018-02-09,111.86
2018-02-16,112.85
2018-02-23,112.68
2018-03-02,112.17
2018-03-09,112.28
2018-03-16,112.23
2018-03-23,111.09
2018-03-30,112.82
2018-04-06,112.57
2018-04-13,112.41
2018-04-20,111.15
2018-04-27,110.49
2018-05-04,108.63
2018-05-11,109.17
2018-05-18,107.91
2018-05-25,109.62
2018-06-01,108.0
2018-06-08,107.69
2018-06-15,106.78
2018-06-22,107.4
2018-06-29,106.77
2018-07-06,108.26
2018-07-13,109.07
2018-07-20,108.56
2018-07-27,109.57
2018-08-03,108.31
2018-08-10,106.37
2018-08-17,107.02
2018-08-24,107.4
2018-08-31,106.1
2018-09-07,105.6
2018-09-14,106.69
2018-09-21,107.24
2018-09-28,107.81
2018-10-05,105.84
2018-10-12,105.81
