date,value
2015-07-31,24.84
2015-08-07,24.84
2015-08-14,24.84
2015-08-21,24.84
2015-08-28,24.84
2015-09-04,24.34
2015-09-11,24.34
2015-09-18,24.48
2015-09-25,24.06
2015-10-02,24.06
2015-10-09,24.19
2015-10-16,24.19
2015-10-23,24.3
2015-10-30,24.18
2015-11-06,24.38
2015-11-13,24.44
2015-11-20,24.37
2015-11-27,24.33
2015-12-04,24.33
2015-12-11,24.33
2015-12-18,23.78
2015-12-25,23.79
2016-01-01,23.79
2016-01-08,23.79
2016-01-15,22.73
2016-01-22,22.75
2016-01-29,22.75
2016-02-05,22.69
2016-02-12,22.61
2016-02-19,22.61
2016-02-26,22.61
2016-03-04,23.72
2016-03-11,23.72
2016-03-18,23.72
2016-03-25,24.02
2016-04-01,24.02
2016-04-08,23.89
2016-04-15,23.89
2016-04-22,23.89
2016-04-29,24.24
2016-05-06,24.18
2016-05-13,24.19
2016-05-20,24.19
2016-05-27,24.19
2016-06-03,24.28
2016-06-10,24.49
2016-06-17,24.08
2016-06-24,24.43
2016-07-01,24.33
2016-07-08,24.33
2016-07-15,24.98
2016-07-22,24.98
2016-07-29,24.99
2016-08-05,24.74
2016-08-12,24.74
2016-08-19,25.31
2016-08-26,25.26
2016-09-02,25.26
2016-09-09,25.22
2016-09-16,24.95
2016-09-23,25.37
2016-09-30,25.23
2016-10-07,25.22
2016-10-14,25.17
2016-10-21,25.17
2016-10-28,25.1
2016-11-04,24.93
2016-11-11,24.47
2016-11-18,24.75
2016-11-25,24.88
2016-12-02,24.73
2016-12-09,25.03
2016-12-16,25.13
2016-12-23,25.42
2016-12-30,25.18
2017-01-06,25.42
2017-01-13,25.48
2017-01-20,25.5
2017-01-27,25.56
2017-02-03,25.67
2017-02-10,25.66
2017-02-17,25.9
2017-02-24,25.81
2017-03-03,25.93
2017-03-10,25.83
2017-03-17,25.95
2017-03-24,25.98
2017-03-31,25.92
2017-04-07,25.8
2017-04-14,25.75
2017-04-21,25.75
2017-04-28,26.05
2017-05-05,25.98
2017-05-12,25.93
2017-05-19,25.87
2017-05-26,26.03
2017-06-02,26.1
2017-06-09,26.02
2017-06-16,26.04
2017-06-23,25.8
2017-06-30,25.89
2017-07-07,25.72
2017-07-14,25.86
2017-07-21,26.0
2017-07-28,26.02
2017-08-04,26.0
2017-08-11,25.84
2017-08-18,25.98
2017-08-25,26.02
2017-09-01,26.09
2017-09-08,26.08
2017-09-15,26.12
2017-09-22,26.23
2017-09-29,26.23
2017-10-06,26.37
2017-10-13,26.35
2017-10-20,26.43
2017-10-27,26.42
2017-11-03,26.34
2017-11-10,26.04
2017-11-17,26.2
2017-11-24,26.3
2017-12-01,26.31
2017-12-08,26.45
2017-12-15,26.49
2017-12-22,26.49
2017-12-29,26.54
2018-01-05,26.76
2018-01-12,26.76
2018-01-19,26.87
2018-01-26,26.92
2018-02-02,26.9
2018-02-09,26.46
2018-02-16,26.56
2018-02-23,26.47
2018-03-02,26.36
2018-03-09,26.51
2018-03-16,26.56
2018-03-23,26.26
2018-03-30,26.33
2018-04-06,26.55
2018-04-13,26.57
2018-04-20,26.38
2018-04-27,26.38
2018-05-04,25.85
2018-05-11,26.06
2018-05-18,26.01
2018-05-25,26.1
2018-06-01,25.6
2018-06-08,25.68
2018-06-15,25.45
2018-06-22,25.56
2018-06-29,25.34
2018-07-06,25.31
2018-07-13,25.72
2018-07-20,25.75
2018-07-27,25.97
2018-08-03,25.93
2018-08-10,25.59
2018-08-17,25.28
2018-08-24,25.25
2018-08-31,25.14
2018-09-07,24.94
2018-09-14,25.38
2018-09-21,25.74
2018-09-28,25.9
2018-10-05,25.58
2018-10-12,25.44
2018-10-19,25.5
2018-10-26,25.44
2018-11-02,25.32
2018-11-09,25.39
2018-11-16,24.99
2018-11-23,24.84
2018-11-30,24.8
2018-12-07,24.54
2018-12-14,24.74
2018-12-21,24.47
2018-12-28,24.21
2019-01-04,24.48
2019-01-11,24.64
2019-01-18,25.07
2019-01-25,25.21
2019-02-01,25.4
2019-02-08,25.03
2019-02-15,25.22
2019-02-22,25.26
2019-03-01,25.38
2019-03-08,25.06
2019-03-15,25.24
2019-03-22,25.05
2019-03-29,25.11
2019-04-05,25.29
2019-04-12,25.24
2019-04-19,25.29
2019-04-26,25.15
2019-05-03,25.24
2019-05-10,25.04
2019-05-17,24.78
2019-05-24,24.74
2019-05-31,24.52
2019-06-07,24.82
2019-06-14,24.73
2019-06-21,25.01
2019-06-28,25.02
2019-07-05,25.14
2019-07-12,25.18
2019-07-19,25.12
2019-07-26,25.3
2019-08-02,24.84
2019-08-09,24.64
2019-08-16,24.24
2019-08-23,24.23
2019-08-30,24.34
2019-09-06,24.47
2019-09-13,24.57
2019-09-20,24.6
2019-09-27,24.28
2019-10-04,24.18
2019-10-11,24.38
2019-10-18,24.49
2019-10-25,24.62
2019-11-01,24.62
2019-11-08,24.64
2019-11-15,24.54
2019-11-22,24.32
2019-11-29,24.35
2019-12-06,24.48
2019-12-13,24.81
2019-12-20,25.07
2019-12-27,25.12
2020-01-03,24.96
