date,value
2015-01-02,61.79
2015-01-09,60.9
2015-01-16,60.35
2015-01-23,58.12
2015-01-30,56.94
2015-02-06,57.03
2015-02-13,58.68
2015-02-20,58.67
2015-02-27,57.92
2015-03-06,56.56
2015-03-13,55.26
2015-03-20,56.69
2015-03-27,56.54
2015-04-03,55.54
2015-04-10,56.85
2015-04-17,58.43
2015-04-24,57.65
2015-05-01,59.33
2015-05-08,58.79
2015-05-15,60.19
2015-05-22,61.78
2015-05-29,60.31
2015-06-05,59.21
2015-06-12,59.63
2015-06-19,58.11
2015-06-26,56.58
2015-07-03,55.86
2015-07-10,53.83
2015-07-17,52.59
2015-07-24,50.68
2015-07-31,51.75
2015-08-07,49.19
2015-08-14,49.6
2015-08-21,47.96
2015-08-28,48.05
2015-09-04,45.82
2015-09-11,46.04
2015-09-18,45.11
2015-09-25,43.78
2015-10-02,44.19
2015-10-09,47.15
2015-10-16,45.27
2015-10-23,48.18
2015-10-30,47.23
2015-11-06,49.23
2015-11-13,47.69
2015-11-20,50.16
2015-11-27,50.29
2015-12-04,49.17
2015-12-11,45.48
2015-12-18,44.59
2015-12-25,48.26
2016-01-01,47.83
2016-01-08,44.1
2016-01-15,43.09
2016-01-22,43.17
2016-01-29,45.98
2016-02-05,46.91
2016-02-12,46.02
2016-02-19,48.06
2016-02-26,49.38
2016-03-04,51.26
2016-03-11,51.26
2016-03-18,54.64
2016-03-25,54.39
2016-04-01,54.75
2016-04-08,53.84
2016-04-15,55.32
2016-04-22,55.47
2016-04-29,54.63
2016-05-06,53.31
2016-05-13,51.81
2016-05-20,50.65
2016-05-27,52.2
2016-06-03,52.3
2016-06-10,52.73
2016-06-17,52.44
2016-06-24,50.83
2016-07-01,52.2
2016-07-08,53.44
2016-07-15,56.23
2016-07-22,55.81
2016-07-29,55.9
2016-08-05,53.79
2016-08-12,53.97
2016-08-19,52.98
2016-08-26,53.73
2016-09-02,52.91
2016-09-09,50.86
2016-09-16,51.09
2016-09-23,51.92
2016-09-30,54.51
2016-10-07,52.7
2016-10-14,49.88
2016-10-21,50.11
2016-10-28,50.09
2016-11-04,49.41
2016-11-11,55.5
2016-11-18,54.2
2016-11-25,55.24
2016-12-02,56.35
2016-12-09,57.49
2016-12-16,55.73
2016-12-23,56.8
2016-12-30,55.75
2017-01-06,56.4
2017-01-13,57.12
2017-01-20,58.83
2017-01-27,60.14
2017-02-03,59.54
2017-02-10,63.26
2017-02-17,61.89
2017-02-24,60.48
2017-03-03,60.37
2017-03-10,59.52
2017-03-17,60.6
2017-03-24,58.57
2017-03-31,59.86
2017-04-07,59.36
2017-04-14,57.87
2017-04-21,59.0
2017-04-28,60.28
2017-05-05,58.94
2017-05-12,57.44
2017-05-19,59.4
2017-05-26,58.92
2017-06-02,59.34
2017-06-09,60.71
2017-06-16,60.68
2017-06-23,59.08
2017-06-30,59.62
2017-07-07,59.47
2017-07-14,60.18
2017-07-21,60.04
2017-07-28,59.53
2017-08-04,61.15
2017-08-11,58.89
2017-08-18,58.0
2017-08-25,58.56
2017-09-01,58.81
2017-09-08,60.4
2017-09-15,62.35
2017-09-22,63.44
2017-09-29,62.84
2017-10-06,63.7
2017-10-13,63.97
2017-10-20,65.78
2017-10-27,67.38
2017-11-03,64.1
2017-11-10,61.61
2017-11-17,59.85
2017-11-24,61.63
2017-12-01,64.69
2017-12-08,66.55
2017-12-15,67.26
2017-12-22,69.66
2017-12-29,69.69
2018-01-05,72.43
2018-01-12,73.91
2018-01-19,73.14
2018-01-26,74.05
2018-02-02,70.57
2018-02-09,69.07
2018-02-16,72.99
2018-02-23,72.19
2018-03-02,69.36
2018-03-09,72.27
2018-03-16,72.38
2018-03-23,67.36
2018-03-30,68.3
2018-04-06,66.31
2018-04-13,68.42
2018-04-20,70.2
2018-04-27,67.82
2018-05-04,68.42
2018-05-11,72.0
2018-05-18,73.14
2018-05-25,72.49
2018-06-01,71.37
2018-06-08,73.15
2018-06-15,72.28
2018-06-22,69.87
2018-06-29,69.14
2018-07-06,69.28
2018-07-13,70.58
2018-07-20,69.28
2018-07-27,71.26
2018-08-03,71.48
2018-08-10,73.86
2018-08-17,74.86
2018-08-24,75.67
2018-08-31,76.73
2018-09-07,75.79
2018-09-14,77.54
2018-09-21,78.01
2018-09-28,76.58
2018-10-05,78.06
2018-10-12,71.92
2018-10-19,72.27
2018-10-26,66.25
2018-11-02,69.62
2018-11-09,68.49
2018-11-16,69.62
2018-11-23,65.81
2018-11-30,67.52
2018-12-07,62.95
2018-12-14,60.44
2018-12-21,56.87
2018-12-28,59.13
2019-01-04,59.72
2019-01-11,62.02
2019-01-18,63.68
2019-01-25,63.94
2019-02-01,66.65
2019-02-08,66.74
2019-02-15,68.31
2019-02-22,68.55
2019-03-01,68.4
2019-03-08,66.6
2019-03-15,67.33
2019-03-22,66.86
2019-03-29,68.47
2019-04-05,71.14
2019-04-12,72.1
2019-04-19,72.51
2019-04-26,71.72
2019-05-03,71.1
2019-05-10,66.93
2019-05-17,64.82
2019-05-24,62.53
2019-05-31,60.24
2019-06-07,63.68
2019-06-14,62.77
2019-06-21,65.63
2019-06-28,66.72
2019-07-05,65.4
2019-07-12,65.69
2019-07-19,65.29
2019-07-26,66.66
2019-08-02,61.66
2019-08-09,59.48
2019-08-16,57.92
2019-08-23,57.0
2019-08-30,59.59
2019-09-06,62.25
2019-09-13,65.55
2019-09-20,64.95
2019-09-27,66.4
2019-10-04,65.19
2019-10-11,67.04
2019-10-18,68.65
2019-10-25,70.82
2019-11-01,71.79
2019-11-08,73.88
2019-11-15,73.53
2019-11-22,73.66
2019-11-29,73.86
2019-12-06,75.09
2019-12-13,75.98
2019-12-20,76.27
2019-12-27,76.51
2020-01-03,76.42
