date,value
2016-01-08,11.04
2016-01-15,10.91
2016-01-22,11.35
2016-01-29,11.79
2016-02-05,12.18
2016-02-12,12.15
2016-02-19,12.77
2016-02-26,12.69
2016-03-04,13.56
2016-03-11,13.51
2016-03-18,13.84
2016-03-25,13.34
2016-04-01,14.05
2016-04-08,13.51
2016-04-15,13.85
2016-04-22,13.93
2016-04-29,8.56
2016-05-06,8.31
2016-05-13,7.95
2016-05-20,7.84
2016-05-27,7.75
2016-06-03,7.77
2016-06-10,8.16
2016-06-17,8.41
2016-06-24,8.3
2016-07-01,8.67
2016-07-08,8.66
2016-07-15,8.99
2016-07-22,8.86
2016-07-29,8.68
2016-08-05,8.86
2016-08-12,8.86
2016-08-19,8.55
2016-08-26,8.35
2016-09-02,8.54
2016-09-09,8.33
2016-09-16,8.21
2016-09-23,8.54
2016-09-30,8.19
2016-10-07,8.3
2016-10-14,8.39
2016-10-21,8.73
2016-10-28,8.57
2016-11-04,8.57
2016-11-11,7.88
2016-11-18,7.91
2016-11-25,8.13
2016-12-02,8.25
2016-12-09,8.48
2016-12-16,8.39
2016-12-23,7.89
2016-12-30,8.21
2017-01-06,8.21
2017-01-13,8.65
2017-01-20,8.96
2017-01-27,8.92
2017-02-03,9.41
2017-02-10,9.65
2017-02-17,9.81
2017-02-24,9.62
2017-03-03,9.72
2017-03-10,9.76
2017-03-17,10.0
2017-03-24,10.17
2017-03-31,10.39
2017-04-07,10.47
2017-04-14,10.51
2017-04-21,10.47
2017-04-28,9.91
2017-05-05,10.11
2017-05-12,9.88
2017-05-19,9.38
2017-05-26,9.32
2017-06-02,9.46
2017-06-09,9.52
2017-06-16,9.49
2017-06-23,9.41
2017-06-30,9.43
2017-07-07,9.91
2017-07-14,10.15
2017-07-21,10.45
2017-07-28,10.29
2017-08-04,9.8
2017-08-11,9.71
2017-08-18,10.03
2017-08-25,10.63
2017-09-01,10.57
2017-09-08,10.41
2017-09-15,10.23
2017-09-22,10.21
2017-09-29,10.22
2017-10-06,10.8
2017-10-13,10.67
2017-10-20,10.87
2017-10-27,10.54
2017-11-03,10.82
2017-11-10,10.3
2017-11-17,10.26
2017-11-24,9.96
2017-12-01,10.05
2017-12-08,9.81
2017-12-15,10.15
2017-12-22,10.67
2017-12-29,11.17
2018-01-05,11.28
2018-01-12,11.28
2018-01-19,11.58
2018-01-26,11.99
2018-02-02,11.52
2018-02-09,10.98
2018-02-16,11.39
2018-02-23,11.7
2018-03-02,11.41
2018-03-09,11.52
2018-03-16,11.41
2018-03-23,11.08
2018-03-30,11.62
2018-04-06,11.86
2018-04-13,11.96
2018-04-20,11.65
2018-04-27,11.6
2018-05-04,10.69
2018-05-11,10.67
2018-05-18,10.21
2018-05-25,10.25
2018-06-01,9.59
2018-06-08,9.51
2018-06-15,9.25
2018-06-22,9.3
2018-06-29,8.81
2018-07-06,8.53
2018-07-13,8.56
2018-07-20,8.55
2018-07-27,8.66
2018-08-03,8.61
2018-08-10,7.96
2018-08-17,7.93
2018-08-24,7.9
2018-08-31,7.42
2018-09-07,7.15
2018-09-14,7.55
2018-09-21,8.05
2018-09-28,7.73
2018-10-05,7.57
2018-10-12,7.48
2018-10-19,7.73
2018-10-26,7.97
2018-11-02,8.41
2018-11-09,7.93
2018-11-16,8.45
2018-11-23,8.3
2018-11-30,8.68
2018-12-07,8.69
2018-12-14,8.87
2018-12-21,8.59
2018-12-28,8.85
2019-01-04,9.54
2019-01-11,9.93
2019-01-18,10.25
2019-01-25,10.12
2019-02-01,10.35
2019-02-08,10.2
2019-02-15,10.14
2019-02-22,10.48
2019-03-01,8.62
2019-03-08,8.76
2019-03-15,9.25
2019-03-22,8.64
2019-03-29,8.93
2019-04-05,8.86
2019-04-12,8.9
2019-04-19,8.92
2019-04-26,8.84
2019-05-03,8.61
2019-05-10,7.99
2019-05-17,7.79
2019-05-24,7.91
2019-05-31,7.99
2019-06-07,8.2
2019-06-14,8.32
2019-06-21,8.38
2019-06-28,8.87
2019-07-05,8.53
2019-07-12,8.41
2019-07-19,8.44
2019-07-26,8.4
2019-08-02,8.13
2019-08-09,8.37
2019-08-16,8.17
2019-08-23,8.04
2019-08-30,8.18
2019-09-06,8.42
2019-09-13,8.96
2019-09-20,9.06
2019-09-27,8.98
2019-10-04,9.54
2019-10-11,9.71
2019-10-18,9.72
2019-10-25,9.45
2019-11-01,9.61
2019-11-08,9.68
2019-11-15,9.89
2019-11-22,9.78
2019-11-29,9.67
2019-12-06,10.22
2019-12-13,10.91
2019-12-20,10.87
2019-12-27,10.95
2020-01-03,11.05
