date,value
2015-01-02,39.63
2015-01-09,40.26
2015-01-16,40.72
2015-01-23,39.1
2015-01-30,38.55
2015-02-06,39.459
2015-02-13,39.8501
2015-02-20,39.96
2015-02-27,40.95
2015-03-06,39.95
2015-03-13,39.714
2015-03-20,40.97
2015-03-27,40.93
2015-04-03,40.25
2015-04-10,40.6335
2015-04-17,41.3
2015-04-24,40.297
2015-05-01,40.38
2015-05-08,39.712
2015-05-15,39.76
2015-05-22,39.05
2015-05-29,38.12
2015-06-05,38.06
2015-06-12,37.67
2015-06-19,36.56
2015-06-26,35.07
2015-07-03,34.92
2015-07-10,34.48
2015-07-17,34.07
2015-07-24,34.46
2015-07-31,34.86
2015-08-07,34.7
2015-08-14,33.38
2015-08-21,34.04
2015-08-28,32.83
2015-09-04,31.15
2015-09-11,31.89
2015-09-18,32.6
2015-09-25,32.3999
2015-10-02,32.27
2015-10-09,33.78
2015-10-16,35.486
2015-10-23,36.3
2015-10-30,36.335
2015-11-06,35.54
2015-11-13,34.93
2015-11-20,35.34
2015-11-27,35.5
2015-12-04,36.89
2015-12-11,36.13
2015-12-18,36.68
2015-12-25,37.21
2016-01-01,37.48
2016-01-08,34.89
2016-01-15,34.456
2016-01-22,34.97
2016-01-29,35.07
2016-02-05,35.3411
2016-02-12,34.54
2016-02-19,35.82
2016-02-26,36.47
2016-03-04,38.45
2016-03-11,38.72
2016-03-18,39.46
2016-03-25,39.35
2016-04-01,40.94
2016-04-08,40.4199
2016-04-15,41.68
2016-04-22,41.48
2016-04-29,41.82
2016-05-06,41.79
2016-05-13,41.22
2016-05-20,41.29
2016-05-27,41.3339
2016-06-03,43.15
2016-06-10,43.22
2016-06-17,42.91
2016-06-24,41.7201
2016-07-01,43.4
2016-07-08,44.975
2016-07-15,44.25
2016-07-22,44.45
2016-07-29,46.52
2016-08-05,46.16
2016-08-12,46.49
2016-08-19,47.03
2016-08-26,46.73
2016-09-02,47.57
2016-09-09,47.64
2016-09-16,45.93
2016-09-23,45.85
2016-09-30,46.851
2016-10-07,44.51
2016-10-14,43.75
2016-10-21,43.09
2016-10-28,42.97
2016-11-04,42.42
2016-11-11,41.04
2016-11-18,41.67
2016-11-25,42.22
2016-12-02,42.63
2016-12-09,42.595
2016-12-16,40.61
2016-12-23,39.48
2016-12-30,39.73
2017-01-06,40.69
2017-01-13,41.97
2017-01-20,42.27
2017-01-27,43.44
2017-02-03,43.65
2017-02-10,42.92
2017-02-17,42.61
2017-02-24,42.42
2017-03-03,42.1
2017-03-10,41.43
2017-03-17,41.87
2017-03-24,41.44
2017-03-31,42.22
2017-04-07,42.15
2017-04-14,42.31
2017-04-21,42.44
2017-04-28,42.58
2017-05-05,43.07
2017-05-12,43.1
2017-05-19,43.22
2017-05-26,44.3
2017-06-02,45.175
2017-06-09,45.16
2017-06-16,46.37
2017-06-23,45.61
2017-06-30,46.26
2017-07-07,46.19
2017-07-14,46.73
2017-07-21,47.21
2017-07-28,47.35
2017-08-04,47.49
2017-08-11,46.66
2017-08-18,47.5
2017-08-25,46.97
2017-09-01,46.27
2017-09-08,47.05
2017-09-15,46.7
2017-09-22,47.35
2017-09-29,47.12
2017-10-06,46.3
2017-10-13,47.68
2017-10-20,46.27
2017-10-27,45.67
2017-11-03,45.52
2017-11-10,45.035
2017-11-17,44.9086
2017-11-24,45.63
2017-12-01,46.05
2017-12-08,46.03
2017-12-15,47.72
2017-12-22,47.255
2017-12-29,47.47
2018-01-05,48.48
2018-01-12,47.68
2018-01-19,48.31
2018-01-26,49.0
2018-02-02,49.01
2018-02-09,46.7
2018-02-16,48.01
2018-02-23,48.84
2018-03-02,48.68
2018-03-09,49.58
2018-03-16,49.32
2018-03-23,49.48
2018-03-30,48.8
2018-04-06,48.93
2018-04-13,50.11
2018-04-20,47.92
2018-04-27,47.95
2018-05-04,48.61
2018-05-11,48.73
2018-05-18,47.85
2018-05-25,47.95
2018-06-01,48.73
2018-06-08,50.71
2018-06-15,50.51
2018-06-22,49.73
2018-06-29,48.35
2018-07-06,49.41
2018-07-13,48.25
2018-07-20,48.27
2018-07-27,48.3
2018-08-03,47.45
2018-08-10,46.91
2018-08-17,47.68
2018-08-24,48.89
2018-08-31,49.05
2018-09-07,47.035
2018-09-14,48.07
2018-09-21,49.37
2018-09-28,48.6
2018-10-05,46.51
2018-10-12,45.42
2018-10-19,45.76
2018-10-26,43.95
2018-11-02,46.08
2018-11-09,47.5
2018-11-16,48.07
2018-11-23,46.6823
2018-11-30,48.285
2018-12-07,47.43
2018-12-14,46.71
2018-12-21,44.94
2018-12-28,46.03
2019-01-04,46.45
2019-01-11,47.73
2019-01-18,48.19
2019-01-25,49.03
2019-02-01,48.37
2019-02-08,48.46
2019-02-15,49.77
2019-02-22,49.75
2019-03-01,49.9
2019-03-08,50.08
2019-03-15,50.53
2019-03-22,50.58
2019-03-29,52.29
2019-04-05,51.32
2019-04-12,51.57
2019-04-19,51.81
2019-04-26,51.99
2019-05-03,52.0
2019-05-10,51.95
2019-05-17,51.56
2019-05-24,52.1
2019-05-31,51.1
2019-06-07,51.71
2019-06-14,51.17
2019-06-21,51.62
2019-06-28,53.38
2019-07-05,53.54
2019-07-12,54.64
2019-07-19,55.3654
2019-07-26,54.82
2019-08-02,54.14
2019-08-09,53.55
2019-08-16,52.13
2019-08-23,51.25
2019-08-30,51.57
2019-09-06,54.91
2019-09-13,52.8
2019-09-20,51.66
2019-09-27,51.68
2019-10-04,52.53
2019-10-11,52.72
2019-10-18,53.805
2019-10-25,52.29
2019-11-01,52.73
2019-11-08,52.56
2019-11-15,53.33
2019-11-22,53.72
2019-11-29,55.88
2019-12-06,56.95
2019-12-13,56.57
2019-12-20,56.61
2019-12-27,57.96
2020-01-03,57.37
