date,value
2015-01-02,38.11
2015-01-09,38.94
2015-01-16,40.21
2015-01-23,40.35
2015-01-30,40.83
2015-02-06,40.98
2015-02-13,41.66
2015-02-20,42.03
2015-02-27,41.75
2015-03-06,41.41
2015-03-13,41.25
2015-03-20,41.31
2015-03-27,41.53
2015-04-03,42.87
2015-04-10,42.93
2015-04-17,41.9
2015-04-24,42.03
2015-05-01,40.29
2015-05-08,40.86
2015-05-15,41.81
2015-05-22,41.06
2015-05-29,39.65
2015-06-05,38.57
2015-06-12,38.57
2015-06-19,39.46
2015-06-26,38.91
2015-07-03,39.15
2015-07-10,38.15
2015-07-17,38.96
2015-07-24,38.87
2015-07-31,38.8
2015-08-07,38.08
2015-08-14,37.0
2015-08-21,34.64
2015-08-28,35.13
2015-09-04,34.28
2015-09-11,34.7
2015-09-18,35.15
2015-09-25,34.1
2015-10-02,34.93
2015-10-09,36.75
2015-10-16,36.36
2015-10-23,37.04
2015-10-30,35.21
2015-11-06,35.05
2015-11-13,33.53
2015-11-20,34.52
2015-11-27,34.24
2015-12-04,34.77
2015-12-11,32.51
2015-12-18,33.255
2015-12-25,34.5
2016-01-01,33.74
2016-01-08,31.33
2016-01-15,30.1
2016-01-22,29.86
2016-01-29,32.29
2016-02-05,32.17
2016-02-12,32.49
2016-02-19,32.81
2016-02-26,32.68
2016-03-04,34.32
2016-03-11,35.51
2016-03-18,36.56
2016-03-25,36.0
2016-04-01,36.6
2016-04-08,36.02
2016-04-15,36.44
2016-04-22,35.62
2016-04-29,35.03
2016-05-06,34.41
2016-05-13,37.07
2016-05-20,36.5
2016-05-27,37.1
2016-06-03,38.49
2016-06-10,37.96
2016-06-17,38.72
2016-06-24,37.93
2016-07-01,39.405
2016-07-08,39.17
2016-07-15,40.36
2016-07-22,40.35
2016-07-29,39.62
2016-08-05,39.7
2016-08-12,39.8
2016-08-19,40.12
2016-08-26,39.07
2016-09-02,39.43
2016-09-09,36.49
2016-09-16,36.79
2016-09-23,37.17
2016-09-30,37.26
2016-10-07,36.5
