date,value
2015-01-02,43.84
2015-01-09,44.34
2015-01-16,44.46
2015-01-23,44.28
2015-01-30,44.15
2015-02-06,45.59
2015-02-13,45.92
2015-02-20,46.32
2015-02-27,46.36
2015-03-06,45.33
2015-03-13,44.44
2015-03-20,46.37
2015-03-27,46.03
2015-04-03,45.75
2015-04-10,47.51
2015-04-17,46.93
2015-04-24,48.05
2015-05-01,47.6
2015-05-08,46.84
2015-05-15,47.95
2015-05-22,46.84
2015-05-29,46.03
2015-06-05,44.59
2015-06-12,45.1
2015-06-19,45.64
2015-06-26,44.07
2015-07-03,44.0
2015-07-10,42.66
2015-07-17,43.42
2015-07-24,42.14
2015-07-31,42.82
2015-08-07,41.87
2015-08-14,40.78
2015-08-21,38.2
2015-08-28,38.64
2015-09-04,36.0
2015-09-11,37.68
2015-09-18,38.06
2015-09-25,36.82
2015-10-02,37.43
2015-10-09,39.78
2015-10-16,40.19
2015-10-23,40.72
2015-10-30,39.07
2015-11-06,38.82
2015-11-13,37.74
2015-11-20,39.63
2015-11-27,38.69
2015-12-04,39.49
2015-12-11,37.39
2015-12-18,38.01
2015-12-25,38.25
2016-01-01,38.39
2016-01-08,34.81
2016-01-15,33.51
2016-01-22,34.54
2016-01-29,35.38
2016-02-05,34.51
2016-02-12,34.23
2016-02-19,35.38
2016-02-26,35.15
2016-03-04,38.31
2016-03-11,39.15
2016-03-18,39.62
2016-03-25,38.72
2016-04-01,38.95
2016-04-08,37.96
2016-04-15,39.99
2016-04-22,40.58
2016-04-29,39.95
2016-05-06,38.93
2016-05-13,38.48
2016-05-20,38.57
2016-05-27,39.09
2016-06-03,39.5
2016-06-10,39.24
2016-06-17,38.46
2016-06-24,37.79
2016-07-01,39.31
2016-07-08,39.58
2016-07-15,40.82
2016-07-22,40.98
2016-07-29,41.73
2016-08-05,41.61
2016-08-12,41.78
2016-08-19,41.6
2016-08-26,41.37
2016-09-02,41.24
2016-09-09,40.8
2016-09-16,40.74
2016-09-23,41.74
2016-09-30,42.28
2016-10-07,42.13
2016-10-14,41.61
2016-10-21,41.7
2016-10-28,40.88
2016-11-04,40.3
2016-11-11,40.7
2016-11-18,40.21
2016-11-25,41.39
2016-12-02,41.18
2016-12-09,41.77
2016-12-16,40.53
2016-12-23,39.38
2016-12-30,39.57
2017-01-06,40.99
2017-01-13,42.0
2017-01-20,41.96
2017-01-27,42.33
2017-02-03,42.66
2017-02-10,43.12
2017-02-17,43.66
2017-02-24,43.55
2017-03-03,43.45
2017-03-10,43.66
2017-03-17,44.46
2017-03-24,44.13
2017-03-31,44.69
2017-04-07,44.39
2017-04-14,44.5
2017-04-21,44.24
2017-04-28,44.82
2017-05-05,44.51
2017-05-12,44.38
2017-05-19,44.27
2017-05-26,44.42
2017-06-02,44.82
2017-06-09,44.73
2017-06-16,45.22
2017-06-23,44.04
2017-06-30,44.48
2017-07-07,44.06
2017-07-14,45.58
2017-07-21,45.82
2017-07-28,46.28
2017-08-04,46.41
2017-08-11,45.75
2017-08-18,46.15
2017-08-25,46.5
2017-09-01,46.91
2017-09-08,46.8
2017-09-15,46.93
2017-09-22,46.71
2017-09-29,46.24
2017-10-06,46.24
2017-10-13,47.34
2017-10-20,47.39
2017-10-27,46.96
2017-11-03,47.09
2017-11-10,47.75
2017-11-17,47.05
2017-11-24,48.0
2017-12-01,47.6
2017-12-08,47.15
2017-12-15,47.83
2017-12-22,47.3
2017-12-29,47.8
2018-01-05,49.01
2018-01-12,49.2
2018-01-19,49.39
2018-01-26,50.31
2018-02-02,48.74
2018-02-09,45.88
2018-02-16,47.78
2018-02-23,48.31
2018-03-02,47.55
2018-03-09,48.57
2018-03-16,47.78
2018-03-23,45.93
2018-03-30,46.46
2018-04-06,46.0
2018-04-13,47.28
2018-04-20,46.89
2018-04-27,47.17
2018-05-04,47.63
2018-05-11,48.27
2018-05-18,47.71
2018-05-25,47.71
2018-06-01,47.66
2018-06-08,48.05
2018-06-15,47.04
2018-06-22,46.39
2018-06-29,46.01
2018-07-06,46.38
2018-07-13,46.34
2018-07-20,46.4
2018-07-27,46.63
2018-08-03,46.06
2018-08-10,45.9
2018-08-17,46.4
2018-08-24,45.88
2018-08-31,45.99
2018-09-07,43.93
2018-09-14,44.74
2018-09-21,45.73
2018-09-28,45.42
2018-10-05,43.91
2018-10-12,42.3
2018-10-19,42.52
2018-10-26,40.9
2018-11-02,42.74
2018-11-09,42.78
2018-11-16,43.14
2018-11-23,42.37
2018-11-30,43.11
2018-12-07,42.34
2018-12-14,42.22
2018-12-21,39.62
2018-12-28,40.79
2019-01-04,41.37
2019-01-11,42.63
2019-01-18,43.41
2019-01-25,43.57
2019-02-01,43.64
2019-02-08,44.18
2019-02-15,44.81
2019-02-22,45.53
2019-03-01,45.63
2019-03-08,45.04
2019-03-15,45.58
2019-03-22,45.1
2019-03-29,45.9
2019-04-05,46.71
2019-04-12,46.99
2019-04-19,46.88
2019-04-26,46.97
2019-05-03,47.18
2019-05-10,46.11
2019-05-17,45.2
2019-05-24,45.76
2019-05-31,45.16
2019-06-07,46.27
2019-06-14,46.0
2019-06-21,46.73
2019-06-28,47.23
2019-07-05,47.82
2019-07-12,47.53
2019-07-19,47.83
2019-07-26,47.37
2019-08-02,45.61
2019-08-09,44.16
2019-08-16,43.77
2019-08-23,43.35
2019-08-30,44.08
2019-09-06,45.39
2019-09-13,46.11
2019-09-20,45.13
2019-09-27,44.64
2019-10-04,44.12
2019-10-11,44.77
2019-10-18,45.08
2019-10-25,45.92
2019-11-01,46.52
2019-11-08,46.74
2019-11-15,46.15
2019-11-22,45.83
2019-11-29,46.16
2019-12-06,46.03
2019-12-13,46.7
2019-12-20,46.08
2019-12-27,46.45
2020-01-03,46.29
