date,value
2015-01-02,40.3299
2015-01-09,40.0765
2015-01-16,39.537
2015-01-23,40.1752
2015-01-30,39.03
2015-02-06,40.36
2015-02-13,40.655
2015-02-20,40.98
2015-02-27,40.97
2015-03-06,40.2101
2015-03-13,39.8401
2015-03-20,40.77
2015-03-27,39.94
2015-04-03,40.0466
2015-04-10,40.75
2015-04-17,40.29
2015-04-24,40.6786
2015-05-01,40.663
2015-05-08,40.89
2015-05-15,41.1103
2015-05-22,41.233
2015-05-29,40.9722
2015-06-05,40.631
2015-06-12,40.8701
2015-06-19,40.73
2015-06-26,40.54
2015-07-03,40.15
2015-07-10,39.941
2015-07-17,40.81
2015-07-24,40.63
2015-07-31,40.63
2015-08-07,40.3164
2015-08-14,40.44
2015-08-21,38.4916
2015-08-28,38.1717
2015-09-04,37.11
2015-09-11,37.78
2015-09-18,37.6
2015-09-25,37.1999
2015-10-02,36.8258
2015-10-09,38.36
2015-10-16,38.9201
2015-10-23,39.5
2015-10-30,39.84
2015-11-06,39.9889
2015-11-13,39.06
2015-11-20,39.9801
2015-11-27,40.0414
2015-12-04,39.855
2015-12-11,38.31
2015-12-18,38.1036
2015-12-25,39.26
2016-01-01,38.9101
2016-01-08,36.5
2016-01-15,35.56
2016-01-22,36.007
2016-01-29,36.0648
2016-02-05,35.7101
2016-02-12,35.0
2016-02-19,36.202
2016-02-26,36.78
2016-03-04,38.1585
2016-03-11,38.4275
2016-03-18,39.12
2016-03-25,38.611
2016-04-01,39.4
2016-04-08,38.872
2016-04-15,39.7609
2016-04-22,40.2192
2016-04-29,39.75
2016-05-06,39.4
2016-05-13,39.15
2016-05-20,39.55
2016-05-27,40.34
2016-06-03,40.4801
2016-06-10,40.29
2016-06-17,39.682
2016-06-24,39.13
2016-07-01,40.1601
2016-07-08,40.486
2016-07-15,41.375
2016-07-22,41.59
2016-07-29,41.411
2016-08-05,41.3178
2016-08-12,41.88
2016-08-19,41.8348
2016-08-26,41.58
2016-09-02,41.61
2016-09-09,41.3201
2016-09-16,40.81
2016-09-23,41.4509
2016-09-30,41.6391
2016-10-07,41.27
2016-10-14,40.95
2016-10-21,41.11
2016-10-28,40.87
2016-11-04,40.5709
2016-11-11,41.8902
2016-11-18,42.5168
2016-11-25,42.866
2016-12-02,42.894
2016-12-09,43.9541
2016-12-16,43.77
2016-12-23,43.6401
2016-12-30,43.18
2017-01-06,44.1103
2017-01-13,43.9775
2017-01-20,44.0582
2017-01-27,44.5392
2017-02-03,44.6554
2017-02-10,45.0756
2017-02-17,45.73
2017-02-24,46.005
2017-03-03,46.45
2017-03-10,46.1694
2017-03-17,46.43
2017-03-24,45.78
2017-03-31,46.15
2017-04-07,46.1292
2017-04-14,46.01
2017-04-21,45.99
2017-04-28,46.7283
2017-05-05,46.985
2017-05-12,46.81
2017-05-19,46.74
2017-05-26,47.47
2017-06-02,48.03
2017-06-09,47.93
2017-06-16,47.77
2017-06-23,47.9001
2017-06-30,47.8768
2017-07-07,47.9145
2017-07-14,48.54
2017-07-21,48.86
2017-07-28,48.761
2017-08-04,48.83
2017-08-11,48.16
2017-08-18,48.08
2017-08-25,48.27
2017-09-01,49.09
2017-09-08,48.91
2017-09-15,49.66
2017-09-22,49.6305
2017-09-29,49.9428
2017-10-06,50.55
2017-10-13,50.6389
2017-10-20,51.0589
2017-10-27,51.02
2017-11-03,51.12
2017-11-10,51.145
2017-11-17,51.085
2017-11-24,51.4426
2017-12-01,52.1641
2017-12-08,52.4426
2017-12-15,52.83
2017-12-22,52.8668
2017-12-29,53.0026
2018-01-05,53.87
2018-01-12,54.775
2018-01-19,55.09
2018-01-26,56.198
2018-02-02,54.145
2018-02-09,50.93
