date,value
2015-01-02,11.46
2015-01-09,11.77
2015-01-16,11.63
2015-01-23,12.34
2015-01-30,11.25
2015-02-06,12.52
2015-02-13,13.75
2015-02-20,13.81
2015-02-27,13.65
2015-03-06,13.37
2015-03-13,12.28
2015-03-20,12.97
2015-03-27,12.65
2015-04-03,14.18
2015-04-10,14.7
2015-04-17,14.93
2015-04-24,15.36
2015-05-01,15.31
2015-05-08,15.63
2015-05-15,16.02
2015-05-22,15.53
2015-05-29,14.55
2015-06-05,13.82
2015-06-12,13.96
2015-06-19,14.39
2015-06-26,14.03
2015-07-03,13.88
2015-07-10,13.71
2015-07-17,13.97
2015-07-24,13.13
2015-07-31,13.07
2015-08-07,12.76
2015-08-14,12.62
2015-08-21,11.49
2015-08-28,12.73
2015-09-04,11.87
2015-09-11,12.22
2015-09-18,12.37
2015-09-25,12.07
2015-10-02,11.93
2015-10-09,13.4
2015-10-16,13.6
2015-10-23,13.3
2015-10-30,12.72
2015-11-06,13.01
2015-11-13,12.24
2015-11-20,13.5
2015-11-27,12.85
2015-12-04,12.28
2015-12-11,11.4
2015-12-18,11.51
2015-12-25,11.42
2016-01-01,11.13
2016-01-08,10.28
2016-01-15,9.5
2016-01-22,10.23
2016-01-29,11.07
2016-02-05,10.63
2016-02-12,10.32
2016-02-19,10.87
2016-02-26,10.96
2016-03-04,12.23
2016-03-11,12.49
2016-03-18,12.84
2016-03-25,12.675
2016-04-01,12.77
2016-04-08,12.97
2016-04-15,13.25
2016-04-22,13.75
2016-04-29,14.06
2016-05-06,13.32
2016-05-13,13.49
2016-05-20,13.035
2016-05-27,13.43
2016-06-03,13.19
2016-06-10,13.28
2016-06-17,13.21
2016-06-24,12.93
2016-07-01,13.58
2016-07-08,13.56
2016-07-15,14.17
2016-07-22,13.95
2016-07-29,13.72
2016-08-05,13.81
2016-08-12,14.1
2016-08-19,14.23
2016-08-26,14.06
2016-09-02,14.24
2016-09-09,14.43
2016-09-16,14.08
2016-09-23,14.49
2016-09-30,14.56
2016-10-07,14.73
2016-10-14,14.51
2016-10-21,14.6
2016-10-28,14.47
2016-11-04,13.84
2016-11-11,28.77
2016-11-18,29.32
2016-11-25,30.14
2016-12-02,31.2
2016-12-09,33.18
2016-12-16,33.53
2016-12-23,32.56
2016-12-30,33.52
2017-01-06,34.06
2017-01-13,33.97
2017-01-20,33.21
2017-01-27,34.75
2017-02-03,34.37
2017-02-10,33.9
2017-02-17,33.14
2017-02-24,32.41
2017-03-03,32.07
2017-03-10,30.39
2017-03-17,32.44
2017-03-24,32.65
2017-03-31,32.12
2017-04-07,31.9
2017-04-14,30.88
2017-04-21,31.07
2017-04-28,32.01
2017-05-05,31.03
2017-05-12,31.39
2017-05-19,30.85
2017-05-26,30.82
2017-06-02,29.9
2017-06-09,29.38
2017-06-16,28.43
2017-06-23,28.33
2017-06-30,28.8
2017-07-07,28.87
2017-07-14,30.41
2017-07-21,30.06
2017-07-28,29.95
2017-08-04,30.25
2017-08-11,30.01
2017-08-18,30.32
2017-08-25,31.25
2017-09-01,32.47
2017-09-08,32.68
2017-09-15,33.08
2017-09-22,32.89
2017-09-29,33.63
2017-10-06,33.56
2017-10-13,34.28
2017-10-20,33.69
2017-10-27,33.35
2017-11-03,33.21
2017-11-10,34.59
2017-11-17,34.26
2017-11-24,35.03
2017-12-01,33.43
2017-12-08,33.75
2017-12-15,34.5
2017-12-22,33.3
2017-12-29,33.52
2018-01-05,35.77
2018-01-12,37.07
2018-01-19,37.31
2018-01-26,37.59
2018-02-02,36.94
2018-02-09,34.58
2018-02-16,36.85
2018-02-23,38.19
2018-03-02,37.41
2018-03-09,37.59
2018-03-16,36.52
2018-03-23,36.17
2018-03-30,36.44
2018-04-06,35.73
2018-04-13,32.02
2018-04-20,32.9
2018-04-27,33.65
2018-05-04,33.54
2018-05-11,34.4
2018-05-18,34.04
2018-05-25,33.86
2018-06-01,34.06
2018-06-08,33.27
2018-06-15,32.17
2018-06-22,32.82
2018-06-29,33.82
2018-07-06,34.79
2018-07-13,34.96
2018-07-20,33.39
2018-07-27,34.2
2018-08-03,34.0
2018-08-10,31.19
2018-08-17,31.78
2018-08-24,31.8
2018-08-31,32.38
2018-09-07,30.81
2018-09-14,32.27
2018-09-21,33.88
2018-09-28,35.19
2018-10-05,34.44
2018-10-12,34.22
2018-10-19,33.7
2018-10-26,32.79
2018-11-02,34.0
2018-11-09,33.54
2018-11-16,33.83
2018-11-23,33.14
2018-11-30,33.44
2018-12-07,34.19
2018-12-14,33.11
2018-12-21,30.75
2018-12-28,30.92
2019-01-04,32.53
2019-01-11,33.21
2019-01-18,34.01
2019-01-25,34.29
2019-02-01,34.94
2019-02-08,34.38
2019-02-15,33.97
2019-02-22,34.42
2019-03-01,33.9
2019-03-08,33.34
