date,value
2016-12-09,48.26
2016-12-16,49.67
2016-12-23,49.31
2016-12-30,49.126
2017-01-06,49.86
2017-01-13,49.75
2017-01-20,49.56
2017-01-27,50.14
2017-02-03,50.14
2017-02-10,50.5
2017-02-17,50.5
2017-02-24,50.5
2017-03-03,51.78
2017-03-10,51.85
2017-03-17,51.87
2017-03-24,51.79
2017-03-31,51.71
2017-04-07,51.5975
2017-04-14,51.3
2017-04-21,51.3
2017-04-28,52.2344
2017-05-05,52.32
2017-05-12,52.43
2017-05-19,52.24
2017-05-26,52.98
2017-06-02,53.5
2017-06-09,53.347
2017-06-16,53.37
2017-06-23,53.5903
2017-06-30,53.17
2017-07-07,52.9
2017-07-14,53.1
2017-07-21,53.815
2017-07-28,54.241
2017-08-04,54.01
2017-08-11,53.41
2017-08-18,54.0
2017-08-25,53.62
2017-09-01,54.2987
2017-09-08,54.02
2017-09-15,54.775
2017-09-22,54.8399
2017-09-29,54.78
2017-10-06,55.6201
2017-10-13,55.87
2017-10-20,56.0707
2017-10-27,56.57
2017-11-03,56.74
2017-11-10,56.59
2017-11-17,56.51
2017-11-24,57.0
2017-12-01,57.78
2017-12-08,57.89
2017-12-15,58.55
2017-12-22,58.3299
2017-12-29,58.33
2018-01-05,59.5399
2018-01-12,60.5398
2018-01-19,61.0115
2018-01-26,62.5398
2018-02-02,60.2248
2018-02-09,56.67
2018-02-16,59.645
2018-02-23,59.5225
2018-03-02,58.62
2018-03-09,60.965
2018-03-16,60.47
2018-03-23,56.6827
2018-03-30,57.791
2018-04-06,56.7
2018-04-13,58.29
2018-04-20,58.426
2018-04-27,58.4044
2018-05-04,58.4
2018-05-11,59.71
2018-05-18,59.41
2018-05-25,59.59
2018-06-01,59.9
2018-06-08,60.91
2018-06-15,60.9798
2018-06-22,60.5943
2018-06-29,59.89
2018-07-06,60.54
2018-07-13,61.43
2018-07-20,61.478
2018-07-27,61.752
2018-08-03,62.4
2018-08-10,62.158
2018-08-17,62.63
2018-08-24,63.2321
2018-08-31,63.73
2018-09-07,63.1734
2018-09-14,64.02
2018-09-21,64.53
2018-09-28,63.97
2018-10-05,63.23
2018-10-12,60.55
2018-10-19,60.5
2018-10-26,58.0
2018-11-02,59.48
2018-11-09,60.75
2018-11-16,60.01
2018-11-23,58.08
2018-11-30,60.57
2018-12-07,57.93
2018-12-14,57.1928
2018-12-21,52.85
2018-12-28,54.26
2019-01-04,55.41
2019-01-11,56.7748
2019-01-18,58.3086
2019-01-25,58.28
2019-02-01,59.2
2019-02-08,59.25
2019-02-15,60.815
2019-02-22,61.3001
2019-03-01,61.6
2019-03-08,60.2366
2019-03-15,62.11
2019-03-22,61.47
2019-03-29,62.14
2019-04-05,63.46
2019-04-12,63.95
2019-04-19,63.9024
2019-04-26,64.54
2019-05-03,64.7659
2019-05-10,63.13
2019-05-17,62.9794
2019-05-24,62.16
2019-05-31,60.64
2019-06-07,63.35
2019-06-14,63.72
2019-06-21,64.879
2019-06-28,64.53
2019-07-05,65.63
2019-07-12,66.1278
2019-07-19,65.46
2019-07-26,66.45
2019-08-02,64.2251
2019-08-09,64.24
2019-08-16,63.45
2019-08-23,62.61
2019-08-30,64.31
2019-09-06,65.59
2019-09-13,66.23
2019-09-20,65.95
2019-09-27,65.12
2019-10-04,64.87
2019-10-11,65.42
2019-10-18,65.67
2019-10-25,66.64
2019-11-01,67.58
2019-11-08,68.35
2019-11-15,68.917
2019-11-22,68.83
2019-11-29,69.5865
2019-12-06,69.74
2019-12-13,70.2401
2019-12-20,71.1958
2019-12-27,71.6099
2020-01-03,71.5544
