date,value
2015-01-02,67.93
2015-01-09,66.06
2015-01-16,64.59
2015-01-23,67.01
2015-01-30,63.09
2015-02-06,70.05
2015-02-13,72.55
2015-02-20,72.51
2015-02-27,71.01
2015-03-06,68.17
2015-03-13,66.64
2015-03-20,68.48
2015-03-27,66.7
2015-04-03,67.68
2015-04-10,68.69
2015-04-17,69.11
2015-04-24,68.58
2015-05-01,70.52
2015-05-08,72.1
2015-05-15,73.32
2015-05-22,73.09
2015-05-29,71.59
2015-06-05,71.75
2015-06-12,71.88
2015-06-19,70.2
2015-06-26,68.28
2015-07-03,67.41
2015-07-10,65.77
2015-07-17,65.11
2015-07-24,61.15
2015-07-31,60.58
2015-08-07,59.85
2015-08-14,59.96
2015-08-21,56.69
2015-08-28,57.05
2015-09-04,55.05
2015-09-11,55.72
2015-09-18,52.93
2015-09-25,51.92
2015-10-02,51.4
2015-10-09,54.82
2015-10-16,51.15
2015-10-23,54.31
2015-10-30,55.91
2015-11-06,57.22
2015-11-13,54.11
2015-11-20,57.59
2015-11-27,58.1
2015-12-04,56.05
2015-12-11,50.87
2015-12-18,49.74
2015-12-25,53.25
2016-01-01,52.04
2016-01-08,49.17
2016-01-15,47.86
2016-01-22,48.51
2016-01-29,50.51
2016-02-05,54.66
2016-02-12,54.2
2016-02-19,56.01
2016-02-26,57.27
2016-03-04,57.95
2016-03-11,60.13
2016-03-18,63.47
2016-03-25,62.37
2016-04-01,63.66
2016-04-08,59.91
2016-04-15,62.83
2016-04-22,62.99
2016-04-29,63.27
2016-05-06,61.3
2016-05-13,60.87
2016-05-20,59.8
2016-05-27,61.63
2016-06-03,61.45
2016-06-10,61.62
2016-06-17,61.62
2016-06-24,58.03
2016-07-01,60.27
2016-07-08,61.92
2016-07-15,63.83
2016-07-22,63.38
2016-07-29,63.41
2016-08-05,65.46
2016-08-12,67.21
2016-08-19,67.66
2016-08-26,67.32
2016-09-02,67.54
2016-09-09,63.57
2016-09-16,62.35
2016-09-23,63.31
2016-09-30,65.71
2016-10-07,64.48
2016-10-14,63.3
2016-10-21,63.71
2016-10-28,62.38
2016-11-04,60.76
2016-11-11,67.31
2016-11-18,64.15
2016-11-25,66.81
2016-12-02,67.76
2016-12-09,69.53
2016-12-16,68.06
2016-12-23,68.26
2016-12-30,67.09
2017-01-06,68.01
2017-01-13,68.66
2017-01-20,67.93
2017-01-27,70.95
2017-02-03,70.22
2017-02-10,71.0
2017-02-17,71.63
2017-02-24,72.39
2017-03-03,71.93
2017-03-10,72.49
2017-03-17,73.25
2017-03-24,72.84
2017-03-31,74.15
2017-04-07,74.57
2017-04-14,73.51
2017-04-21,73.85
2017-04-28,75.64
2017-05-05,76.86
2017-05-12,76.68
2017-05-19,78.01
2017-05-26,77.56
2017-06-02,77.88
2017-06-09,75.74
2017-06-16,76.8
2017-06-23,76.88
2017-06-30,77.83
2017-07-07,79.36
2017-07-14,80.61
2017-07-21,78.97
