date,value
2015-01-02,87.71
2015-01-09,87.79
2015-01-16,88.67
2015-01-23,89.6
2015-01-30,87.51
2015-02-06,82.41
2015-02-13,79.12
2015-02-20,79.32
2015-02-27,79.51
2015-03-06,74.67
2015-03-13,74.65
2015-03-20,79.05
2015-03-27,76.68
2015-04-03,77.67
2015-04-10,78.09
2015-04-17,77.29
2015-04-24,79.14
2015-05-01,77.19
2015-05-08,76.4
2015-05-15,74.98
2015-05-22,76.04
2015-05-29,76.47
2015-06-05,72.12
2015-06-12,70.71
2015-06-19,71.57
2015-06-26,70.51
2015-07-03,71.88
2015-07-10,72.49
2015-07-17,72.37
2015-07-24,69.21
2015-07-31,71.02
2015-08-07,70.26
2015-08-14,70.1
2015-08-21,69.39
2015-08-28,65.9
2015-09-04,61.53
2015-09-11,62.68
2015-09-18,64.25
2015-09-25,64.59
2015-10-02,65.89
2015-10-09,67.56
2015-10-16,69.3
2015-10-23,68.65
2015-10-30,68.16
2015-11-06,65.65
2015-11-13,65.15
2015-11-20,66.94
2015-11-27,66.17
2015-12-04,65.93
2015-12-11,65.66
2015-12-18,66.26
2015-12-25,68.69
2016-01-01,68.36
2016-01-08,67.52
2016-01-15,68.09
2016-01-22,68.73
2016-01-29,70.58
2016-02-05,72.22
2016-02-12,70.44
2016-02-19,72.98
2016-02-26,71.74
2016-03-04,74.19
2016-03-11,75.92
2016-03-18,77.93
2016-03-25,78.84
2016-04-01,79.97
2016-04-08,76.96
2016-04-15,76.12
2016-04-22,74.35
2016-04-29,75.18
2016-05-06,76.16
2016-05-13,76.6
2016-05-20,74.3
2016-05-27,75.65
2016-06-03,78.24
2016-06-10,78.65
2016-06-17,78.65
2016-06-24,77.99
2016-07-01,81.61
2016-07-08,80.88
2016-07-15,80.28
2016-07-22,81.65
2016-07-29,81.39
2016-08-05,79.59
2016-08-12,79.52
2016-08-19,77.99
2016-08-26,77.26
2016-09-02,78.97
2016-09-09,77.56
2016-09-16,78.47
2016-09-23,81.43
2016-09-30,76.73
2016-10-07,73.13
2016-10-14,74.16
2016-10-21,74.17
2016-10-28,72.36
2016-11-04,70.82
2016-11-11,67.41
2016-11-18,67.83
2016-11-25,69.53
2016-12-02,69.28
2016-12-09,70.76
2016-12-16,73.17
2016-12-23,72.89
2016-12-30,73.47
2017-01-06,73.24
2017-01-13,71.58
2017-01-20,71.17
2017-01-27,70.55
2017-02-03,71.82
2017-02-10,71.63
2017-02-17,73.55
2017-02-24,75.8
2017-03-03,75.38
2017-03-10,73.61
2017-03-17,75.41
2017-03-24,76.81
2017-03-31,75.96
2017-04-07,75.95
2017-04-14,76.99
2017-04-21,76.41
2017-04-28,76.26
2017-05-05,77.36
2017-05-12,75.7
2017-05-19,75.69
2017-05-26,77.65
2017-06-02,80.24
2017-06-09,79.28
2017-06-16,80.01
2017-06-23,78.99
2017-06-30,76.77
2017-07-07,75.79
2017-07-14,75.49
2017-07-21,77.18
2017-07-28,76.25
2017-08-04,76.88
2017-08-11,76.2
2017-08-18,77.84
2017-08-25,79.85
2017-09-01,79.26
2017-09-08,79.81
2017-09-15,78.87
2017-09-22,76.75
2017-09-29,76.36
2017-10-06,78.65
2017-10-13,82.29
2017-10-20,85.66
2017-10-27,86.77
2017-11-03,87.0
2017-11-10,85.13
2017-11-17,86.51
2017-11-24,85.37
2017-12-01,85.52
2017-12-08,84.04
2017-12-15,83.8
2017-12-22,80.31
2017-12-29,81.39
2018-01-05,79.92
2018-01-12,78.22
2018-01-19,76.99
2018-01-26,78.29
2018-02-02,75.98
2018-02-09,74.13
2018-02-16,76.72
2018-02-23,77.74
2018-03-02,76.54
2018-03-09,76.78
2018-03-16,78.88
2018-03-23,77.35
2018-03-30,78.78
2018-04-06,78.98
2018-04-13,78.65
2018-04-20,78.98
2018-04-27,82.11
2018-05-04,82.2
2018-05-11,78.85
2018-05-18,76.14
2018-05-25,79.73
2018-06-01,80.11
2018-06-08,76.89
2018-06-15,78.21
2018-06-22,80.21
2018-06-29,80.79
2018-07-06,82.56
2018-07-13,81.89
2018-07-20,80.51
2018-07-27,80.55
2018-08-03,83.77
2018-08-10,83.39
2018-08-17,85.32
2018-08-24,85.09
2018-08-31,83.59
2018-09-07,84.71
2018-09-14,83.76
2018-09-21,82.57
2018-09-28,81.13
2018-10-05,82.76
2018-10-12,81.35
2018-10-19,84.12
2018-10-26,82.43
2018-11-02,83.26
2018-11-09,85.56
2018-11-16,86.32
2018-11-23,85.37
