date,value
2015-01-02,22.04
2015-01-09,20.94
2015-01-16,21.26
2015-01-23,21.66
2015-01-30,21.43
2015-02-06,22.0
2015-02-13,22.59
2015-02-20,23.13
2015-02-27,22.882
2015-03-06,22.52
2015-03-13,22.08
2015-03-20,23.24
2015-03-27,23.23
2015-04-03,23.5
2015-04-10,23.45
2015-04-17,23.14
2015-04-24,23.62
2015-05-01,23.93
2015-05-08,24.3
2015-05-15,24.82
2015-05-22,24.48
2015-05-29,23.9
2015-06-05,23.65
2015-06-12,24.06
2015-06-19,23.86
2015-06-26,23.91
2015-07-03,22.95
2015-07-10,23.36
2015-07-17,23.79
2015-07-24,23.43
2015-07-31,23.5475
2015-08-07,23.42
2015-08-14,23.295
2015-08-21,21.9
2015-08-28,21.85
2015-09-04,20.91
2015-09-11,21.7
2015-09-18,21.13
2015-09-25,20.57
2015-10-02,21.04
2015-10-09,21.94
2015-10-16,22.0
2015-10-23,21.97
2015-10-30,21.49
2015-11-06,21.37
2015-11-13,20.7
2015-11-20,20.98
2015-11-27,21.05
2015-12-04,21.23
2015-12-11,20.1
2015-12-18,20.33
2015-12-25,20.76
2016-01-01,20.32
2016-01-08,18.73
2016-01-15,18.06
2016-01-22,18.01
2016-01-29,18.03
2016-02-05,17.22
2016-02-12,16.54
2016-02-19,16.89
2016-02-26,17.01
2016-03-04,18.04
2016-03-11,18.81
2016-03-18,18.58
2016-03-25,17.72
2016-04-01,17.74
2016-04-08,17.35
2016-04-15,18.36
2016-04-22,19.01
2016-04-29,18.84
2016-05-06,17.94
2016-05-13,17.6
2016-05-20,18.09
2016-05-27,18.98
2016-06-03,18.57
2016-06-10,17.52
2016-06-17,17.5
2016-06-24,15.57
2016-07-01,15.62
2016-07-08,15.03
2016-07-15,15.93
2016-07-22,15.93
2016-07-29,16.29
2016-08-05,16.24
2016-08-12,16.84
2016-08-19,16.62
2016-08-26,16.8
2016-09-02,17.79
2016-09-09,17.64
2016-09-16,16.83
2016-09-23,17.32
2016-09-30,17.16
2016-10-07,17.38
2016-10-14,16.97
2016-10-21,17.55
2016-10-28,17.82
2016-11-04,17.2
2016-11-11,18.36
2016-11-18,17.85
2016-11-25,18.01
2016-12-02,18.11
2016-12-09,19.38
2016-12-16,19.11
2016-12-23,18.93
2016-12-30,18.96
2017-01-06,19.57
2017-01-13,19.49
2017-01-20,19.44
2017-01-27,19.9
2017-02-03,19.97
2017-02-10,19.43
2017-02-17,19.6
2017-02-24,19.17
2017-03-03,19.79
2017-03-10,20.24
2017-03-17,20.36
2017-03-24,20.29
2017-03-31,20.32
2017-04-07,19.98
2017-04-14,19.56
2017-04-21,20.09
2017-04-28,21.28
2017-05-05,22.36
2017-05-12,21.95
2017-05-19,22.17
2017-05-26,22.03
2017-06-02,22.12
2017-06-09,22.13
2017-06-16,22.04
2017-06-23,21.17
2017-06-30,21.94
2017-07-07,22.51
2017-07-14,22.81
2017-07-21,22.63
2017-07-28,23.14
2017-08-04,23.52
2017-08-11,22.64
2017-08-18,22.67
2017-08-25,22.8
2017-09-01,22.7
2017-09-08,22.44
2017-09-15,23.03
2017-09-22,23.35
2017-09-29,23.48
2017-10-06,23.35
2017-10-13,23.29
2017-10-20,23.37
2017-10-27,23.05
2017-11-03,22.92
2017-11-10,22.84
2017-11-17,22.78
2017-11-24,23.14
2017-12-01,23.07
2017-12-08,23.19
2017-12-15,23.13
2017-12-22,23.28
2017-12-29,23.31
2018-01-05,23.89
2018-01-12,24.93
2018-01-19,25.21
2018-01-26,25.83
2018-02-02,24.92
2018-02-09,23.67
2018-02-16,24.48
2018-02-23,24.39
2018-03-02,23.64
2018-03-09,23.87
2018-03-16,23.81
2018-03-23,22.68
2018-03-30,23.1
2018-04-06,22.96
2018-04-13,23.55
2018-04-20,23.87
2018-04-27,23.62
2018-05-04,23.25
2018-05-11,23.58
2018-05-18,22.93
2018-05-25,22.3
2018-06-01,21.82
2018-06-08,21.76
2018-06-15,21.57
2018-06-22,20.58
2018-06-29,20.23
2018-07-06,20.59
2018-07-13,20.38
2018-07-20,20.44
2018-07-27,20.79
2018-08-03,20.69
2018-08-10,20.02
2018-08-17,19.69
2018-08-24,20.12
2018-08-31,19.92
2018-09-07,19.73
2018-09-14,20.12
2018-09-21,20.99
2018-09-28,20.28
2018-10-05,19.9
2018-10-12,19.16
2018-10-19,18.83
2018-10-26,18.08
2018-11-02,19.01
2018-11-09,18.96
2018-11-16,18.61
2018-11-23,18.15
2018-11-30,18.43
2018-12-07,17.53
2018-12-14,17.4
2018-12-21,16.55
2018-12-28,16.88
2019-01-04,17.4
2019-01-11,17.72
2019-01-18,18.175
2019-01-25,18.31
2019-02-01,17.99
2019-02-08,17.7
2019-02-15,18.18
2019-02-22,18.18
2019-03-01,18.86
2019-03-08,18.08
2019-03-15,18.93
2019-03-22,18.18
2019-03-29,18.16
2019-04-05,19.0
2019-04-12,19.46
2019-04-19,19.77
2019-04-26,19.37
2019-05-03,19.64
2019-05-10,18.91
2019-05-17,18.63
2019-05-24,18.45
2019-05-31,17.98
2019-06-07,18.48
2019-06-14,18.27
2019-06-21,17.98
2019-06-28,18.15
2019-07-05,18.53
2019-07-12,18.42
2019-07-19,18.11
2019-07-26,17.91
2019-08-02,17.13
2019-08-09,16.71
2019-08-16,16.39
2019-08-23,16.26
2019-08-30,16.41
2019-09-06,16.97
2019-09-13,18.05
2019-09-20,17.79
2019-09-27,17.53
2019-10-04,17.04
2019-10-11,17.94
2019-10-18,18.47
2019-10-25,18.65
2019-11-01,18.58
2019-11-08,18.81
2019-11-15,18.64
2019-11-22,18.6
2019-11-29,18.57
2019-12-06,18.73
2019-12-13,19.44
2019-12-20,19.35
2019-12-27,19.46
2020-01-03,19.42
