date,value
2015-01-02,23.0
2015-01-09,22.8325
2015-01-16,23.58
2015-01-23,23.6667
2015-01-30,23.671
2015-02-06,23.92
2015-02-13,23.86
2015-02-20,24.3
2015-02-27,24.46
2015-03-06,23.8055
2015-03-13,23.2599
2015-03-20,24.39
2015-03-27,24.2399
2015-04-03,24.3
2015-04-10,24.57
2015-04-17,24.67
2015-04-24,25.04
2015-05-01,24.9021
2015-05-08,25.32
2015-05-15,25.72
2015-05-22,25.3468
2015-05-29,24.9899
2015-06-05,24.51
2015-06-12,24.826
2015-06-19,24.86
2015-06-26,24.461
2015-07-03,23.87
2015-07-10,24.38
2015-07-17,24.7881
2015-07-24,24.42
2015-07-31,24.7
2015-08-07,24.65
2015-08-14,24.57
2015-08-21,23.49
2015-08-28,23.3009
2015-09-04,22.69
2015-09-11,23.3444
2015-09-18,23.37
2015-09-25,22.8174
2015-10-02,23.26
2015-10-09,23.94
2015-10-16,24.181
2015-10-23,24.424
2015-10-30,24.25
2015-11-06,23.98
2015-11-13,23.4503
2015-11-20,24.05
2015-11-27,24.01
2015-12-04,24.1899
2015-12-11,23.4216
2015-12-18,23.4
2015-12-25,23.89
2016-01-01,23.56
2016-01-08,22.6
2016-01-15,21.95
2016-01-22,22.46
2016-01-29,23.11
2016-02-05,22.55
2016-02-12,22.0843
2016-02-19,22.72
2016-02-26,22.5616
2016-03-04,22.98
2016-03-11,23.47
2016-03-18,23.6195
2016-03-25,23.08
2016-04-01,23.48
2016-04-08,23.5763
2016-04-15,23.819
2016-04-22,23.81
2016-04-29,23.9
2016-05-06,23.58
2016-05-13,23.4195
2016-05-20,23.59
2016-05-27,24.07
2016-06-03,24.19
2016-06-10,23.3208
2016-06-17,23.0604
2016-06-24,21.79
2016-07-01,23.08
2016-07-08,22.646
2016-07-15,23.09
2016-07-22,22.97
2016-07-29,23.35
2016-08-05,23.19
2016-08-12,23.58
2016-08-19,23.44
2016-08-26,23.13
2016-09-02,23.62
2016-09-09,23.25
2016-09-16,22.84
2016-09-23,23.32
2016-09-30,23.16
2016-10-07,22.4
2016-10-14,22.07
2016-10-21,22.02
2016-10-28,21.7898
2016-11-04,21.52
2016-11-11,21.18
2016-11-18,20.75
2016-11-25,20.9
2016-12-02,20.73
2016-12-09,21.19
2016-12-16,21.07
2016-12-23,20.98
2016-12-30,21.22
2017-01-06,21.415
2017-01-13,21.4701
2017-01-20,21.4464
2017-01-27,21.52
2017-02-03,21.662
2017-02-10,21.76
2017-02-17,21.96
2017-02-24,21.97
2017-03-03,22.1231
2017-03-10,22.23
2017-03-17,22.73
2017-03-24,22.87
2017-03-31,22.83
2017-04-07,22.73
2017-04-14,22.9302
2017-04-21,22.9236
2017-04-28,23.59
2017-05-05,24.49
2017-05-12,24.58
2017-05-19,25.03
2017-05-26,25.1299
2017-06-02,25.63
2017-06-09,25.11
2017-06-16,25.189
2017-06-23,24.625
2017-06-30,24.5
2017-07-07,24.37
2017-07-14,24.83
2017-07-21,25.005
2017-07-28,24.7973
2017-08-04,25.22
2017-08-11,24.765
2017-08-18,24.7364
2017-08-25,25.01
2017-09-01,25.0617
2017-09-08,25.3682
2017-09-15,25.3
2017-09-22,25.32
2017-09-29,25.29
2017-10-06,25.19
2017-10-13,25.695
2017-10-20,25.3634
2017-10-27,25.1974
2017-11-03,25.169
2017-11-10,25.0376
2017-11-17,25.011
2017-11-24,25.35
2017-12-01,25.28
2017-12-08,25.3132
2017-12-15,25.114
2017-12-22,25.09
2017-12-29,25.3416
2018-01-05,25.83
2018-01-12,25.9768
2018-01-19,26.18
2018-01-26,26.5928
2018-02-02,25.87
2018-02-09,24.58
2018-02-16,25.6164
2018-02-23,25.411
2018-03-02,24.8
2018-03-09,25.525
2018-03-16,25.382
2018-03-23,24.8205
2018-03-30,25.4172
2018-04-06,25.57
2018-04-13,25.779
2018-04-20,25.74
2018-04-27,25.8221
2018-05-04,25.6208
2018-05-11,25.8198
2018-05-18,25.666
2018-05-25,25.39
2018-06-01,25.25
2018-06-08,25.43
2018-06-15,25.4302
2018-06-22,24.77
2018-06-29,24.65
2018-07-06,24.91
2018-07-13,25.15
2018-07-20,25.21
2018-07-27,25.29
2018-08-03,25.2001
2018-08-10,24.65
2018-08-17,24.66
2018-08-24,25.1253
2018-08-31,25.06
2018-09-07,24.6257
2018-09-14,24.91
2018-09-21,25.31
2018-09-28,25.18
2018-10-05,24.445
2018-10-12,23.6
2018-10-19,23.963
2018-10-26,23.34
2018-11-02,23.84
2018-11-09,24.05
2018-11-16,24.03
2018-11-23,23.69
2018-11-30,23.8401
2018-12-07,23.4204
2018-12-14,23.3369
2018-12-21,22.5483
2018-12-28,22.8082
2019-01-04,23.1748
2019-01-11,23.5197
2019-01-18,23.6471
2019-01-25,23.5804
2019-02-01,23.9401
2019-02-08,23.9107
2019-02-15,24.18
2019-02-22,24.45
2019-03-01,24.5202
2019-03-08,24.335
2019-03-15,25.122
2019-03-22,24.8974
2019-03-29,24.95
2019-04-05,25.2215
2019-04-12,25.16
2019-04-19,25.11
2019-04-26,25.14
2019-05-03,25.302
2019-05-10,25.0537
2019-05-17,25.0634
2019-05-24,25.2067
2019-05-31,24.79
2019-06-07,25.8
