date,value
2015-01-02,28.69
2015-01-09,27.64
2015-01-16,27.26
2015-01-23,27.26
2015-01-30,26.44
2015-02-06,27.61
2015-02-13,28.08
2015-02-20,27.71
2015-02-27,28.02
2015-03-06,27.27
2015-03-13,26.56
2015-03-20,27.45
2015-03-27,27.07
2015-04-03,27.63
2015-04-10,28.25
2015-04-17,29.01
2015-04-24,29.28
2015-05-01,29.14
2015-05-08,28.93
2015-05-15,28.93
2015-05-22,28.48
2015-05-29,27.78
2015-06-05,27.7
2015-06-12,27.56
2015-06-19,27.47
2015-06-26,27.53
2015-07-03,26.7
2015-07-10,26.04
2015-07-17,25.9
2015-07-24,25.03
2015-07-31,25.55
2015-08-07,25.16
2015-08-14,25.16
2015-08-21,23.51
2015-08-28,24.2
2015-09-04,23.37
2015-09-11,23.44
2015-09-18,23.84
2015-09-25,23.08
2015-10-02,23.35
2015-10-09,24.92
2015-10-16,24.75
2015-10-23,24.43
2015-10-30,23.8
2015-11-06,23.52
2015-11-13,22.58
2015-11-20,23.24
2015-11-27,23.11
2015-12-04,23.1
2015-12-11,21.57
2015-12-18,21.63
2015-12-25,21.98
2016-01-01,21.5
2016-01-08,20.05
2016-01-15,18.97
2016-01-22,20.01
2016-01-29,20.91
2016-02-05,20.98
2016-02-12,20.41
2016-02-19,21.3
2016-02-26,21.63
2016-03-04,22.62
2016-03-11,23.39
2016-03-18,23.71
2016-03-25,23.09
2016-04-01,23.61
2016-04-08,23.5
2016-04-15,24.24
2016-04-22,25.06
2016-04-29,25.4
2016-05-06,24.18
2016-05-13,24.14
2016-05-20,24.16
2016-05-27,24.73
2016-06-03,25.05
2016-06-10,25.05
2016-06-17,24.58
2016-06-24,24.14
2016-07-01,24.83
2016-07-08,24.64
2016-07-15,25.28
2016-07-22,25.11
2016-07-29,25.24
2016-08-05,25.11
2016-08-12,25.73
2016-08-19,25.87
2016-08-26,25.6
2016-09-02,25.86
2016-09-09,25.35
2016-09-16,24.91
2016-09-23,25.43
2016-09-30,25.69
2016-10-07,25.14
2016-10-14,25.42
2016-10-21,25.7
2016-10-28,25.45
2016-11-04,24.93
2016-11-11,24.85
2016-11-18,25.46
2016-11-25,25.88
2016-12-02,26.23
2016-12-09,26.94
2016-12-16,26.59
2016-12-23,26.07
2016-12-30,26.15
2017-01-06,26.89
2017-01-13,27.13
2017-01-20,26.83
2017-01-27,27.26
2017-02-03,27.27
2017-02-10,27.59
2017-02-17,27.78
2017-02-24,27.22
2017-03-03,26.84
2017-03-10,26.53
2017-03-17,26.71
2017-03-24,26.53
2017-03-31,26.88
2017-04-07,26.87
2017-04-14,26.69
2017-04-21,26.57
2017-04-28,26.26
2017-05-05,26.29
2017-05-12,26.11
2017-05-19,26.28
2017-05-26,26.38
2017-06-02,26.34
2017-06-09,26.51
2017-06-16,26.55
2017-06-23,26.36
2017-06-30,26.76
2017-07-07,26.76
2017-07-14,27.55
2017-07-21,27.8
2017-07-28,27.9
2017-08-04,27.77
2017-08-11,27.21
2017-08-18,27.27
2017-08-25,27.72
2017-09-01,28.11
2017-09-08,28.28
2017-09-15,28.59
2017-09-22,28.81
2017-09-29,28.94
2017-10-06,28.95
2017-10-13,29.26
2017-10-20,29.1
2017-10-27,28.83
2017-11-03,29.11
2017-11-10,29.32
2017-11-17,29.05
2017-11-24,29.41
2017-12-01,29.37
2017-12-08,29.14
2017-12-15,29.0
2017-12-22,29.17
2017-12-29,29.64
2018-01-05,30.34
2018-01-12,30.11
2018-01-19,30.14
2018-01-26,30.32
2018-02-02,28.96
2018-02-09,27.47
2018-02-16,28.27
2018-02-23,28.46
2018-03-02,27.48
2018-03-09,28.02
2018-03-16,27.67
2018-03-23,27.19
2018-03-30,27.56
2018-04-06,27.5
2018-04-13,27.95
2018-04-20,28.04
2018-04-27,28.21
2018-05-04,28.31
2018-05-11,29.02
2018-05-18,29.14
2018-05-25,28.76
2018-06-01,28.7
2018-06-08,29.05
2018-06-15,28.7
2018-06-22,28.51
2018-06-29,28.51
2018-07-06,28.78
2018-07-13,29.07
2018-07-20,28.9
2018-07-27,29.04
2018-08-03,29.24
2018-08-10,28.78
2018-08-17,28.95
2018-08-24,28.99
2018-08-31,28.8
2018-09-07,28.16
2018-09-14,28.34
2018-09-21,29.05
2018-09-28,28.78
2018-10-05,28.53
2018-10-12,27.27
2018-10-19,27.19
2018-10-26,26.26
2018-11-02,26.74
2018-11-09,26.78
2018-11-16,26.75
2018-11-23,26.16
2018-11-30,26.64
2018-12-07,25.8
2018-12-14,25.37
2018-12-21,23.43
2018-12-28,23.85
2019-01-04,24.65
2019-01-11,25.72
2019-01-18,26.42
2019-01-25,26.62
2019-02-01,27.13
2019-02-08,26.95
2019-02-15,27.41
2019-02-22,27.9
2019-03-01,27.72
2019-03-08,27.32
2019-03-15,27.76
2019-03-22,27.43
2019-03-29,27.64
2019-04-05,28.15
2019-04-12,28.49
2019-04-19,28.66
2019-04-26,28.46
2019-05-03,28.38
2019-05-10,27.98
2019-05-17,28.08
2019-05-24,27.83
2019-05-31,27.33
2019-06-07,28.15
2019-06-14,28.02
2019-06-21,28.59
2019-06-28,28.62
2019-07-05,28.96
2019-07-12,28.99
2019-07-19,28.83
2019-07-26,28.7
2019-08-02,28.06
2019-08-09,28.17
2019-08-16,27.72
2019-08-23,27.42
2019-08-30,28.19
2019-09-06,28.63
2019-09-13,28.84
2019-09-20,29.16
2019-09-27,28.88
2019-10-04,28.29
2019-10-11,28.55
2019-10-18,28.59
2019-10-25,28.91
2019-11-01,29.03
2019-11-08,29.46
2019-11-15,29.73
2019-11-22,29.42
2019-11-29,29.63
2019-12-06,29.48
2019-12-13,29.68
2019-12-20,29.63
2019-12-27,29.81
2020-01-03,29.83
