date,value
2015-01-02,27.28
2015-01-09,26.75
2015-01-16,27.69
2015-01-23,27.76
2015-01-30,28.05
2015-02-06,28.44
2015-02-13,29.19
2015-02-20,29.5
2015-02-27,29.7
2015-03-06,29.04
2015-03-13,29.19
2015-03-20,30.26
2015-03-27,30.1
2015-04-03,30.33
2015-04-10,30.55
2015-04-17,29.39
2015-04-24,29.79
2015-05-01,30.0
2015-05-08,30.38
2015-05-15,30.46
2015-05-22,30.18
2015-05-29,29.11
2015-06-05,28.82
2015-06-12,29.2
2015-06-19,28.98
2015-06-26,29.29
2015-07-03,28.03
2015-07-10,28.89
2015-07-17,28.86
2015-07-24,28.25
2015-07-31,28.33
2015-08-07,28.76
2015-08-14,28.07
2015-08-21,26.01
2015-08-28,26.36
2015-09-04,25.58
2015-09-11,26.48
2015-09-18,25.76
2015-09-25,24.7
2015-10-02,24.86
2015-10-09,26.26
2015-10-16,26.24
2015-10-23,27.2
2015-10-30,27.11
2015-11-06,26.92
2015-11-13,26.05
2015-11-20,26.86
2015-11-27,27.17
2015-12-04,26.93
2015-12-11,25.78
2015-12-18,26.09
2015-12-25,26.79
2016-01-01,26.19
2016-01-08,24.29
2016-01-15,23.63
2016-01-22,24.18
2016-01-29,24.33
2016-02-05,23.6
2016-02-12,23.12
2016-02-19,23.89
2016-02-26,23.65
2016-03-04,24.56
2016-03-11,25.11
2016-03-18,25.55
2016-03-25,25.17
2016-04-01,25.52
2016-04-08,25.02
2016-04-15,25.8
2016-04-22,26.53
2016-04-29,26.23
2016-05-06,25.73
2016-05-13,25.45
2016-05-20,25.31
2016-05-27,26.0
2016-06-03,26.12
2016-06-10,25.15
2016-06-17,24.93
2016-06-24,23.49
2016-07-01,24.12
2016-07-08,23.65
2016-07-15,24.73
2016-07-22,24.78
2016-07-29,25.65
2016-08-05,25.51
2016-08-12,26.5
2016-08-19,26.56
2016-08-26,26.15
2016-09-02,26.54
2016-09-09,26.07
2016-09-16,25.52
2016-09-23,26.44
2016-09-30,26.27
2016-10-07,26.08
2016-10-14,25.77
2016-10-21,25.84
2016-10-28,25.86
2016-11-04,25.19
2016-11-11,25.49
2016-11-18,24.86
2016-11-25,24.97
2016-12-02,24.74
2016-12-09,26.09
2016-12-16,26.13
2016-12-23,26.31
2016-12-30,26.48
2017-01-06,26.86
2017-01-13,27.12
2017-01-20,27.31
2017-01-27,27.78
2017-02-03,27.65
2017-02-10,27.31
2017-02-17,27.54
2017-02-24,27.48
2017-03-03,27.99
2017-03-10,28.05
2017-03-17,28.41
2017-03-24,28.55
2017-03-31,28.75
2017-04-07,28.43
2017-04-14,28.15
2017-04-21,28.34
2017-04-28,29.68
2017-05-05,30.88
2017-05-12,30.54
2017-05-19,30.96
2017-05-26,30.79
2017-06-02,31.69
2017-06-09,31.28
2017-06-16,31.23
2017-06-23,30.54
2017-06-30,30.27
2017-07-07,30.32
2017-07-14,31.09
2017-07-21,30.66
2017-07-28,30.69
2017-08-04,31.06
2017-08-11,30.4
2017-08-18,30.64
2017-08-25,31.09
2017-09-01,30.85
2017-09-08,31.59
2017-09-15,32.02
2017-09-22,32.19
2017-09-29,32.43
2017-10-06,32.48
2017-10-13,32.84
2017-10-20,32.63
2017-10-27,32.74
2017-11-03,33.39
2017-11-10,32.74
2017-11-17,32.71
2017-11-24,33.32
2017-12-01,32.95
2017-12-08,33.14
2017-12-15,33.03
2017-12-22,33.1
2017-12-29,33.02
2018-01-05,34.33
2018-01-12,34.51
2018-01-19,35.24
2018-01-26,35.54
2018-02-02,33.86
2018-02-09,32.08
2018-02-16,33.28
2018-02-23,33.13
2018-03-02,31.81
2018-03-09,32.79
2018-03-16,32.63
2018-03-23,31.31
2018-03-30,32.04
2018-04-06,32.09
2018-04-13,32.89
2018-04-20,32.96
2018-04-27,32.65
2018-05-04,32.84
2018-05-11,33.15
2018-05-18,32.88
2018-05-25,32.2
2018-06-01,31.81
2018-06-08,32.2
2018-06-15,32.43
2018-06-22,30.63
2018-06-29,29.98
2018-07-06,30.65
2018-07-13,30.63
2018-07-20,30.77
2018-07-27,31.25
2018-08-03,30.69
2018-08-10,29.72
2018-08-17,29.42
2018-08-24,30.37
2018-08-31,30.23
2018-09-07,29.13
2018-09-14,29.71
2018-09-21,30.58
2018-09-28,29.74
2018-10-05,29.19
2018-10-12,27.95
2018-10-19,27.84
2018-10-26,26.78
2018-11-02,27.78
2018-11-09,27.48
2018-11-16,27.28
2018-11-23,26.56
2018-11-30,26.84
2018-12-07,25.66
2018-12-14,25.58
2018-12-21,24.95
2018-12-28,25.23
2019-01-04,25.76
2019-01-11,26.12
2019-01-18,26.69
2019-01-25,26.95
2019-02-01,26.81
2019-02-08,25.91
2019-02-15,26.7
2019-02-22,27.03
2019-03-01,27.6
2019-03-08,26.89
2019-03-15,27.58
2019-03-22,26.74
2019-03-29,26.92
2019-04-05,27.94
2019-04-12,28.22
2019-04-19,28.57
2019-04-26,28.54
2019-05-03,28.95
2019-05-10,28.34
2019-05-17,28.05
2019-05-24,27.7
2019-05-31,26.92
2019-06-07,27.87
2019-06-14,27.69
2019-06-21,27.76
2019-06-28,28.05
2019-07-05,28.07
2019-07-12,27.63
2019-07-19,27.28
2019-07-26,27.54
2019-08-02,26.52
2019-08-09,26.27
2019-08-16,25.6
2019-08-23,25.69
2019-08-30,26.25
2019-09-06,26.86
2019-09-13,27.51
2019-09-20,27.18
2019-09-27,26.82
2019-10-04,26.44
2019-10-11,27.29
2019-10-18,28.09
2019-10-25,28.41
2019-11-01,28.78
2019-11-08,29.02
2019-11-15,29.04
2019-11-22,28.87
2019-11-29,28.94
2019-12-06,28.95
2019-12-13,29.41
2019-12-20,29.3
2019-12-27,29.56
2020-01-03,29.31
