date,value
2015-01-02,37.6301
2015-01-09,37.2798
2015-01-16,37.47
2015-01-23,37.43
2015-01-30,37.93
2015-02-06,38.86
2015-02-13,39.75
2015-02-20,40.74
2015-02-27,40.3404
2015-03-06,39.276
2015-03-13,39.1194
2015-03-20,40.17
2015-03-27,39.92
2015-04-03,40.426
2015-04-10,40.96
2015-04-17,40.26
2015-04-24,40.81
2015-05-01,41.0599
2015-05-08,41.8401
2015-05-15,43.13
2015-05-22,42.0799
2015-05-29,41.03
2015-06-05,40.83
2015-06-12,40.8501
2015-06-19,40.6
2015-06-26,40.8
2015-07-03,39.7
2015-07-10,40.73
2015-07-17,40.86
2015-07-24,40.8
2015-07-31,40.72
2015-08-07,41.16
2015-08-14,41.3301
2015-08-21,38.6801
2015-08-28,39.7
2015-09-04,39.0096
2015-09-11,40.465
2015-09-18,40.6
2015-09-25,39.275
2015-10-02,40.23
2015-10-09,41.4899
2015-10-16,40.61
2015-10-23,41.5866
2015-10-30,41.27
2015-11-06,41.19
2015-11-13,39.697
2015-11-20,40.63
2015-11-27,40.7699
2015-12-04,42.04
2015-12-11,40.3731
2015-12-18,41.09
2015-12-25,41.68
2016-01-01,41.35
2016-01-08,38.89
2016-01-15,37.2852
2016-01-22,37.89
2016-01-29,38.461
2016-02-05,37.67
2016-02-12,36.77
2016-02-19,38.451
2016-02-26,37.94
2016-03-04,39.8599
2016-03-11,39.98
2016-03-18,40.9011
2016-03-25,40.48
2016-04-01,42.08
2016-04-08,41.72
2016-04-15,41.54
2016-04-22,41.39
2016-04-29,42.0799
2016-05-06,41.63
2016-05-13,41.71
2016-05-20,42.1
2016-05-27,43.0181
2016-06-03,43.7279
2016-06-10,42.2
2016-06-17,41.519
2016-06-24,40.0
2016-07-01,40.5
2016-07-08,39.6
2016-07-15,40.77
2016-07-22,41.21
2016-07-29,43.0001
2016-08-05,42.565
2016-08-12,43.64
2016-08-19,43.93
2016-08-26,43.17
2016-09-02,43.86
2016-09-09,43.57
2016-09-16,43.174
2016-09-23,44.199
2016-09-30,44.26
2016-10-07,43.5912
2016-10-14,42.95
2016-10-21,42.74
2016-10-28,42.26
2016-11-04,41.58
2016-11-11,40.8777
2016-11-18,40.05
2016-11-25,40.0996
2016-12-02,39.36
2016-12-09,40.54
2016-12-16,40.33
2016-12-23,40.63
2016-12-30,41.44
2017-01-06,41.951
2017-01-13,42.659
2017-01-20,42.96
2017-01-27,43.665
2017-02-03,43.7429
2017-02-10,43.524
2017-02-17,44.38
2017-02-24,43.74
2017-03-03,44.6427
2017-03-10,45.34
2017-03-17,46.15
2017-03-24,46.389
2017-03-31,46.55
2017-04-07,46.3606
2017-04-14,46.29
2017-04-21,46.76
2017-04-28,49.1899
2017-05-05,51.0
2017-05-12,50.959
2017-05-19,52.07
2017-05-26,52.93
2017-06-02,54.73
2017-06-09,53.45
2017-06-16,53.1938
2017-06-23,52.4
2017-06-30,52.1172
2017-07-07,52.425
2017-07-14,54.5874
2017-07-21,54.7964
2017-07-28,55.36
2017-08-04,56.46
2017-08-11,55.43
2017-08-18,56.3001
2017-08-25,57.2043
2017-09-01,57.615
2017-09-08,58.9
2017-09-15,59.36
2017-09-22,60.421
2017-09-29,60.54
2017-10-06,60.48
2017-10-13,61.4955
2017-10-20,60.7
2017-10-27,60.88
2017-11-03,61.745
2017-11-10,60.36
2017-11-17,61.4472
2017-11-24,63.04
2017-12-01,62.411
2017-12-08,62.13
2017-12-15,62.24
2017-12-22,63.31
2017-12-29,64.25
2018-01-05,67.235
2018-01-12,68.29
2018-01-19,69.27
2018-01-26,70.2
2018-02-02,67.17
2018-02-09,63.61
2018-02-16,66.5
2018-02-23,66.1399
2018-03-02,63.66
2018-03-09,66.36
2018-03-16,65.85
2018-03-23,64.11
2018-03-30,64.49
2018-04-06,63.89
2018-04-13,66.15
2018-04-20,66.5811
2018-04-27,65.3112
2018-05-04,65.61
2018-05-11,66.55
2018-05-18,65.8689
2018-05-25,65.005
2018-06-01,64.22
2018-06-08,65.268
2018-06-15,64.7552
2018-06-22,61.9602
2018-06-29,60.25
2018-07-06,61.41
2018-07-13,61.775
2018-07-20,62.9
2018-07-27,63.44
2018-08-03,62.6
2018-08-10,61.546
2018-08-17,60.8
2018-08-24,62.8844
2018-08-31,63.05
2018-09-07,60.5801
2018-09-14,61.51
2018-09-21,61.7
2018-09-28,59.8156
2018-10-05,57.66
2018-10-12,54.6001
2018-10-19,55.18
2018-10-26,52.403
2018-11-02,55.5
2018-11-09,54.8084
2018-11-16,53.16
2018-11-23,51.8808
2018-11-30,52.51
2018-12-07,50.3561
2018-12-14,49.82
2018-12-21,47.39
2018-12-28,48.1866
2019-01-04,49.1
2019-01-11,50.9652
2019-01-18,51.81
2019-01-25,53.29
2019-02-01,53.17
2019-02-08,51.645
2019-02-15,53.27
2019-02-22,53.77
2019-03-01,54.7552
2019-03-08,53.005
2019-03-15,54.3916
2019-03-22,53.7387
2019-03-29,54.2302
2019-04-05,56.2399
2019-04-12,56.45
2019-04-19,57.3448
2019-04-26,56.624
2019-05-03,57.28
2019-05-10,56.8084
2019-05-17,55.8382
2019-05-24,55.05
2019-05-31,53.51
2019-06-07,54.562
2019-06-14,54.2126
2019-06-21,54.6589
2019-06-28,55.4359
2019-07-05,55.9158
2019-07-12,54.984
2019-07-19,53.87
2019-07-26,55.0571
2019-08-02,53.6266
2019-08-09,53.3715
2019-08-16,51.228
2019-08-23,51.82
2019-08-30,52.615
2019-09-06,53.2183
2019-09-13,54.5
2019-09-20,53.9
2019-09-27,52.82
2019-10-04,53.15
2019-10-11,53.76
2019-10-18,55.1
2019-10-25,55.1755
2019-11-01,56.523
2019-11-08,56.863
2019-11-15,56.77
2019-11-22,56.35
2019-11-29,56.94
2019-12-06,57.78
2019-12-13,59.265
2019-12-20,59.75
2019-12-27,60.7885
2020-01-03,60.6054
