date,value
2015-01-02,11.26
2015-01-09,11.13
2015-01-16,11.34
2015-01-23,11.46
2015-01-30,11.49
2015-02-06,11.65
2015-02-13,11.93
2015-02-20,12.33
2015-02-27,12.35
2015-03-06,12.31
2015-03-13,12.48
2015-03-20,12.81
2015-03-27,12.73
2015-04-03,12.69
2015-04-10,12.94
2015-04-17,12.925
2015-04-24,13.31
2015-05-01,13.02
2015-05-08,13.14
2015-05-15,13.14
2015-05-22,13.28
2015-05-29,13.05
2015-06-05,12.96
2015-06-12,12.96
2015-06-19,12.85
2015-06-26,13.08
2015-07-03,12.9
2015-07-10,12.66
2015-07-17,12.98
2015-07-24,12.75
2015-07-31,12.93
2015-08-07,12.94
2015-08-14,12.92
2015-08-21,11.92
2015-08-28,12.31
2015-09-04,11.49
2015-09-11,11.74
2015-09-18,11.51
2015-09-25,11.61
2015-10-02,11.65
2015-10-09,12.1
2015-10-16,12.21
2015-10-23,12.51
2015-10-30,12.32
2015-11-06,12.4
2015-11-13,12.35
2015-11-20,12.62
2015-11-27,12.48
2015-12-04,12.42
2015-12-11,12.01
2015-12-18,12.095
2015-12-25,12.12
2016-01-01,12.12
2016-01-08,11.44
2016-01-15,11.175
2016-01-22,11.29
2016-01-29,11.5
2016-02-05,10.95
2016-02-12,10.41
2016-02-19,10.83
2016-02-26,11.06
2016-03-04,11.52
2016-03-11,11.53
2016-03-18,11.45
2016-03-25,11.35
2016-04-01,11.13
2016-04-08,11.33
2016-04-15,11.78
2016-04-22,12.21
2016-04-29,11.42
2016-05-06,11.54
2016-05-13,11.53
2016-05-20,11.62
2016-05-27,11.695
2016-06-03,11.73
2016-06-10,11.65
2016-06-17,11.43
2016-06-24,11.34
2016-07-01,11.48
2016-07-08,11.57
2016-07-15,11.88
2016-07-22,11.86
2016-07-29,12.06
2016-08-05,12.1
2016-08-12,12.33
2016-08-19,12.3
2016-08-26,12.22
2016-09-02,12.46
2016-09-09,12.33
2016-09-16,12.09
2016-09-23,12.64
2016-09-30,12.54
2016-10-07,12.45
2016-10-14,12.34
2016-10-21,12.57
2016-10-28,12.62
2016-11-04,12.38
2016-11-11,49.5
2016-11-18,49.39
2016-11-25,49.49
2016-12-02,49.62
2016-12-09,51.25
2016-12-16,50.12
2016-12-23,49.76
2016-12-30,48.86
2017-01-06,50.46
2017-01-13,50.89
2017-01-20,50.49
2017-01-27,50.83
2017-02-03,51.05
2017-02-10,51.38
2017-02-17,51.19
2017-02-24,51.52
2017-03-03,51.37
2017-03-10,51.34
2017-03-17,51.83
2017-03-24,51.87
2017-03-31,51.5
2017-04-07,51.07
2017-04-14,50.61
2017-04-21,51.46
2017-04-28,51.86
2017-05-05,52.77
2017-05-12,52.37
2017-05-19,53.05
2017-05-26,53.18
2017-06-02,54.9
2017-06-09,54.09
2017-06-16,54.22
2017-06-23,54.05
2017-06-30,53.65
2017-07-07,52.98
2017-07-14,53.63
2017-07-21,54.36
2017-07-28,54.58
2017-08-04,55.14
2017-08-11,54.07
2017-08-18,54.45
2017-08-25,54.36
2017-09-01,54.49
2017-09-08,54.97
2017-09-15,55.24
2017-09-22,55.43
2017-09-29,55.71
2017-10-06,55.99
2017-10-13,57.38
2017-10-20,57.52
2017-10-27,58.42
2017-11-03,59.19
2017-11-10,59.08
2017-11-17,58.69
2017-11-24,60.05
2017-12-01,59.64
2017-12-08,59.6
2017-12-15,59.9
2017-12-22,60.01
2017-12-29,59.93
2018-01-05,62.04
2018-01-12,63.46
2018-01-19,63.83
2018-01-26,64.67
2018-02-02,62.32
2018-02-09,59.07
2018-02-16,61.6
2018-02-23,61.66
2018-03-02,59.97
2018-03-09,60.62
2018-03-16,60.69
2018-03-23,58.28
2018-03-30,60.68
2018-04-06,59.62
2018-04-13,60.23
2018-04-20,60.69
2018-04-27,60.78
2018-05-04,60.73
2018-05-11,61.28
2018-05-18,61.01
2018-05-25,60.13
2018-06-01,60.15
2018-06-08,60.84
2018-06-15,60.32
2018-06-22,58.88
2018-06-29,57.91
2018-07-06,57.2
2018-07-13,57.56
2018-07-20,58.19
2018-07-27,59.43
2018-08-03,58.57
2018-08-10,57.5
2018-08-17,57.19
2018-08-24,57.61
2018-08-31,58.22
2018-09-07,56.67
2018-09-14,58.12
2018-09-21,60.04
2018-09-28,60.23
2018-10-05,59.17
2018-10-12,56.73
2018-10-19,56.65
2018-10-26,53.97
2018-11-02,55.02
2018-11-09,55.1
2018-11-16,54.7
2018-11-23,54.08
2018-11-30,55.34
2018-12-07,53.54
2018-12-14,52.96
2018-12-21,49.66
2018-12-28,50.78
2019-01-04,52.47
2019-01-11,52.84
2019-01-18,54.15
2019-01-25,53.92
2019-02-01,54.06
2019-02-08,52.73
2019-02-15,54.49
2019-02-22,54.68
2019-03-01,54.52
2019-03-08,53.35
2019-03-15,54.31
2019-03-22,54.28
2019-03-29,54.72
2019-04-05,55.37
2019-04-12,55.06
2019-04-19,55.35
2019-04-26,55.4
2019-05-03,55.96
2019-05-10,54.07
2019-05-17,53.69
2019-05-24,53.75
2019-05-31,52.72
2019-06-07,54.38
2019-06-14,54.0
2019-06-21,54.46
2019-06-28,54.58
2019-07-05,55.45
2019-07-12,55.09
2019-07-19,54.67
