date,value
2019-03-08,32.89
2019-03-15,33.0
2019-03-22,33.4625
2019-03-29,33.99
2019-04-05,33.95
2019-04-12,33.95
2019-04-19,33.93
2019-04-26,33.78
2019-05-03,33.96
2019-05-10,32.6
2019-05-17,32.69
2019-05-24,32.5
2019-05-31,32.35
2019-06-07,32.35
2019-06-14,33.19
2019-06-21,32.734
2019-06-28,33.19
2019-07-05,33.19
2019-07-12,33.19
2019-07-19,33.19
2019-07-26,33.19
2019-08-02,33.19
2019-08-09,32.3
2019-08-16,32.3
2019-08-23,32.3
2019-08-30,32.3
2019-09-06,32.77
2019-09-13,34.21
2019-09-20,34.6301
2019-09-27,34.42
2019-10-04,34.1
2019-10-11,34.91
2019-10-18,34.847
2019-10-25,35.47
2019-11-01,36.01
2019-11-08,36.21
2019-11-15,36.41
2019-11-22,36.49
2019-11-29,36.2734
2019-12-06,37.074
2019-12-13,36.9097
2019-12-20,36.225
2019-12-27,36.12
2020-01-03,36.21
