date,value
2015-01-02,34.98
2015-01-09,32.33
2015-01-16,32.74
2015-01-23,33.04
2015-01-30,32.63
2015-02-06,33.19
2015-02-13,34.41
2015-02-20,35.21
2015-02-27,34.97
2015-03-06,33.52
2015-03-13,32.52
2015-03-20,34.42
2015-03-27,34.99
2015-04-03,35.83
2015-04-10,35.11
2015-04-17,34.62
2015-04-24,35.29
2015-05-01,36.27
2015-05-08,36.32
2015-05-15,36.86
2015-05-22,36.0
2015-05-29,34.82
2015-06-05,34.71
2015-06-12,35.16
2015-06-19,35.15
2015-06-26,35.33
2015-07-03,33.53
2015-07-10,34.54
2015-07-17,34.81
2015-07-24,34.38
2015-07-31,34.26
2015-08-07,34.24
2015-08-14,33.97
2015-08-21,32.31
2015-08-28,32.25
2015-09-04,30.31
2015-09-11,30.89
2015-09-18,30.95
2015-09-25,29.24
2015-10-02,30.39
2015-10-09,32.67
2015-10-16,32.5
2015-10-23,32.22
2015-10-30,31.45
2015-11-06,31.3
2015-11-13,30.05
2015-11-20,30.46
2015-11-27,30.35
2015-12-04,30.9
2015-12-11,29.35
2015-12-18,29.28
2015-12-25,29.11
2016-01-01,28.27
2016-01-08,26.49
2016-01-15,25.54
2016-01-22,26.01
2016-01-29,26.36
2016-02-05,26.01
2016-02-12,24.5
2016-02-19,24.94
2016-02-26,25.01
2016-03-04,26.56
2016-03-11,28.06
2016-03-18,28.07
2016-03-25,27.12
2016-04-01,27.02
2016-04-08,26.41
2016-04-15,27.6
2016-04-22,28.78
2016-04-29,28.84
2016-05-06,27.71
2016-05-13,27.13
2016-05-20,27.39
2016-05-27,28.13
2016-06-03,27.81
2016-06-10,26.46
2016-06-17,26.39
2016-06-24,23.13
2016-07-01,24.99
2016-07-08,24.68
2016-07-15,25.7
2016-07-22,25.77
2016-07-29,26.26
2016-08-05,25.74
2016-08-12,26.5
2016-08-19,26.07
2016-08-26,26.21
2016-09-02,27.14
2016-09-09,27.41
2016-09-16,26.28
2016-09-23,26.87
2016-09-30,26.82
2016-10-07,26.38
2016-10-14,26.18
2016-10-21,27.06
2016-10-28,27.44
2016-11-04,26.69
2016-11-11,25.85
2016-11-18,25.07
2016-11-25,25.18
2016-12-02,25.18
2016-12-09,26.84
2016-12-16,27.06
2016-12-23,26.42
2016-12-30,26.51
2017-01-06,27.23
2017-01-13,27.35
2017-01-20,27.16
2017-01-27,27.62
2017-02-03,27.77
2017-02-10,27.08
2017-02-17,27.39
2017-02-24,27.02
2017-03-03,28.12
2017-03-10,29.05
2017-03-17,29.88
2017-03-24,30.31
2017-03-31,30.41
2017-04-07,30.44
2017-04-14,29.79
2017-04-21,30.39
2017-04-28,31.92
2017-05-05,33.93
2017-05-12,32.72
2017-05-19,33.3
2017-05-26,33.29
2017-06-02,33.69
2017-06-09,33.64
2017-06-16,33.33
2017-06-23,32.46
2017-06-30,32.84
2017-07-07,33.01
2017-07-14,33.6
2017-07-21,33.4
2017-07-28,34.14
2017-08-04,34.6
2017-08-11,33.32
2017-08-18,33.44
2017-08-25,33.82
2017-09-01,33.74
2017-09-08,33.37
2017-09-15,33.78
2017-09-22,33.81
2017-09-29,33.74
2017-10-06,32.87
2017-10-13,33.32
2017-10-20,33.08
2017-10-27,32.54
2017-11-03,33.22
2017-11-10,32.61
2017-11-17,32.72
2017-11-24,33.15
2017-12-01,33.38
2017-12-08,33.52
2017-12-15,33.01
