date,value
2015-01-02,24.52
2015-01-09,23.85
2015-01-16,24.52
2015-01-23,24.95
2015-01-30,24.95
2015-02-06,25.4
2015-02-13,26.18
2015-02-20,26.67
2015-02-27,26.5
2015-03-06,25.81
2015-03-13,25.34
2015-03-20,26.42
2015-03-27,26.42
2015-04-03,26.56
2015-04-10,26.75
2015-04-17,26.67
2015-04-24,27.16
2015-05-01,27.51
2015-05-08,27.54
2015-05-15,27.87
2015-05-22,27.56
2015-05-29,26.93
2015-06-05,26.7
2015-06-12,26.97
2015-06-19,26.67
2015-06-26,27.12
2015-07-03,25.79
2015-07-10,26.41
2015-07-17,26.66
2015-07-24,26.51
2015-07-31,26.78
2015-08-07,27.14
2015-08-14,26.62
2015-08-21,25.14
2015-08-28,25.06
2015-09-04,24.19
2015-09-11,24.95
2015-09-18,24.64
2015-09-25,24.04
2015-10-02,24.49
2015-10-09,25.71
2015-10-16,25.79
2015-10-23,26.2
2015-10-30,25.79
2015-11-06,25.83
2015-11-13,24.8
2015-11-20,25.18
2015-11-27,25.14
2015-12-04,25.09
2015-12-11,24.07
2015-12-18,24.06
2015-12-25,24.61
2016-01-01,24.21
2016-01-08,22.71
2016-01-15,22.11
2016-01-22,22.76
2016-01-29,23.29
2016-02-05,22.75
2016-02-12,21.88
2016-02-19,22.8
2016-02-26,22.76
2016-03-04,23.63
2016-03-11,24.31
2016-03-18,24.44
2016-03-25,23.69
2016-04-01,23.97
2016-04-08,23.75
2016-04-15,24.48
2016-04-22,24.89
2016-04-29,24.75
2016-05-06,24.23
2016-05-13,23.92
2016-05-20,24.06
2016-05-27,24.75
2016-06-03,24.86
2016-06-10,23.93
2016-06-17,23.64
2016-06-24,21.9
2016-07-01,22.89
2016-07-08,22.35
2016-07-15,23.28
2016-07-22,23.22
2016-07-29,23.95
2016-08-05,23.58
2016-08-12,24.21
2016-08-19,24.12
2016-08-26,23.87
2016-09-02,24.47
2016-09-09,24.15
2016-09-16,23.44
2016-09-23,24.22
2016-09-30,24.16
2016-10-07,24.02
2016-10-14,23.73
2016-10-21,23.93
2016-10-28,24.06
2016-11-04,23.53
2016-11-11,23.62
2016-11-18,23.15
2016-11-25,23.37
2016-12-02,23.39
2016-12-09,24.44
2016-12-16,24.36
2016-12-23,24.43
2016-12-30,24.67
2017-01-06,24.96
2017-01-13,25.24
2017-01-20,25.18
2017-01-27,25.14
2017-02-03,25.22
2017-02-10,24.93
2017-02-17,25.02
2017-02-24,24.86
2017-03-03,25.62
2017-03-10,25.8
2017-03-17,26.11
2017-03-24,26.29
2017-03-31,26.51
2017-04-07,26.43
2017-04-14,26.11
2017-04-21,26.41
2017-04-28,28.02
2017-05-05,29.47
2017-05-12,28.97
2017-05-19,29.36
2017-05-26,29.37
2017-06-02,29.9
2017-06-09,29.38
2017-06-16,29.36
2017-06-23,28.87
2017-06-30,28.76
2017-07-07,28.71
2017-07-14,29.41
2017-07-21,29.39
2017-07-28,29.5
2017-08-04,29.94
2017-08-11,29.25
2017-08-18,29.4
2017-08-25,29.75
2017-09-01,29.8
2017-09-08,30.16
2017-09-15,30.54
2017-09-22,30.9
2017-09-29,30.9
2017-10-06,30.9
2017-10-13,31.07
2017-10-20,31.04
2017-10-27,31.2
2017-11-03,31.35
2017-11-10,30.75
2017-11-17,30.72
2017-11-24,31.5
2017-12-01,31.17
2017-12-08,31.27
2017-12-15,30.94
2017-12-22,31.19
2017-12-29,31.22
2018-01-05,32.25
2018-01-12,32.79
2018-01-19,33.14
2018-01-26,33.73
2018-02-02,32.57
2018-02-09,30.69
2018-02-16,32.15
2018-02-23,32.19
2018-03-02,31.37
2018-03-09,31.98
2018-03-16,31.88
2018-03-23,30.75
2018-03-30,31.4
2018-04-06,31.63
2018-04-13,32.32
2018-04-20,32.72
2018-04-27,32.78
2018-05-04,32.68
2018-05-11,32.84
2018-05-18,32.7
2018-05-25,32.27
2018-06-01,32.09
2018-06-08,32.25
2018-06-15,32.27
2018-06-22,30.83
2018-06-29,30.52
2018-07-06,31.17
2018-07-13,31.37
2018-07-20,31.28
2018-07-27,31.52
2018-08-03,31.39
2018-08-10,30.42
2018-08-17,30.27
2018-08-24,31.22
2018-08-31,31.02
2018-09-07,30.02
2018-09-14,30.78
2018-09-21,31.79
2018-09-28,31.39
2018-10-05,30.45
2018-10-12,29.19
2018-10-19,28.97
2018-10-26,28.05
2018-11-02,28.79
2018-11-09,28.69
2018-11-16,28.44
2018-11-23,27.63
2018-11-30,28.08
2018-12-07,27.04
2018-12-14,26.97
2018-12-21,25.97
2018-12-28,26.32
2019-01-04,26.61
2019-01-11,27.02
2019-01-18,27.29
2019-01-25,27.61
2019-02-01,28.25
2019-02-08,27.76
2019-02-15,28.65
2019-02-22,29.06
2019-03-01,29.58
2019-03-08,29.02
2019-03-15,30.08
2019-03-22,29.19
2019-03-29,29.47
2019-04-05,30.25
2019-04-12,30.56
2019-04-19,30.78
2019-04-26,30.54
2019-05-03,30.72
2019-05-10,29.95
2019-05-17,29.91
2019-05-24,29.64
2019-05-31,29.0
2019-06-07,30.31
2019-06-14,30.05
2019-06-21,30.47
2019-06-28,30.65
2019-07-05,30.66
2019-07-12,30.62
2019-07-19,30.41
2019-07-26,30.43
2019-08-02,29.18
2019-08-09,29.29
2019-08-16,28.73
2019-08-23,28.77
2019-08-30,29.5025
2019-09-06,30.08
2019-09-13,30.51
2019-09-20,30.41
2019-09-27,29.93
2019-10-04,29.5
2019-10-11,30.34
2019-10-18,30.68
2019-10-25,30.92
2019-11-01,31.43
2019-11-08,31.68
2019-11-15,31.93
2019-11-22,31.7
2019-11-29,31.66
2019-12-06,31.69
2019-12-13,32.12
2019-12-20,32.35
2019-12-27,32.67
2020-01-03,32.6
