date,value
2015-01-02,17.86
2015-01-09,17.59
2015-01-16,17.79
2015-01-23,18.2
2015-01-30,18.04
2015-02-06,18.56
2015-02-13,18.91
2015-02-20,19.09
2015-02-27,19.1
2015-03-06,18.54
2015-03-13,17.89
2015-03-20,18.82
2015-03-27,18.34
2015-04-03,18.22
2015-04-10,18.63
2015-04-17,18.84
2015-04-24,19.31
2015-05-01,19.22
2015-05-08,19.65
2015-05-15,19.84
2015-05-22,19.7
2015-05-29,19.33
2015-06-05,18.86
2015-06-12,19.13
2015-06-19,19.24
2015-06-26,18.9
2015-07-03,18.38
2015-07-10,18.42
2015-07-17,18.78
2015-07-24,18.03
2015-07-31,18.54
2015-08-07,18.54
2015-08-14,18.38
2015-08-21,17.18
2015-08-28,17.15
2015-09-04,16.35
2015-09-11,16.95
2015-09-18,16.88
2015-09-25,16.46
2015-10-02,16.89
2015-10-09,17.58
2015-10-16,17.64
2015-10-23,17.7
2015-10-30,17.47
2015-11-06,17.17
2015-11-13,16.62
2015-11-20,17.18
2015-11-27,17.18
2015-12-04,17.01
2015-12-11,16.18
2015-12-18,16.04
2015-12-25,16.39
2016-01-01,16.14
2016-01-08,15.02
2016-01-15,14.5
2016-01-22,14.88
2016-01-29,15.36
2016-02-05,14.93
2016-02-12,14.64
2016-02-19,15.09
2016-02-26,14.91
2016-03-04,15.57
2016-03-11,15.69
2016-03-18,15.89
2016-03-25,15.39
2016-04-01,15.53
2016-04-08,15.53
2016-04-15,15.99
2016-04-22,16.27
2016-04-29,16.31
2016-05-06,15.83
2016-05-13,15.64
2016-05-20,15.95
2016-05-27,16.41
2016-06-03,16.27
2016-06-10,15.63
2016-06-17,15.6
2016-06-24,14.57
2016-07-01,15.37
2016-07-08,14.97
2016-07-15,15.47
2016-07-22,15.45
2016-07-29,15.6
2016-08-05,15.58
2016-08-12,15.75
2016-08-19,15.87
2016-08-26,15.79
2016-09-02,16.2
2016-09-09,15.81
2016-09-16,15.5
2016-09-23,15.8
2016-09-30,15.84
2016-10-07,15.55
2016-10-14,15.1
2016-10-21,15.21
2016-10-28,15.01
2016-11-04,14.73
2016-11-11,30.1
2016-11-18,29.68
2016-11-25,30.29
2016-12-02,30.35
2016-12-09,31.18
2016-12-16,31.04
2016-12-23,30.41
2016-12-30,30.69
2017-01-06,31.12
2017-01-13,31.33
2017-01-20,31.17
2017-01-27,31.58
2017-02-03,31.5
2017-02-10,31.83
2017-02-17,31.95
2017-02-24,31.98
2017-03-03,32.03
2017-03-10,31.66
2017-03-17,32.66
2017-03-24,32.47
2017-03-31,32.55
2017-04-07,32.3
2017-04-14,32.42
2017-04-21,32.37
2017-04-28,33.1
2017-05-05,33.71
2017-05-12,34.07
2017-05-19,34.83
2017-05-26,34.48
2017-06-02,34.8
2017-06-09,34.19
2017-06-16,34.23
2017-06-23,33.04
2017-06-30,33.33
2017-07-07,33.19
2017-07-14,33.9
2017-07-21,33.93
2017-07-28,33.96
2017-08-04,34.38
2017-08-11,33.46
2017-08-18,33.19
2017-08-25,33.58
2017-09-01,33.99
2017-09-08,34.24
2017-09-15,34.53
2017-09-22,34.84
2017-09-29,34.85
2017-10-06,34.66
2017-10-13,35.35
2017-10-20,34.98
2017-10-27,34.68
2017-11-03,34.85
2017-11-10,34.64
2017-11-17,34.44
2017-11-24,34.96
2017-12-01,34.93
2017-12-08,35.05
2017-12-15,35.32
2017-12-22,35.33
2017-12-29,35.82
2018-01-05,36.39
2018-01-12,37.11
2018-01-19,37.29
2018-01-26,37.88
2018-02-02,36.27
2018-02-09,34.28
2018-02-16,35.62
2018-02-23,35.51
2018-03-02,34.37
2018-03-09,35.07
2018-03-16,34.86
2018-03-23,33.92
2018-03-30,34.75
2018-04-06,35.27
2018-04-13,36.28
2018-04-20,36.27
2018-04-27,36.34
2018-05-04,36.07
2018-05-11,36.77
2018-05-18,36.94
2018-05-25,36.21
2018-06-01,36.27
2018-06-08,36.43
2018-06-15,35.96
2018-06-22,35.08
2018-06-29,34.78
2018-07-06,34.95
2018-07-13,35.05
2018-07-20,34.79
2018-07-27,34.78
2018-08-03,34.49
2018-08-10,33.97
2018-08-17,33.51
2018-08-24,33.83
2018-08-31,33.57
2018-09-07,32.79
2018-09-14,33.28
2018-09-21,34.15
2018-09-28,34.12
2018-10-05,33.53
2018-10-12,32.32
2018-10-19,32.22
2018-10-26,31.2
2018-11-02,32.26
2018-11-09,32.38
2018-11-16,31.71
2018-11-23,31.28
2018-11-30,31.43
2018-12-07,30.3
2018-12-14,30.13
2018-12-21,28.82
2018-12-28,29.38
2019-01-04,29.96
2019-01-11,30.57
2019-01-18,30.96
2019-01-25,30.9
2019-02-01,31.6
2019-02-08,31.69
2019-02-15,32.22
2019-02-22,32.46
2019-03-01,32.63
2019-03-08,32.29
2019-03-15,33.42
2019-03-22,32.96
2019-03-29,33.01
2019-04-05,33.8
2019-04-12,33.94
2019-04-19,33.81
2019-04-26,33.52
2019-05-03,33.87
2019-05-10,33.0
2019-05-17,32.68
2019-05-24,32.4
2019-05-31,31.69
2019-06-07,32.75
2019-06-14,32.48
2019-06-21,32.15
2019-06-28,32.32
2019-07-05,32.42
2019-07-12,32.26
2019-07-19,32.11
2019-07-26,32.04
2019-08-02,30.71
2019-08-09,30.09
2019-08-16,29.8
2019-08-23,29.79
2019-08-30,30.34
2019-09-06,30.98
2019-09-13,31.63
2019-09-20,31.56
2019-09-27,31.39
2019-10-04,30.59
2019-10-11,31.64
2019-10-18,32.0
2019-10-25,32.46
2019-11-01,32.68
2019-11-08,32.6
2019-11-15,32.64
2019-11-22,32.6
2019-11-29,32.93
2019-12-06,32.9
2019-12-13,34.1
2019-12-20,33.52
2019-12-27,33.98
2020-01-03,33.84
