date,value
2015-01-02,35.36
2015-01-09,36.17
2015-01-16,36.72
2015-01-23,36.8
2015-01-30,34.31
2015-02-06,34.42
2015-02-13,35.05
2015-02-20,34.86
2015-02-27,35.38
2015-03-06,31.93
2015-03-13,29.31
2015-03-20,31.54
2015-03-27,30.29
2015-04-03,33.24
2015-04-10,34.45
2015-04-17,34.535
2015-04-24,37.17
2015-05-01,36.21
2015-05-08,37.19
2015-05-15,37.13
2015-05-22,34.2
2015-05-29,32.27
2015-06-05,32.72
2015-06-12,33.36
2015-06-19,33.8
2015-06-26,33.08
2015-07-03,32.98
2015-07-10,32.06
2015-07-17,31.52
2015-07-24,28.5
2015-07-31,28.69
2015-08-07,26.78
2015-08-14,26.29
2015-08-21,25.1
2015-08-28,25.39
2015-09-04,23.1
2015-09-11,22.9
2015-09-18,22.73
2015-09-25,21.64
2015-10-02,23.02
2015-10-09,25.25
2015-10-16,23.73
2015-10-23,23.6
2015-10-30,22.87
2015-11-06,24.1
2015-11-13,23.2308
2015-11-20,25.48
2015-11-27,23.34
2015-12-04,23.48
2015-12-11,22.47
2015-12-18,21.22
2015-12-25,21.49
2016-01-01,20.68
2016-01-08,19.09
2016-01-15,18.335
2016-01-22,18.08
2016-01-29,19.83
2016-02-05,20.06
2016-02-12,19.34
2016-02-19,19.81
2016-02-26,20.01
2016-03-04,24.99
2016-03-11,26.16
2016-03-18,26.8
2016-03-25,25.68
2016-04-01,26.89
2016-04-08,26.56
2016-04-15,28.59
2016-04-22,28.04
2016-04-29,29.51
2016-05-06,27.96
2016-05-13,27.8
2016-05-20,26.86
2016-05-27,25.8
2016-06-03,27.26
2016-06-10,27.21
2016-06-17,27.44
2016-06-24,27.79
2016-07-01,30.53
2016-07-08,30.39
2016-07-15,32.03
2016-07-22,32.86
2016-07-29,33.24
2016-08-05,34.13
2016-08-12,34.46
2016-08-19,34.49
2016-08-26,32.98
2016-09-02,34.4
2016-09-09,33.08
2016-09-16,32.67
2016-09-23,33.87
2016-09-30,33.73
2016-10-07,35.46
2016-10-14,36.05
2016-10-21,37.77
2016-10-28,37.39
2016-11-04,35.36
2016-11-11,32.5
2016-11-18,32.59
2016-11-25,33.06
2016-12-02,31.68
2016-12-09,32.82
2016-12-16,31.53
2016-12-23,32.27
2016-12-30,33.34
2017-01-06,34.86
2017-01-13,35.94
2017-01-20,36.68
2017-01-27,37.77
2017-02-03,37.6
2017-02-10,38.27
2017-02-17,39.24
2017-02-24,38.36
2017-03-03,38.58
2017-03-10,37.12
2017-03-17,37.23
2017-03-24,37.12
2017-03-31,37.46
2017-04-07,37.0
2017-04-14,36.09
2017-04-21,36.16
2017-04-28,37.17
2017-05-05,37.59
2017-05-12,39.74
2017-05-19,34.96
2017-05-26,35.5
2017-06-02,34.93
2017-06-09,34.24
2017-06-16,34.14
2017-06-23,33.04
2017-06-30,34.14
2017-07-07,34.07
2017-07-14,36.82
2017-07-21,37.06
2017-07-28,37.39
2017-08-04,38.3
2017-08-11,38.0
2017-08-18,39.03
2017-08-25,40.14
2017-09-01,40.61
2017-09-08,41.92
2017-09-15,43.35
2017-09-22,42.73
2017-09-29,41.69
2017-10-06,42.62
2017-10-13,43.34
2017-10-20,42.26
2017-10-27,41.55
2017-11-03,39.31
2017-11-10,38.83
2017-11-17,39.83
2017-11-24,40.73
2017-12-01,39.03
2017-12-08,39.01
2017-12-15,38.76
2017-12-22,39.51
2017-12-29,40.45
2018-01-05,42.84
2018-01-12,43.23
2018-01-19,44.47
2018-01-26,47.33
2018-02-02,45.06
2018-02-09,43.16
2018-02-16,45.54
2018-02-23,46.74
2018-03-02,45.6
2018-03-09,45.99
2018-03-16,44.61
2018-03-23,43.86
2018-03-30,44.88
2018-04-06,43.42
2018-04-13,42.43
2018-04-20,43.16
2018-04-27,43.06
2018-05-04,40.75
2018-05-11,40.94
2018-05-18,38.3
2018-05-25,37.25
2018-06-01,35.81
2018-06-08,34.14
2018-06-15,33.04
2018-06-22,32.04
2018-06-29,32.05
2018-07-06,33.18
2018-07-13,34.05
2018-07-20,35.65
2018-07-27,36.73
2018-08-03,37.55
2018-08-10,33.84
2018-08-17,33.28
2018-08-24,31.97
2018-08-31,32.45
2018-09-07,32.51
2018-09-14,31.22
2018-09-21,33.76
2018-09-28,33.73
2018-10-05,36.66
2018-10-12,38.61
2018-10-19,38.95
2018-10-26,40.04
2018-11-02,41.61
2018-11-09,39.46
2018-11-16,40.48
2018-11-23,38.7
2018-11-30,39.8
2018-12-07,38.66
2018-12-14,38.33
2018-12-21,37.14
2018-12-28,38.08
2019-01-04,41.82
2019-01-11,42.78
2019-01-18,43.2
2019-01-25,43.82
2019-02-01,45.4
2019-02-08,43.07
2019-02-15,44.45
2019-02-22,44.15
2019-03-01,42.35
2019-03-08,41.67
2019-03-15,43.69
2019-03-22,40.43
2019-03-29,40.99
2019-04-05,42.29
2019-04-12,40.32
2019-04-19,40.46
2019-04-26,41.25
2019-05-03,41.19
2019-05-10,40.25
2019-05-17,36.99
2019-05-24,39.22
2019-05-31,41.65
2019-06-07,42.6
2019-06-14,42.24
2019-06-21,44.37
2019-06-28,43.72
2019-07-05,45.24
2019-07-12,46.33
2019-07-19,46.02
2019-07-26,45.44
2019-08-02,43.92
2019-08-09,43.99
2019-08-16,41.65
2019-08-23,39.51
2019-08-30,40.95
2019-09-06,42.13
2019-09-13,42.28
2019-09-20,42.2
2019-09-27,42.23
2019-10-04,42.11
2019-10-11,42.23
2019-10-18,42.42
2019-10-25,44.67
2019-11-01,45.09
2019-11-08,43.02
2019-11-15,43.02
2019-11-22,43.16
2019-11-29,42.47
2019-12-06,44.71
2019-12-13,45.69
2019-12-20,46.25
2019-12-27,47.31
2020-01-03,47.99
