date,value
2015-01-02,37.57
2015-01-09,36.49
2015-01-16,37.38
2015-01-23,37.37
2015-01-30,36.04
2015-02-06,35.0
2015-02-13,33.51
2015-02-20,33.39
2015-02-27,33.92
2015-03-06,32.27
2015-03-13,32.39
2015-03-20,33.2
2015-03-27,32.43
2015-04-03,33.38
2015-04-10,33.38
2015-04-17,32.99
2015-04-24,34.06
2015-05-01,34.12
2015-05-08,33.93
2015-05-15,34.5
2015-05-22,34.4
2015-05-29,33.83
2015-06-05,33.43
2015-06-12,33.9
2015-06-19,33.53
2015-06-26,32.11
2015-07-03,32.05
2015-07-10,32.75
2015-07-17,33.49
2015-07-24,30.91
2015-07-31,32.09
2015-08-07,32.44
2015-08-14,33.08
2015-08-21,33.0
2015-08-28,31.4
2015-09-04,29.72
2015-09-11,29.7
2015-09-18,30.91
2015-09-25,29.5
2015-10-02,29.82
2015-10-09,30.82
2015-10-16,30.46
2015-10-23,29.86
2015-10-30,27.92
2015-11-06,28.09
2015-11-13,28.34
2015-11-20,28.0
2015-11-27,27.62
2015-12-04,26.71
2015-12-11,25.94
2015-12-18,26.9
2015-12-25,27.75
2016-01-01,27.77
2016-01-08,27.82
2016-01-15,27.46
2016-01-22,28.03
2016-01-29,29.57
2016-02-05,32.9
2016-02-12,30.46
2016-02-19,31.24
2016-02-26,31.73
2016-03-04,33.36
2016-03-11,34.73
2016-03-18,34.84
2016-03-25,35.31
2016-04-01,35.66
2016-04-08,34.7
2016-04-15,34.37
2016-04-22,34.09
2016-04-29,35.09
2016-05-06,35.68
2016-05-13,34.94
2016-05-20,34.27
2016-05-27,34.33
2016-06-03,34.96
2016-06-10,34.6
2016-06-17,34.65
2016-06-24,34.39
2016-07-01,36.41
2016-07-08,36.11
2016-07-15,36.49
2016-07-22,37.41
2016-07-29,37.28
2016-08-05,36.14
2016-08-12,34.94
2016-08-19,34.37
2016-08-26,33.9
2016-09-02,34.07
2016-09-09,33.4
2016-09-16,33.83
2016-09-23,34.8
2016-09-30,33.29
2016-10-07,32.18
2016-10-14,32.7
2016-10-21,32.5
2016-10-28,33.23
2016-11-04,32.69
2016-11-11,30.0
2016-11-18,31.73
2016-11-25,32.58
2016-12-02,33.01
2016-12-09,34.9
2016-12-16,35.72
2016-12-23,35.3
2016-12-30,35.49
2017-01-06,36.08
2017-01-13,35.44
2017-01-20,35.8
2017-01-27,35.08
2017-02-03,35.78
2017-02-10,35.02
2017-02-17,35.58
2017-02-24,37.18
2017-03-03,36.32
2017-03-10,35.97
2017-03-17,36.01
2017-03-24,36.12
2017-03-31,35.98
2017-04-07,35.97
2017-04-14,35.97
2017-04-21,35.03
2017-04-28,34.63
2017-05-05,34.34
2017-05-12,34.13
2017-05-19,35.06
2017-05-26,35.82
2017-06-02,36.6
2017-06-09,36.62
2017-06-16,37.08
2017-06-23,36.5
2017-06-30,36.07
2017-07-07,35.58
2017-07-14,36.06
2017-07-21,37.48
2017-07-28,38.4
2017-08-04,38.17
2017-08-11,37.5
2017-08-18,37.99
2017-08-25,38.3
2017-09-01,37.54
2017-09-08,38.17
2017-09-15,37.61
2017-09-22,37.12
2017-09-29,37.67
2017-10-06,38.15
2017-10-13,39.24
2017-10-20,39.58
2017-10-27,40.25
2017-11-03,40.94
2017-11-10,41.3
2017-11-17,41.26
2017-11-24,41.63
2017-12-01,41.83
2017-12-08,41.05
2017-12-15,40.74
2017-12-22,39.01
2017-12-29,39.41
2018-01-05,38.19
2018-01-12,38.39
2018-01-19,37.97
2018-01-26,38.86
2018-02-02,37.72
2018-02-09,36.86
2018-02-16,37.78
2018-02-23,38.24
2018-03-02,36.92
2018-03-09,37.5
2018-03-16,38.38
2018-03-23,37.71
2018-03-30,39.01
2018-04-06,38.63
2018-04-13,38.34
2018-04-20,38.6
2018-04-27,39.85
2018-05-04,41.08
2018-05-11,40.64
2018-05-18,39.44
2018-05-25,40.67
2018-06-01,40.99
2018-06-08,40.0
2018-06-15,41.49
2018-06-22,41.5
2018-06-29,42.6
2018-07-06,43.09
2018-07-13,42.39
2018-07-20,42.05
2018-07-27,42.2
2018-08-03,42.49
2018-08-10,43.13
2018-08-17,44.53
2018-08-24,44.03
2018-08-31,43.71
2018-09-07,44.07
2018-09-14,44.08
2018-09-21,43.65
2018-09-28,43.66
2018-10-05,43.81
2018-10-12,42.91
2018-10-19,44.13
2018-10-26,43.62
2018-11-02,43.4
2018-11-09,45.04
2018-11-16,45.88
2018-11-23,44.85
2018-11-30,46.39
2018-12-07,46.96
2018-12-14,47.06
2018-12-21,45.89
2018-12-28,44.74
2019-01-04,44.62
2019-01-11,45.79
2019-01-18,46.08
2019-01-25,46.43
2019-02-01,47.46
2019-02-08,47.72
2019-02-15,48.26
2019-02-22,48.74
2019-03-01,48.54
2019-03-08,48.78
2019-03-15,50.0
2019-03-22,50.28
2019-03-29,50.13
2019-04-05,49.9
2019-04-12,49.7
2019-04-19,49.4
2019-04-26,50.47
2019-05-03,49.88
2019-05-10,49.33
2019-05-17,48.98
2019-05-24,49.56
2019-05-31,48.08
2019-06-07,49.95
2019-06-14,50.8
2019-06-21,50.4
2019-06-28,47.94
2019-07-05,49.2
2019-07-12,49.06
2019-07-19,47.57
2019-07-26,45.82
2019-08-02,44.75
2019-08-09,45.2
2019-08-16,45.13
2019-08-23,44.88
2019-08-30,47.26
2019-09-06,48.12
2019-09-13,47.27
2019-09-20,48.45
2019-09-27,48.58
2019-10-04,48.45
2019-10-11,47.51
2019-10-18,44.665
2019-10-25,45.89
2019-11-01,45.34
2019-11-08,44.71
2019-11-15,45.02
2019-11-22,44.43
2019-11-29,44.4
2019-12-06,44.86
2019-12-13,43.82
2019-12-20,45.45
2019-12-27,45.41
2020-01-03,45.57
