date,value
2015-01-02,70.48
2015-01-09,69.08
2015-01-16,68.69
2015-01-23,70.5
2015-01-30,69.16
2015-02-06,70.96
2015-02-13,72.24
2015-02-20,73.8301
2015-02-27,73.45
2015-03-06,71.94
2015-03-13,71.69
2015-03-20,73.63
2015-03-27,72.2514
2015-04-03,72.24
2015-04-10,73.8305
2015-04-17,72.87
2015-04-24,73.78
2015-05-01,73.69
2015-05-08,74.1
2015-05-15,74.61
2015-05-22,74.46
2015-05-29,73.07
2015-06-05,72.73
2015-06-12,73.02
2015-06-19,72.97
2015-06-26,71.7
2015-07-03,70.43
2015-07-10,70.29
2015-07-17,71.22
2015-07-24,69.04
2015-07-31,70.43
2015-08-07,70.2
2015-08-14,70.6
2015-08-21,66.28
2015-08-28,66.96
2015-09-04,64.69
2015-09-11,66.27
2015-09-18,65.46
2015-09-25,63.97
2015-10-02,64.99
2015-10-09,68.8454
2015-10-16,67.95
2015-10-23,70.13
2015-10-30,69.81
2015-11-06,70.09
2015-11-13,68.56
2015-11-20,70.59
2015-11-27,70.38
2015-12-04,69.93
2015-12-11,67.53
2015-12-18,66.82
2015-12-25,68.5
2016-01-01,67.62
2016-01-08,63.36
2016-01-15,61.79
2016-01-22,62.45
2016-01-29,64.18
2016-02-05,63.43
2016-02-12,62.33
2016-02-19,64.9796
2016-02-26,66.09
2016-03-04,68.29
2016-03-11,68.655
2016-03-18,70.56
2016-03-25,69.2255
2016-04-01,70.0
2016-04-08,69.3
2016-04-15,71.14
2016-04-22,71.94
2016-04-29,70.96
2016-05-06,70.17
2016-05-13,69.66
2016-05-20,69.88
2016-05-27,70.8601
2016-06-03,71.01
2016-06-10,70.64
2016-06-17,69.93
2016-06-24,67.4
2016-07-01,69.68
2016-07-08,69.9152
2016-07-15,72.31
2016-07-22,71.77
2016-07-29,72.36
2016-08-05,72.3056
2016-08-12,73.6
2016-08-19,74.0
2016-08-26,73.41
2016-09-02,74.13
2016-09-09,72.72
2016-09-16,71.748
2016-09-23,73.7189
2016-09-30,73.79
2016-10-07,73.0722
2016-10-14,72.32
2016-10-21,72.4
2016-10-28,72.18
2016-11-04,71.15
2016-11-11,74.4
2016-11-18,74.16
2016-11-25,75.54
2016-12-02,75.53
2016-12-09,77.27
2016-12-16,76.0
2016-12-23,75.84
2016-12-30,75.36
2017-01-06,76.64
2017-01-13,77.31
2017-01-20,77.23
2017-01-27,78.48
2017-02-03,77.93
2017-02-10,78.63
2017-02-17,79.38
2017-02-24,79.23
2017-03-03,80.08
2017-03-10,79.71
2017-03-17,80.55
2017-03-24,80.01
2017-03-31,80.38
2017-04-07,80.47
2017-04-14,79.665
2017-04-21,80.84
2017-04-28,82.6
2017-05-05,83.95
2017-05-12,83.11
2017-05-19,83.26
2017-05-26,84.01
2017-06-02,85.73
2017-06-09,85.02
2017-06-16,85.9799
2017-06-23,84.68
2017-06-30,84.66
2017-07-07,84.695
2017-07-14,86.03
2017-07-21,85.28
2017-07-28,85.11
2017-08-04,85.99
2017-08-11,84.621
2017-08-18,84.31
2017-08-25,84.67
2017-09-01,85.59
2017-09-08,85.93
2017-09-15,87.29
2017-09-22,88.56
2017-09-29,88.9
2017-10-06,89.35
2017-10-13,89.97
2017-10-20,90.7
2017-10-27,90.48
2017-11-03,90.54
2017-11-10,89.31
2017-11-17,88.51
2017-11-24,89.87
2017-12-01,90.9
2017-12-08,91.53
2017-12-15,91.82
2017-12-22,92.61
2017-12-29,92.87
2018-01-05,95.75
2018-01-12,98.03
2018-01-19,98.08
2018-01-26,99.02
2018-02-02,95.6469
2018-02-09,90.24
2018-02-16,94.48
2018-02-23,94.89
2018-03-02,91.4
2018-03-09,94.34
2018-03-16,93.275
2018-03-23,89.1
2018-03-30,91.39
2018-04-06,89.88
2018-04-13,91.19
2018-04-20,92.85
2018-04-27,90.99
2018-05-04,90.482
2018-05-11,92.84
2018-05-18,92.97
2018-05-25,92.87
2018-06-01,92.51
2018-06-08,93.44
2018-06-15,92.68
2018-06-22,89.235
2018-06-29,87.885
2018-07-06,88.05
2018-07-13,89.48
2018-07-20,90.32
2018-07-27,91.91
2018-08-03,91.13
2018-08-10,89.8016
2018-08-17,90.67
2018-08-24,91.35
2018-08-31,92.08
2018-09-07,91.14
2018-09-14,93.2267
2018-09-21,95.12
2018-09-28,93.66
2018-10-05,92.84
2018-10-12,87.6
2018-10-19,86.63
2018-10-26,82.43
2018-11-02,84.9915
2018-11-09,85.33
2018-11-16,85.0
2018-11-23,83.26
2018-11-30,85.72
2018-12-07,81.11
2018-12-14,80.35
2018-12-21,75.3
2018-12-28,77.2648
2019-01-04,79.14
2019-01-11,81.35
2019-01-18,83.77
2019-01-25,83.89
2019-02-01,85.44
2019-02-08,85.25
2019-02-15,88.2821
2019-02-22,89.2175
2019-03-01,89.18
2019-03-08,86.82
2019-03-15,88.3
2019-03-22,87.15
2019-03-29,88.95
2019-04-05,91.1
2019-04-12,91.5469
2019-04-19,92.66
2019-04-26,92.21
2019-05-03,92.905
2019-05-10,90.45
2019-05-17,89.398
2019-05-24,88.3739
2019-05-31,86.3
2019-06-07,90.24
2019-06-14,90.0714
2019-06-21,91.29
2019-06-28,91.57
2019-07-05,91.46
2019-07-12,92.03
2019-07-19,91.22
2019-07-26,92.14
2019-08-02,88.9701
2019-08-09,88.39
2019-08-16,87.01
2019-08-23,86.06
2019-08-30,88.63
2019-09-06,90.41
2019-09-13,92.94
2019-09-20,91.62
2019-09-27,91.01
2019-10-04,89.4069
2019-10-11,90.93
2019-10-18,91.7046
2019-10-25,93.64
2019-11-01,95.44
2019-11-08,97.19
2019-11-15,97.56
2019-11-22,97.0
2019-11-29,97.18
2019-12-06,97.12
2019-12-13,97.98
2019-12-20,97.5217
2019-12-27,98.0149
2020-01-03,98.17
